sale_id,store_id,customer_id,sale_time,payment_method,total_amount,discount_amount,actual_amount
5101,20,1009.0,2026/05/25 19:10,alipay,112.84,21.92,90.92
5102,4,1007.0,2026/05/31 22:46,wechat,165.31,12.04,153.27
5103,4,1008.0,2026/05/15 02:18,cash,163.03,0.0,163.03
5104,9,1006.0,2026/05/29 06:15,wechat,231.65,36.21,195.44
5105,9,1005.0,2026/06/05 20:07,mixed,2.24,0.0,2.24
5106,1,1005.0,2026/05/18 14:52,card,393.31,0.0,393.31
5107,13,1004.0,2026/06/05 14:36,cash,176.55,0.0,176.55
5108,9,1006.0,2026/05/29 02:08,card,70.88,9.87,61.01
5109,8,1010.0,2026/05/15 09:54,mixed,375.46,88.97,286.49
5110,7,1010.0,2026/05/15 02:15,wechat,217.51,35.51,182.0
5111,12,,2026/05/15 22:44,alipay,178.51,46.6,131.91
5112,3,,2026/05/23 12:57,card,133.81,37.98,95.83
5113,13,1006.0,2026/05/15 13:54,cash,257.88,0.0,257.88
5114,9,1004.0,2026/06/07 15:06,wechat,274.19,67.75,206.44
5115,7,1009.0,2026/05/29 08:13,mixed,248.27,53.24,195.03
5116,17,1006.0,2026/05/25 03:58,alipay,97.47,0.29,97.18
5117,1,1006.0,2026/05/20 17:57,alipay,288.55,0.0,288.55
5118,14,1003.0,2026/06/01 06:24,mixed,258.97,93.76,165.21
5119,13,,2026/06/03 21:50,mixed,14.71,5.98,8.73
5120,10,,2026/05/30 18:58,mixed,47.63,23.63,24.0
5121,18,1012.0,2026/06/06 19:17,cash,181.77,78.71,103.06
5122,14,1010.0,2026/06/04 01:46,mixed,183.01,55.84,127.17
5123,2,1009.0,2026/05/21 16:41,cash,99.03,13.07,85.96
5124,3,1008.0,2026/06/08 16:10,cash,177.32,0.0,177.32
5125,16,1003.0,2026/05/18 00:34,mixed,270.58,21.14,249.44
5126,14,1003.0,2026/06/03 12:56,alipay,53.35,13.21,40.14
5127,5,1007.0,2026/05/16 16:00,card,245.98,110.99,134.99
5128,15,1005.0,2026/06/03 20:53,wechat,258.76,107.55,151.21
5129,3,1003.0,2026/06/01 08:08,wechat,77.99,0.0,77.99
