sale_id,line_no,product_id,quantity,unit_price,line_amount
5101,1,10023,2,49,98
5101,2,10054,4,38,152
5101,3,10019,3,71,213
5102,1,10007,5,111,555
5102,2,10017,3,15,45
5103,1,10024,3,21,63
5104,1,10094,4,51,204
5105,1,10039,2,84,168
5105,2,10094,5,88,440
5105,3,10059,3,29,87
5105,4,10002,5,62,310
5105,5,10037,5,49,245
5106,1,10015,4,99,396
5106,2,10019,2,38,76
5107,1,10103,5,38,190
5107,2,10086,2,58,116
5108,1,10045,5,93,465
5108,2,10089,5,20,100
5108,3,10065,2,76,152
5108,4,10023,3,70,210
5108,5,10061,1,26,26
5109,1,10046,1,26,26
5109,2,10024,2,49,98
5109,3,10051,2,48,96
5109,4,10077,1,29,29
5109,5,10089,5,117,585
5110,1,10022,1,15,15
5110,2,10108,3,39,117
5110,3,10079,2,115,230
5110,4,10049,3,110,330
5110,5,10036,1,53,53
5111,1,10111,4,17,68
5112,1,10062,3,67,201
5112,2,10113,5,43,215
5112,3,10025,4,54,216
5113,1,10097,5,91,455
5113,2,10078,3,108,324
5113,3,10007,4,102,408
5114,1,10082,3,44,132
5114,2,10001,1,28,28
5114,3,10015,3,63,189
5115,1,10063,2,31,62
5115,2,10059,5,76,380
5116,1,10055,4,75,300
5116,2,10047,1,119,119
5117,1,10085,5,41,205
5117,2,10025,2,81,162
5118,1,10006,2,87,174
5118,2,10087,4,48,192
5119,1,10109,5,28,140
5119,2,10058,3,23,69
5119,3,10004,4,58,232
5119,4,10006,3,39,117
5120,1,10056,4,108,432
5120,2,10087,4,72,288
5121,1,10088,3,102,306
5122,1,10025,1,45,45
5122,2,10033,2,36,72
5122,3,10079,5,70,350
5122,4,10088,5,59,295
5123,1,10075,5,115,575
5123,2,10069,2,114,228
5124,1,10105,3,65,195
5124,2,10058,2,97,194
5124,3,10027,2,114,228
5125,1,10081,2,94,188
5125,2,10062,3,120,360
5125,3,10088,4,46,184
5125,4,10097,1,31,31
5125,5,10113,1,66,66
5126,1,10059,2,90,180
5127,1,10057,5,48,240
5127,2,10113,1,101,101
5127,3,10023,3,32,96
5128,1,10101,5,64,320
5128,2,10067,1,61,61
5128,3,10061,1,119,119
5128,4,10072,4,84,336
5129,1,10083,4,33,132
5129,2,10034,5,53,265
5129,3,10036,4,35,140
5129,4,10059,3,106,318
