author_id,author_name,country
1,"""编者Lourdes Ros Olga Swerlowa",
2,#12539,
3,1984年,
4,2006—2010年教育部高等学校教育技术学专业教学指导委员会 编制,
5,2022年第19届亚运会组委会,
6,360安全人才能力发展中心,
7,3dtotal 出版社,
8,51Testing教研团队,
9,51Testing软件测试网,
10,52TOYS,
11,666K信譞,
12,78级校友联谊会 李风,
13,81之家公考研究院,
14,87time,
15,8KRAW,
16,8月·份,
17,?,
18,?尼古拉 · 约祖蒂斯,
19,A-Xing Zhu,
20,A. A. Kirillov,
21,A. A. Ranicki,
22,A. A. Salnikov,
23,A. Biswas D. Milovic E. Matthew,
24,A. Borel,
25,A. J. 克罗宁,
26,A. P. Sutton,
27,A. Shen,
28,A. V. Borisov I. S. Mamaev,
29,A. 维旎·科尔文 南希·J. 埃格纳·马科斯（Nancy J. Egner Markos) 帕梅拉·J. 沃克,
30,A.A.瓦西列夫,
31,A.C.L.戴 维斯,
32,A.C.庇古,
33,A.E.泰勒,
34,A.E.门罗,
35,A.F.查尔默斯,
36,A.J.P.泰勒,
37,A.J.古列维奇,
38,A.J.雅各布斯,
39,A.M.霍卡,
40,A.N.怀特海,
41,A.P.R.豪厄特 H.G.威多森,
42,A.P.勒讷,
43,A.S.W.罗森巴哈,
44,A.S.霍恩比,
45,A.V.戴雪,
46,A.W.布拉德利 K.D.尤因,
47,A.冯妮·科尔文 南希·J.埃格纳·马科斯 帕梅拉·J.沃克,
48,A.帕西加,
49,A.斯图尔特·福瑟林汉姆 克里斯·布伦斯登 马丁·查尔顿,
50,AIGC-RY研究所,
51,AI艺术工作室,
52,AKWW野生艺术工人,
53,ALEXANDER GROTHENDIECK,
54,Aaron Courville,
55,Aaron N. Siegel,
56,Aaron Robertson,
57,Abdul-Majid Wazwaz,
58,Abel Rodriguez,
59,Abraham Silberschatz,
60,Achim Seiffarth,
61,Adalbert Mazur,
62,Adam Drozdek,
63,Adam Freeman,
64,Adam Leith Gollner,
65,Adobe专家委员会 DDC传媒,
66,Adobe中国授权培训中心,
67,Adobe公司,
68,Adrian Goldstein,
69,Adrian Kaehler,
70,Aisit网信研究院,
71,Ajay D. Kshemkalyani Mukesh Singhal,
72,Ajay K. Bhardwaj Terenzio Zenone Jiquan Chen,
73,Ajoy Ghatak,
74,Alain Cadeo,
75,Alain Corbin,
76,Alan Agresti,
77,Alasdair Roberts,
78,Albert C. J. Luo,
79,Albert D. Polim,
80,Albert Daniels,
81,Albert Milani,
82,Alberto Bressan,
83,Alberto Torchinsky,
84,Alex J. Gutman,
85,Alex Reinhart,
86,Alex Russ Marianne E. Krasny,
87,Alex 武沛齐 王战山,
88,Alexander A. Kirillov Jr.,
89,Alexander Gegov,
90,Alexander Grigor'yan,
91,Alexander Grothendieck,
92,Alexander Koldobsky,
93,Alexander Merkurjev,
94,Alexander von Humboldt,
95,Alexandre Holle,
96,Alexey Voinov,
97,Alexis Van Hurkman,
98,Alex学长,
99,Alex学长 著 友荣方略 大车库,
100,Ali Madanipour,
101,Alicia Padros,
102,Aline Godfroid,
103,Alison Mackey,
104,Alison Page,
105,Allen B.Downey,
106,Altium China Technical Support Center,
107,Altium中国技术支持中心,
108,AluZoe,
109,Alyson McLamore,
110,Amakobe SANDE,
111,Amit Kumar Mishra,
112,Anany Levitin,
113,Anany Levitin Maria Levitin,
114,Anatole Katok,
115,Anatole Katok Boris Hasselblatt,
116,Andras Vasy,
117,Andrea Behnke,
118,Andrea Frater,
119,Andrea Moed,
120,Andreas Krell,
121,Andrew Burke等四人,
122,Andrew Humphreys等五人,
123,Andrew Majda,
124,András I. Stipsicz,
125,André Weil,
126,André Weil 等,
127,Andy Hunt,
128,Angela Jordan Davis,
129,Angela Kilimann,
130,Angela Spalsbury,
131,Angelo Vistoli,
132,Anil K.Chopra,
133,Anja Steinhauer,
134,Anna Hila,
135,Anna Pilaski,
136,Anna Trewin,
137,Anne Akyüz〔法〕,
138,Anne Barros,
139,Anne Collins,
140,Anne-Marie HAVARD,
141,Anne-Marie Johnson,
142,AnneAkyüz,
143,Annie Coutelle,
144,Anthony Stevens,
145,Apostolo,
146,Aram Cookson 库克森 Ryan DowlingSoka 道林索卡 Clinton Crumpler 克鲁普勒,
147,Ariel Luzzatto,
148,Aries今晨,
149,Armand Borel,
150,Armel Mercier,
151,Arnljot Hoyland,
152,Arseniy Akopyan,
153,Art Dupre,
154,Art Eyes 设计工作室,
155,Art Hobson,
156,Art Smalley,
157,Art Style数码设计,
158,Arunangshu Chakraborty,
159,Asa Berger,
160,Ashish Khanna,
161,Ashokka Balakrishnan,
162,Astrid Schwarz and Kurt Jax 主编 王艳芬 郝刘祥 高原,
163,Athanase Papadopoulos,
164,Atsushi Moriwaki,
165,Atul Kahate,
166,Aubertine Woodward Moore,
167,Augustus De Morgan,
168,Aung Naing,
169,Austin Kleon,
170,Authorized Translation by E. J. Townsend,
171,Averill M. Law,
172,Axel Hering,
173,A·伦第,
174,A泰,
175,B. A. 卓里奇,
176,B.B.马夫罗金,
177,B.C. Grabmaier,
178,B.F.斯金纳,
179,B.J.福格,
180,B.T.休·阿特金斯 迈克尔·朗德尔,
181,B.威廉斯,
182,B.布洛赫 G.L.特雷杰,
183,B.曼德维尔,
184,BBC《仰望夜空》杂志,
185,BEC考试研究组 编写,
186,BG布谷,
187,BIBF国际插画大赛组委会,
188,BI使徒工作室 雷元,
189,BI使徒工作室 雷元 陈桂健,
190,BRUCE HUNT,
191,Baheer Kamal,
192,Bai Junjie,
193,Bai Xiaolong,
194,Balme,
195,Baojiang Sun,
196,Baojun Bian,
197,Baosen Wu,
198,Barbara Fantechi,
199,Barry,
200,Barry Braverman,
201,Barry Simon,
202,Bas Wouters,
203,Bee wilson,
204,Behzad Razavi,
205,Ben Forta,
206,Ben Fry,
207,Ben Klemens 克莱蒙,
208,Benjamin J. Blalock,
209,Benjamin Lancar 史烨婷,
210,Benjamin Yakir,
211,Benson Farb,
212,Bernadette Bazelle-Shahmaei,
213,Bernadette Bazelle-Shahmaei〔法〕,
214,Bernard Kolman,
215,Bernard Kolman等,
216,Bernard Marr,
217,Bernd Sturmfels,
218,Bernhard Riemann,
219,Bill Gilbert,
220,Bill Inmon 恩门,
221,Bill Schutt,
222,Billie,
223,Bin Li,
224,Bitbank株式会社 《区块链冲击》编辑,
225,Bjarne Stroustrup,
226,Bjorn Poonen,
227,Bjrn Stachmann,
228,Blender go,
229,Bob Dobkin,
230,Bob Zhang,
231,Bob Zhang Qijun Zhao David Zhang,
232,Booker,
233,Boris Hasselblatt,
234,Borwin Bandelow,
235,Bowen White,
236,Bradley Mayhew等四人,
237,Brain Walker David Salt,
238,Brenden Sewell 西威尔,
239,Brent,
240,Brian Lawn,
241,Brian Moran,
242,Brian P. Moran,
243,Brianna Wiest,
244,Britta Weber,
245,Brown,
246,Bruce Barnbaum,
247,Bruce E. Rittmann,
248,Bruce Hunt,
249,Bruce M. Landman,
250,Bruno Mendes,
251,Bryson Payne,
252,Budi Kurniawan 克尼亚万,
253,Burton W. Jones,
254,ByteFaaS函数计算团队,
255,B·盖伊 ·彼得斯,
256,C. Barry Cox Peter D. Moore,
257,C. Cohen-Tannoudji B. Diu F. Laloe,
258,C. Steve Suh,
259,C. T. C. Wall,
260,C. W. Fetter,
261,C. 帕特里克·科林,
262,C. 德拉歇利 P.-A. 梅耶,
263,C. 赖特·米尔斯,
264,C.Bergeron,
265,C.J.菲尔墨,
266,C.L.滕,
267,C.P.米库林斯基,
268,C.R.斯奈德 沙恩·洛佩斯,
269,C.S.刘易斯,
270,C.丹尼尔·巴特森,
271,C.詹姆斯·古德温,
272,C.迈克尔·霍尔 刘德龄,
273,C.麦金,
274,CAD辅助设计教育研究室,
275,CAE技术联盟,
276,CGWANG动漫教育,
277,COCO动漫公社,
278,COMI工作室,
279,CTO训练营,
280,Caitlin Sadowski,
281,Captain,
282,Carl Friedrich Gauss,
283,Carl Ludwig Siegel,
284,Carl Richard,
285,Carlo Cercignani,
286,Carlos F. Daganzo,
287,Caroline Veltcheff,
288,Carolyn Fry,
289,Carsten Steger,
290,Casey Reas,
291,Catherine Orenstein,
292,Cedric Villani,
293,Cees J. Hamelink,
294,Ch'ao-ting Chi,
295,Ch'ien Tuansheng,
296,Chalmers Johnson查默斯·约翰逊,
297,Chang-Shou Lin,
298,Changguang Wang,
299,Chantal D. Larose,
300,Chaoping Xing,
