product_id,isbn,publisher_id,publish_date,edition,language,page_count
1,9787523211762,1,2024-07-01,,中文,
2,9787519287993,1,2025-09-01,,中文,
3,9787523219973,1,2025-05-01,,中文,
4,9787523215289,1,2024-11-01,,中文,
5,9787523210765,1,2024-03-01,,中文,
6,9787519294922,1,2022-10-01,,中文,
7,9787523230978,1,2026-01-01,,中文,
8,9787523222706,1,2025-11-01,,中文,
9,9787523208762,1,2023-11-01,,中文,
10,9787519292522,1,2022-06-01,,中文,
11,9787523215784,1,2025-04-01,,中文,
12,9787523220849,1,2026-01-01,,中文,
13,9787523202159,1,2023-04-01,,中文,
14,9787523213308,1,2024-11-01,,中文,
15,9787519293048,1,2022-08-01,,中文,
16,9787523211847,1,2024-05-01,,中文,
17,9787523200964,1,2023-02-01,,中文,
18,9787523208243,1,2023-11-01,,中文,
19,9787519289614,1,2021-12-01,,中文,
20,9787519289195,1,2023-03-01,,中文,
21,9787523233122,1,2026-03-01,,中文,
22,9787523202883,1,2023-05-01,,中文,
23,9787523205457,1,2023-07-01,,中文,
24,9787523210024,1,2024-01-01,,中文,
25,9787547322468,2,2023-08-01,,中文,
26,9787547327364,2,2025-06-01,,中文,
27,9787547319796,2,2023-07-01,,中文,
28,9787547322949,2,2024-01-01,,中文,
29,9787547324370,2,2024-08-01,,中文,
30,9787547325117,2,2024-10-01,,中文,
31,9787547329399,2,2026-03-01,,中文,
32,9787547320075,2,2022-07-01,,中文,
33,9787547323182,2,2024-03-01,,中文,
34,9787547320372,2,2023-02-01,,中文,
35,9787547328026,2,2025-10-01,,中文,
36,9787547326527,2,2025-01-01,,中文,
37,9787547322239,2,2023-07-01,,中文,
38,9787547323243,2,2024-02-01,,中文,
39,9787547318546,2,2024-02-01,,中文,
40,9787547323946,2,2024-06-01,,中文,
41,9787547320631,2,2022-09-01,,中文,
42,9787547320174,2,2023-01-01,,中文,
43,9787547325865,2,2025-04-01,,中文,
44,9787547318584,2,2022-08-01,,中文,
45,9787547327036,2,2026-01-01,,中文,
46,9787547326626,2,2025-02-01,,中文,
47,9787547320273,2,2023-03-01,,中文,
48,9787547328170,2,2026-01-01,,中文,
49,9787547323229,2,2024-01-01,,中文,
50,9787547321119,2,2023-02-01,,中文,
51,9787547321164,2,2023-01-01,,中文,
52,9787547324691,2,2024-09-01,,中文,
53,9787547328453,2,2025-12-01,,中文,
54,9787547328460,2,2026-01-01,,中文,
55,9787547325469,2,2024-10-01,,中文,
56,9787547326138,2,2025-03-01,,中文,
57,9787547321645,2,2023-05-01,,中文,
58,9787547321553,2,2023-06-01,,中文,
59,9787101170115,3,2025-06-01,,中文,
60,9787101172829,3,2025-07-01,,中文,
61,9787101159509,3,2023-01-01,,中文,
62,9787101168204,3,2025-01-01,,中文,
63,9787101164749,3,2024-01-01,,中文,
64,9787101156287,3,2023-02-01,,中文,
65,9787101172577,3,2026-03-01,,中文,
66,9787101157499,3,2022-08-01,,中文,
67,9787101171266,3,2025-06-01,,中文,
68,9787101161700,3,2023-04-01,,中文,
69,9787101165548,3,2024-04-01,,中文,
70,9787101165319,3,2024-05-01,,中文,
71,9787101162844,3,2024-04-01,,中文,
72,9787101168464,3,2024-11-01,,中文,
73,9787101160642,3,2023-02-01,,中文,
74,9787101156812,3,2022-04-01,,中文,
75,9787101169430,3,2025-03-01,,中文,
76,9787101161922,3,2023-03-01,,中文,
77,9787101133622,3,2024-08-01,,中文,
78,9787101163537,3,2023-09-01,,中文,
79,9787101176131,3,2026-04-01,,中文,
80,9787101161458,3,2023-04-01,,中文,
81,9787101158687,3,2022-09-01,,中文,
