product_id,author_id,author_order
1,43703,1
1,50303,2
1,36783,3
2,55654,1
3,60449,1
4,32174,1
5,24501,1
6,63197,1
7,24455,1
8,38334,1
9,17225,1
10,41356,1
11,2455,1
11,68983,2
12,69553,1
13,49089,1
14,2420,1
14,50144,2
15,42613,1
16,39775,1
17,9492,1
18,2444,1
18,23252,2
19,13224,1
20,23291,1
21,30246,1
22,52836,1
22,62407,2
23,37856,1
23,39700,2
24,30246,1
25,8613,1
26,41769,1
26,52751,2
26,63660,3
27,27801,1
28,43953,1
29,38578,1
30,26364,1
30,68796,2
31,16518,1
32,22527,1
33,29828,1
33,19173,2
34,12518,1
35,2431,1
35,9056,2
36,44734,1
37,18599,1
37,25723,2
38,27717,1
39,61797,1
40,30711,1
41,52233,1
42,49538,1
42,61823,2
43,61443,1
44,12510,1
44,64814,2
44,52416,3
45,37861,1
45,32592,2
46,19891,1
47,38302,1
48,38578,1
49,2437,1
49,2441,2
50,12230,1
51,18086,1
52,2430,1
52,34401,2
53,49877,1
54,55733,1
55,3102,1
55,30712,2
56,33832,1
57,68075,1
58,43173,1
59,38267,1
59,44288,2
60,35949,1
61,57533,1
62,23549,1
63,20643,1
64,18693,1
65,9473,1
66,23966,1
66,60440,2
66,63208,3
66,48215,4
67,57728,1
68,63654,1
69,26796,1
70,7237,1
71,42213,1
72,35877,1
72,35878,2
73,59424,1
74,8138,1
75,37710,1
76,7821,1
77,2421,1
77,16782,2
78,33081,1
78,12715,2
78,42409,3
79,11432,1
80,36052,1
81,63631,1
81,15776,2
81,44734,3
81,43988,4
82,28817,1
83,5816,1
84,8138,1
85,23966,1
86,23966,1
87,20720,1
88,50092,1
89,47608,1
90,63090,1
91,48036,1
92,53422,1
93,63208,1
94,36542,1
95,31984,1
96,39624,1
97,55510,1
98,59498,1
99,13323,1
100,41579,1
101,37788,1
102,52380,1
103,50240,1
104,42120,1
104,52557,2
105,43156,1
105,32649,2
106,24080,1
107,3253,1
108,19506,1
109,23589,1
110,5534,1
110,32900,2
111,55438,1
112,46770,1
113,31111,1
114,44319,1
115,55860,1
115,52752,2
116,34552,1
116,30529,2
116,32194,3
117,17780,1
118,39642,1
119,63537,1
119,39449,2
120,58672,1
121,23265,1
122,2331,1
123,60281,1
124,47533,1
125,40798,1
126,48478,1
127,18886,1
128,43878,1
129,26161,1
130,52498,1
131,48904,1
132,62552,1
133,30929,1
134,29316,1
135,43865,1
136,65866,1
137,16968,1
138,16968,1
139,3433,1
140,16968,1
141,16968,1
142,3324,1
143,16968,1
144,16968,1
145,16967,1
146,16967,1
147,16967,1
148,48691,1
149,50175,1
150,50175,1
151,50175,1
152,50175,1
153,50175,1
154,50175,1
155,50175,1
156,50175,1
157,50175,1
158,50175,1
159,8157,1
160,8157,1
161,15652,1
162,15652,1
163,15652,1
164,50949,1
165,8157,1
166,8157,1
167,8157,1
168,53759,1
169,3815,1
170,53759,1
171,50950,1
172,50949,1
173,15652,1
174,15652,1
175,53759,1
176,3877,1
177,3815,1
178,15652,1
179,15652,1
180,3783,1
181,46656,1
182,46657,1
183,46656,1
184,46657,1
185,40644,1
186,31201,1
187,46658,1
188,53759,1
189,3861,1
190,60275,1
191,16807,1
192,15652,1
193,15652,1
194,8158,1
195,8158,1
196,15652,1
197,15652,1
198,15652,1
199,3783,1
200,46656,1
201,46656,1
202,3782,1
203,60275,1
204,15652,1
205,15652,1
206,15652,1
207,15652,1
208,15652,1
209,8149,1
210,57220,1
211,46695,1
212,46656,1
213,3780,1
214,63321,1
215,49979,1
216,49979,1
217,49979,1
218,49979,1
219,51275,1
220,57047,1
221,35144,1
222,45974,1
223,48594,1
224,29208,1
225,43307,1
226,27987,1
227,19312,1
228,27986,1
229,11996,1
230,27988,1
231,27993,1
232,18857,1
233,61909,1
234,3339,1
235,61365,1
236,7188,1
237,5703,1
238,58774,1
239,8000,1
240,5703,1
241,45560,1
242,64365,1
243,55097,1
244,58739,1
245,29281,1
246,185,1
247,185,1
248,185,1
249,8191,1
250,8191,1
251,8191,1
252,8191,1
253,8191,1
254,8191,1
255,8191,1
256,8191,1
257,3851,1
258,17207,1
259,49712,1
260,42793,1
261,46891,1
262,46890,1
263,65690,1
264,65690,1
265,14538,1
266,66612,1
267,63624,1
268,8544,1
269,65894,1
270,65894,1
271,42908,1
272,45415,1
273,63529,1
274,29811,1
275,29812,1
276,29811,1
277,21025,1
278,40240,1
279,65347,1
280,37020,1
281,8806,1
282,10730,1
283,10730,1
284,10730,1
285,10730,1
286,10730,1
287,12428,1
288,46897,1
289,44921,1
290,55178,1
291,48331,1
292,64439,1
293,60803,1
294,9247,1
295,27946,1
296,27947,1
297,63862,1
298,28635,1
299,29078,1
300,13804,1
301,47765,1
302,26152,1
303,9370,1
304,45738,1
305,15816,1
306,62510,1
307,50902,1
308,11276,1
309,63352,1
310,55294,1
311,54327,1
312,67843,1
313,45520,1
314,15890,1
315,43560,1
316,11998,1
317,65274,1
318,65691,1
319,728,1
320,759,1
321,5061,1
322,28175,1
323,36556,1
324,23648,1
325,15265,1
326,9871,1
327,45506,1
328,45506,1
329,48331,1
330,19456,1
331,10067,1
332,3739,1
333,3897,1
334,62405,1
335,31113,1
336,29291,1
337,24768,1
338,66987,1
339,69276,1
340,3854,1
341,33986,1
342,21546,1
343,54179,1
344,19455,1
345,55499,1
346,69009,1
347,54650,1
348,46527,1
349,43158,1
350,46896,1
351,15257,1
352,52607,1
353,7099,1
354,57427,1
355,7099,1
356,10246,1
357,10246,1
358,35779,1
359,65670,1
360,25732,1
361,42440,1
362,7099,1
363,10246,1
364,35779,1
365,65669,1
366,25732,1
367,48904,1
368,15680,1
369,66689,1
370,66688,1
371,51560,1
372,11936,1
373,55293,1
374,45278,1
375,27843,1
376,55764,1
377,19850,1
378,51274,1
379,51871,1
380,23683,1
381,34622,1
382,8785,1
383,69384,1
384,23683,1
385,57049,1
386,8108,1
387,45506,1
388,45506,1
389,46896,1
390,21810,1
391,45506,1
392,53415,1
393,11237,1
394,52216,1
395,8158,1
396,15652,1
397,15652,1
398,15652,1
399,15652,1
400,15652,1
401,36355,1
402,36355,1
403,29374,1
404,36917,1
405,45885,1
406,58211,1
407,39999,1
408,65347,1
409,12102,1
410,18212,1
411,27639,1
412,21483,1
413,23224,1
414,33556,1
415,56026,1
416,63702,1
417,46896,1
418,20846,1
419,38345,1
420,30867,1
421,18049,1
422,10730,1
423,56313,1
424,52199,1
425,24289,1
426,62494,1
427,67487,1
428,21350,1
429,21350,1
430,9537,1
431,14406,1
432,25665,1
433,52822,1
434,24749,1
435,11547,1
436,54079,1
437,61808,1
438,31464,1
439,42395,1
440,69387,1
441,34460,1
442,14406,1
443,64581,1
444,45300,1
445,19454,1
446,47633,1
447,54079,1
448,52284,1
449,42172,1
450,29860,1
451,65835,1
452,69119,1
453,4745,1
454,68600,1
455,30186,1
456,31947,1
457,56271,1
458,66037,1
459,10246,1
460,46466,1
461,10306,1
462,65666,1
463,8030,1
464,60049,1
465,6377,1
466,10730,1
467,15770,1
468,31943,1
469,68658,1
470,11091,1
471,31470,1
472,28345,1
473,18904,1
474,66037,1
475,65667,1
476,42404,1
477,50857,1
478,43235,1
479,37029,1
480,16197,1
480,1242,2
481,3723,1
482,3721,1
482,48972,2
483,16197,1
483,878,2
483,4736,3
484,4475,1
485,19840,1
486,19839,1
487,55583,1
488,42545,1
489,18643,1
490,43405,1
491,16236,1
492,65668,1
493,24325,1
494,58559,1
495,9310,1
496,33980,1
497,39569,1
498,20126,1
499,64873,1
500,42135,1
501,49840,1
502,49840,1
503,28337,1
504,28336,1
505,28336,1
506,28336,1
507,28336,1
508,28336,1
509,22371,1
510,49840,1
511,49840,1
512,49840,1
513,49840,1
514,51939,1
515,6379,1
516,47892,1
517,12593,1
518,36856,1
519,46930,1
520,43514,1
521,21667,1
522,65447,1
523,47306,1
524,41170,1
525,19440,1
526,59679,1
527,3340,1
528,38078,1
529,36081,1
530,14268,1
531,23258,1
532,12022,1
533,30845,1
534,39203,1
535,3340,1
