product_id,translator_id
1526,2068
3501,2108
8147,2115
8264,2080
12481,475
12481,1020
12481,2008
12490,820
12497,2471
12497,2161
12506,1748
12506,711
12507,2221
12507,710
12509,66
12509,2221
12516,242
12550,2193
12562,1572
12568,2314
12568,2286
12569,856
12569,115
12569,2439
12569,1140
12572,2595
12586,668
12605,321
12605,2191
12605,1661
12613,613
12613,99
12614,1946
12615,1028
12619,1011
12631,473
12631,1023
12635,319
12648,633
12649,632
12654,1762
12670,953
12673,703
12675,1708
12693,21
12693,22
12693,25
12693,2032
12693,518
12694,439
12696,1850
12698,882
12698,2000
12703,1560
12705,496
12705,470
12716,402
12751,628
12751,462
12753,295
12753,890
12772,264
12772,1933
12772,2353
12774,1961
12779,330
12779,1154
12779,2461
12779,337
12779,76
12780,501
12784,2261
12790,510
12792,1310
12792,1793
12794,943
12800,469
12800,1147
12800,95
12807,330
12807,2690
12807,528
12832,2038
12833,2038
12834,2038
12835,902
12836,902
12843,970
12843,796
12844,324
12844,364
12845,2156
12845,1420
12854,1796
12867,810
12872,1409
12874,2466
12876,668
12883,1914
12883,1137
12883,2519
12899,2108
12904,100
12904,88
12904,729
12915,2399
12915,802
12920,2465
12931,1834
12938,632
12947,49
12959,2502
12959,535
12962,264
12962,36
12962,161
12966,49
12968,662
12969,1540
12976,1885
12983,2482
12983,501
12984,741
12985,67
12991,259
12991,213
12995,1945
12997,264
12997,2477
12997,740
13000,237
13015,1443
13023,1222
13026,1215
13026,2341
13032,2200
13033,632
13045,2206
13046,330
13046,303
13046,1700
13047,2512
13049,31
13050,199
13054,1857
13055,1857
13057,900
13057,172
13058,428
13077,1789
13077,1458
13078,1789
13089,2221
13089,710
13092,660
13092,2161
13098,2384
13100,42
13100,293
13100,2257
13101,1928
13101,896
13101,434
13112,796
13112,1399
13113,397
13128,2178
13131,1563
13133,266
13143,929
13147,1598
13147,2223
13148,58
13149,49
13150,49
13166,1796
13166,781
13169,685
19309,2105
19826,2102
29974,2106
30300,2068
31261,427
31262,2525
31263,564
31264,476
31265,254
31268,561
31269,561
31322,2265
31329,1739
31335,468
31339,1070
31341,151
31343,151
31344,1361
31346,1361
31347,2540
31349,2540
31350,323
31353,1044
31370,2461
31371,2629
31374,1208
31405,1188
31424,2169
31433,2339
31463,87
31472,2340
31482,1901
31496,1226
31508,2429
31509,1111
31511,2108
31526,465
31527,2506
31538,2114
31539,698
31540,1913
31559,340
31577,1123
31578,1123
31579,2139
31580,2258
31581,683
31585,601
31587,75
31588,913
31589,1103
31605,2489
31609,1779
31614,1335
31615,829
31617,49
31618,2501
31628,2290
31634,7
31636,1438
31637,1469
31638,609
31639,1851
31640,2244
31642,2108
31643,2108
31644,2108
31646,2655
31656,1521
31667,973
31674,250
31683,903
31684,2476
31685,2476
31688,261
31689,382
31694,387
31696,1533
31698,1981
31700,687
31705,228
31706,840
31707,1161
31708,1246
31709,1195
31712,314
31713,1756
31715,769
31716,769
31745,1354
31746,124
31750,2168
31754,160
31756,2392
31757,769
31760,489
31762,2609
31774,864
31781,2154
31787,109
31794,1427
31795,610
31797,859
31798,743
31801,211
31803,704
31805,579
31813,2352
31814,2352
31850,1114
31851,941
31858,1118
31864,1426
31867,1328
31868,1328
31869,449
31870,1655
31872,1177
31874,2299
31875,715
31877,291
31880,721
31881,921
31882,1973
31883,2398
31885,1767
31886,1870
31887,1870
31888,769
31890,1115
31891,2517
31906,2012
31908,1278
31927,2119
31928,2119
31994,1067
32025,1336
32055,551
32064,806
32067,1983
32082,252
32083,1340
32104,1230
32126,2167
32252,794
32288,24
32328,1110
32351,1257
32402,889
32422,1203
32425,356
32478,507
32482,536
32538,1507
32658,1769
32698,1404
32702,2172
32711,1074
32773,1778
32774,1778
32779,1150
32780,377
32782,1693
32783,917
32785,1561
32787,1814
32791,2390
32792,2391
32793,2274
32794,2497
32795,2498
32796,1750
32797,1390
32798,1390
32799,92
32803,654
32805,265
32806,1019
32807,1019
32813,1229
32814,960
32815,960
32816,960
32817,863
32818,2639
32822,1631
32823,984
32824,1304
32826,315
32827,1555
32828,2266
32834,1821
32846,1745
32869,227
32873,2016
32875,2279
32877,2058
32892,351
32908,1486
32909,234
32916,82
32917,82
32918,197
32919,1258
32920,1002
32921,795
32922,1808
32923,1808
32945,925
32948,1007
32949,1339
32950,1123
32953,286
32957,2559
32959,622
32964,235
32966,1851
32967,2297
32968,1169
32970,760
32972,1787
32973,1316
32974,2295
32975,1316
32976,53
32988,982
32989,2664
32990,431
32991,1731
32993,2660
32994,923
32995,1189
32997,2689
33001,1875
33002,1875
33003,659
33004,659
33005,659
33006,659
33020,1291
33021,2585
33022,2454
33023,1105
33024,2344
33025,1061
33026,2059
33028,759
33030,1053
33031,1034
33032,901
33033,639
33034,2507
33035,1472
33036,825
33037,2248
33044,128
33045,191
33046,191
33047,191
33050,1353
33051,1955
33055,2528
33056,2528
33057,2448
33059,1725
33060,424
33061,424
33063,1463
33065,1876
33076,2492
33078,1761
33081,1220
33084,2195
33085,2059
33086,49
33087,49
33088,1308
33089,769
33090,936
33093,868
33094,1736
33095,2470
33096,1611
33097,604
33098,1131
33099,1482
33100,514
33102,2584
33107,2048
33109,870
33110,1172
33111,2287
33112,1349
33113,2005
33115,2376
33116,2376
33117,393
33118,191
33119,191
33120,2532
33121,2447
33123,867
33124,893
33125,1525
33126,883
33127,191
33128,1498
33129,1498
33130,1299
33131,2586
33134,2300
33135,280
