category_id,category_name,parent_category_id
1,图书,
2,非书商品,
3,文学艺术,1
4,小说,3
5,中国小说,4
6,外国小说,4
7,文学,3
8,外国文学,7
9,中国文学,7
10,文学理论,7
11,艺术,3
12,摄影,11
13,鉴赏收藏,11
14,艺术概论,11
15,音乐舞蹈,11
16,书法篆刻,11
17,戏剧影视,11
18,绘画雕塑,11
19,传记,3
20,传记（传记）,19
21,人文社科,1
22,历史,21
23,世界史,22
24,中国史,22
25,考古文物,22
26,史学理论,22
27,哲学宗教,21
28,中国哲学,27
29,西方哲学,27
30,哲学总论,27
31,马列著作,27
32,逻辑学,27
33,宗教,27
34,伦理学,27
35,美学,27
36,法律,21
37,法律法规,36
38,法学理论,36
39,法律科普,36
40,中国法律,36
41,外国及港澳台法律,36
42,心理,21
43,心理学百科,42
44,变态/病态心理学,42
45,政治军事,21
46,党政读物,45
47,中国政治,45
48,世界政治,45
49,中国军事,45
50,军事理论,45
51,国际关系,45
52,政治理论,45
53,社会科学,21
54,社会科学总论,53
55,社会学,53
56,语言文字,53
57,文化,21
58,文化理论,57
59,民族/民俗文化,57
60,地域文化,57
61,文化研究与交流,57
62,少儿童书,1
63,儿童文学,62
64,中国儿童文学,63
65,外国儿童文学,63
66,童话寓言,63
67,动漫绘本,62
68,儿童绘本,67
69,启蒙益智,62
70,益智游戏,69
71,书法绘画,69
72,艺术培养,69
73,识字说话,69
74,科普百科,69
75,低幼读物,69
76,教育考试,1
77,中小学教辅,76
78,小学数学,77
79,小学语文,77
80,小学教材,77
81,初中语文,77
82,初中数学,77
83,初中英语,77
84,初中理化,77
85,初中教材,77
86,高中语文,77
87,高中数学,77
88,高中外语,77
89,高中理化,77
90,外语学习,76
91,英语,90
92,小语种,90
93,大中专教材,76
94,大学教材,93
95,成人教育,93
96,字典词典,76
97,字典词典、工具书,96
98,考试,76
99,计算机类,98
100,其它语种,98
101,其它考试,98
102,经济金融,1
103,管理,102
104,市场营销,103
105,管理学,103
106,公共关系,103
107,旅游管理,103
108,生产管理,103
109,工商管理,103
110,企业经营管理,103
111,经济,102
112,中国经济,111
113,世界经济,111
114,工业经济,111
115,贸易,111
116,交通经济,111
117,企业经济,111
118,产业经济,111
119,金融会计,102
120,金融,119
121,会计,119
122,成功励志,102
123,成功励志（成功励志）,122
124,生活休闲,1
125,时尚娱乐,124
126,服饰搭配,125
127,休闲游戏,125
128,美容护肤,125
129,家庭家居,124
130,宠物,129
131,家装家饰,129
132,家庭园艺,129
133,生活DIY,129
134,养生保健,124
135,健康百科,134
136,家庭保健,134
137,烹饪美食,124
138,家常菜谱,137
139,茶酒饮品,137
140,烘焙甜品,137
141,育儿早教,124
142,育儿百科,141
143,家庭教育,141
144,体育运动,124
145,体育理论与规则,144
146,球类运动,144
147,其他运动,144
148,旅游地图,124
149,国外游,148
150,旅游随笔/摄影,148
151,地图,148
152,科学技术,1
153,工业科技,152
154,轻工业,153
155,机械工业,153
156,化学工业,153
157,电子通讯,153
158,能源,153
159,交通运输,153
160,航空航天,153
161,矿业工程,153
162,建筑,152
163,建筑理论与文化,162
164,建筑设计,162
165,建筑工程,162
166,水利水电,162
167,医学,152
168,基础医学,167
169,临床医学,167
170,中医,167
171,药学,167
172,外科学,167
173,内科学,167
174,儿科学,167
175,妇产科学,167
176,自然科学,152
177,自然科普,176
178,数学,176
179,物理,176
180,化学,176
181,生物科学,176
182,天文地理,176
183,其他自然科学,176
184,家居/生活用品,2
185,居家日用,184
186,暖手宝/热水袋,185
187,眼罩,185
188,伞,185
189,体温计,185
190,迷你风扇,185
191,扇子,185
192,挂钩,185
193,干衣架,185
194,肥皂架,185
195,杯垫,185
196,驱虫用品,185
197,浴室用品,185
198,医疗防护,184
199,防护眼镜,198
200,口罩,198
201,医疗急救,198
202,收纳,184
203,家庭收纳,202
204,证照收纳,202
205,文件收纳,202
206,柜式收纳,202
207,家务清洁,184
208,除味用品,207
209,垃圾桶,207
210,垃圾袋,207
211,抹布/百洁布,207
212,清洁剂,207
213,手套/鞋套/围裙,207
214,卫生间清洁,207
215,洗护清洁,184
216,抽纸,215
217,卷纸,215
218,湿巾,215
219,衣物清洁,215
220,洗脸巾,215
221,洗手液,215
222,足浴饼,215
223,梳子,215
224,皂,215
225,日常护理,215
226,家纺布艺,184
227,床上用品,226
228,地毯/地垫,226
229,靠枕/抱枕,226
230,毛巾/浴巾/浴袍,226
231,厨房/餐饮用具,184
232,水具,231
233,茶具,231
234,酒具,231
235,餐具,231
236,烹饪用具,231
237,保鲜器具,231
238,一次性餐桌用品,231
239,小工具,231
240,节庆用品/礼品,184
241,红包/利是封,240
242,节庆用品,240
243,储蓄罐,240
244,创意礼盒,240
245,保健用品,184
246,中医保健,245
247,浴室用品（家居/生活用品）,184
248,学习用品,2
249,阅读器,248
250,阅览器/电纸书,249
251,阅读器保护套,249
252,学习机,248
253,学习机（学习机）,252
254,电子词典,248
255,词典笔,254
256,纸张本册,248
257,笔记本/记事本,256
258,便签本/N次贴,256
259,拍纸本/日程本,256
260,信封,256
261,奖状/证书,256
262,复写纸,256
263,分页/索引/标签,256
264,明信片/卡片,256
265,单词卡,256
266,作业本,256
267,手账本,256
268,书写工具,248
269,中性笔,268
270,钢笔,268
271,铅笔/自动铅笔,268
272,圆珠笔,268
273,荧光笔,268
274,记号笔,268
275,笔用墨水,268
276,铅笔芯,268
277,书画工具,248
278,彩色铅笔,277
279,勾线笔,277
280,画材套装,277
281,画墨,277
282,画纸,277
283,蜡笔,277
284,临摹桌,277
285,毛笔,277
286,水彩笔,277
287,颜料,277
288,砚台,277
289,印章,277
290,镇尺,277
291,镇纸,277
292,笔山/笔架,277
293,日常学习用品,248
294,胶粘用品,293
295,修正液/修正带,293
296,握笔器,293
297,桌面书架,293
298,书签,293
299,各类尺/三角板,293
300,胶水/胶棒,293
301,纸胶带,293
302,卷笔刀/削笔器,293
303,橡皮,293
304,学生书包,293
305,书立,293
306,文具收纳,293
307,其他学习用品,293
308,手写板,293
309,笔袋,293
310,文具套装,293
311,乐器,248
312,口琴,311
313,架子鼓,311
314,钢琴,311
315,3C数码,2
316,相机/摄影机,315
317,电脑周边,315
318,电脑支架,317
319,键盘,317
320,麦克风/话筒,317
321,鼠标,317
322,鼠标垫,317
323,电脑收纳包,317
324,平板电脑,317
325,智能设备,315
326,翻译器,325
327,智能机器人,325
328,智能手表/手环,325
329,智能书柜,325
330,学习机（智能设备）,325
331,手机配件,315
332,充电器,331
333,自拍杆/架,331
334,手机支架,331
335,指环扣,331
336,手机保护套/壳,331
337,手机扩音座,331
338,手机,331
339,存储设备,315
340,闪存卡,339
341,普通U盘,339
342,手机U盘,339
343,移动硬盘,339
344,网络设备,315
345,普通路由器,344
346,数码配件,315
347,移动电源,346
348,收纳（数码配件）,346
349,数码周边,346
350,游戏/电玩,315
351,游戏手柄,350
352,礼品卡,2
353,礼品卡（礼品卡）,352
354,新享卡,353
