store_id,product_id,stock_qty,safety_stock_qty
1,1,18,3
40,1,13,2
42,1,13,5
1,2,13,1
17,2,7,4
19,2,1,1
1,3,16,2
36,3,16,3
38,3,9,5
1,4,19,3
5,4,12,5
7,4,1,1
1,5,1,3
30,5,3,3
32,5,4,2
34,6,15,5
36,6,5,2
28,7,22,2
30,7,13,1
24,8,3,5
26,8,13,5
44,9,5,5
46,9,1,5
8,10,12,5
10,10,17,4
39,11,12,5
41,11,23,5
33,12,18,4
35,12,18,3
32,13,8,1
34,13,24,3
12,14,7,4
14,14,12,5
41,15,3,2
43,15,9,1
19,16,13,3
21,16,9,5
26,17,11,2
28,17,12,2
31,18,17,2
33,18,4,4
28,19,4,1
30,19,10,2
46,20,22,1
48,20,13,3
11,21,17,1
13,21,25,5
12,22,7,3
14,22,12,1
43,23,20,4
45,23,12,1
55,24,5,1
57,24,11,2
11,25,16,4
13,25,12,5
55,26,3,4
57,26,18,2
32,27,18,5
34,27,5,1
36,28,17,2
38,28,15,2
34,29,15,2
36,29,23,1
19,30,4,5
21,30,17,4
17,31,25,3
19,31,13,5
24,32,18,3
26,32,14,4
23,33,17,3
25,33,19,4
13,34,21,2
15,34,6,2
39,35,6,3
41,35,3,1
31,36,22,4
33,36,12,1
4,37,8,2
6,37,12,1
41,38,21,3
43,38,6,1
52,39,24,2
54,39,13,1
40,40,14,1
42,40,14,1
13,41,2,2
15,41,11,5
14,42,13,1
16,42,5,3
4,43,7,3
6,43,24,1
1,44,11,1
3,44,5,1
42,45,11,5
44,45,11,5
53,46,18,2
55,46,8,2
40,47,8,5
42,47,24,4
21,48,23,3
23,48,21,2
21,49,11,5
23,49,8,5
26,50,17,4
28,50,9,4
41,51,7,1
43,51,5,1
48,52,23,3
50,52,15,5
45,53,15,4
47,53,17,2
36,54,23,1
38,54,11,3
7,55,16,3
9,55,12,4
25,56,18,1
27,56,13,1
2,57,10,5
4,57,23,4
15,58,4,5
17,58,11,4
18,59,15,5
20,59,11,3
44,60,9,3
46,60,20,4
24,61,7,5
26,61,12,4
27,62,25,2
29,62,25,4
14,63,8,5
16,63,4,1
25,64,16,2
27,64,7,2
56,65,17,1
58,65,9,1
25,66,2,1
27,66,5,2
7,67,1,5
9,67,24,1
2,68,3,1
4,68,22,4
3,69,19,1
5,69,10,3
38,70,15,2
40,70,24,1
14,71,1,2
16,71,11,4
15,72,21,3
17,72,17,1
11,73,22,1
13,73,22,5
16,74,14,4
18,74,3,4
18,75,1,4
20,75,9,4
17,76,22,4
19,76,19,5
9,77,21,1
11,77,20,2
41,78,15,1
43,78,1,5
35,79,8,2
37,79,23,4
44,80,6,2
46,80,4,5
37,81,23,3
39,81,4,5
52,82,8,4
54,82,6,4
25,83,1,5
27,83,3,4
41,84,1,2
43,84,4,2
39,85,4,3
41,85,21,4
13,86,7,5
15,86,23,4
53,87,23,1
55,87,22,1
16,88,9,1
18,88,5,1
32,89,11,5
34,89,12,5
12,90,7,1
14,90,4,1
26,91,19,4
28,91,20,1
38,92,6,5
40,92,24,5
34,93,13,5
36,93,14,3
46,94,17,1
48,94,18,3
3,95,17,2
5,95,19,3
15,96,14,1
17,96,5,4
37,97,17,4
39,97,16,1
26,98,22,1
28,98,19,2
10,99,25,1
12,99,14,1
4,100,11,1
6,100,23,5
38,101,11,4
40,101,19,3
31,102,6,5
33,102,2,4
54,103,11,2
56,103,20,5
55,104,22,3
57,104,1,5
5,105,13,5
7,105,24,1
26,106,15,5
28,106,13,4
15,107,17,5
17,107,15,2
55,108,21,1
57,108,16,4
53,109,9,1
55,109,8,3
35,110,15,5
37,110,18,5
25,111,7,5
27,111,25,4
12,112,6,3
14,112,15,5
28,113,2,4
30,113,19,3
23,114,15,1
25,114,25,1
3,115,22,3
5,115,5,5
12,116,9,1
14,116,19,3
19,117,22,4
21,117,8,3
44,118,10,1
46,118,11,2
37,119,17,5
39,119,21,5
26,120,7,2
28,120,5,1
26,121,19,4
28,121,22,2
55,122,6,1
57,122,4,4
19,123,24,5
21,123,4,4
26,124,25,2
28,124,24,5
29,125,10,1
31,125,6,3
8,126,22,4
10,126,9,4
33,127,25,4
35,127,16,3
48,128,4,4
50,128,14,5
1,129,1,2
3,129,5,4
25,130,21,3
27,130,24,4
33,131,5,1
35,131,22,1
5,132,1,5
7,132,17,4
52,133,19,4
54,133,18,1
11,134,17,4
13,134,24,2
2,135,11,5
4,135,5,1
1,136,15,4
57,136,9,4
7,137,3,3
9,137,3,2
49,138,8,5
51,138,23,4
5,139,19,4
7,139,12,1
34,140,1,5
36,140,17,2
35,141,24,2
37,141,19,5
41,142,25,5
43,142,3,4
41,143,13,5
43,143,13,3
15,144,2,4
17,144,4,5
45,145,23,2
47,145,17,4
2,146,16,3
4,146,14,2
14,147,3,1
16,147,9,1
3,148,5,3
5,148,15,2
53,149,25,4
55,149,7,3
56,150,13,5
58,150,8,4
35,151,12,2
37,151,14,3
42,152,12,1
44,152,4,2
28,153,8,5
30,153,12,4
13,154,5,3
15,154,1,3
6,155,2,2
8,155,17,2
39,156,21,2
41,156,24,4
15,157,4,3
17,157,22,4
25,158,22,5
27,158,16,4
26,159,21,5
28,159,6,2
27,160,11,2
29,160,25,2
2,161,17,4
4,161,3,1
3,162,4,3
5,162,19,3
1,163,24,1
3,163,12,3
5,164,24,5
7,164,20,5
42,165,21,5
44,165,9,1
18,166,20,1
20,166,1,4
46,167,15,3
48,167,9,5
45,168,16,4
47,168,19,2
2,169,17,5
4,169,4,1
11,170,22,1
13,170,9,1
17,171,8,5
19,171,21,3
49,172,4,5
51,172,24,4
19,173,19,1
21,173,14,2
55,174,11,4
57,174,16,1
5,175,5,3
7,175,6,3
21,176,21,3
23,176,21,5
1,177,18,3
3,177,9,4
36,178,22,4
38,178,6,5
30,179,24,3
32,179,8,5
15,180,5,5
17,180,17,3
43,181,17,1
45,181,9,1
16,182,8,2
18,182,4,4
43,183,19,5
45,183,10,2
44,184,3,4
46,184,11,3
18,185,17,2
20,185,16,3
32,186,13,4
34,186,21,2
11,187,22,2
13,187,20,4
45,188,16,1
47,188,13,2
22,189,2,4
24,189,16,5
39,190,4,4
41,190,2,3
55,191,6,4
57,191,24,2
50,192,23,1
52,192,13,5
9,193,9,4
11,193,18,4
25,194,9,4
27,194,12,1
30,195,1,1
32,195,14,4
20,196,13,5
22,196,13,3
39,197,16,4
41,197,7,2
49,198,8,4
51,198,8,2
38,199,8,1
40,199,3,1
43,200,25,4
45,200,19,1
44,201,18,4
46,201,5,2
30,202,13,2
32,202,3,2
22,203,10,3
24,203,25,1
52,204,9,1
54,204,10,1
55,205,11,1
57,205,8,3
30,206,16,3
32,206,17,4
4,207,2,5
6,207,5,2
39,208,3,3
41,208,10,2
31,209,3,1
33,209,6,3
9,210,14,1
11,210,7,2
32,211,15,5
34,211,19,3
32,212,11,3
34,212,8,3
2,213,19,1
58,213,13,5
25,214,24,4
27,214,16,2
23,215,18,4
25,215,8,1
48,216,13,4
50,216,24,1
53,217,5,5
55,217,6,2
1,218,20,5
57,218,25,1
42,219,18,5
44,219,22,4
29,220,12,4
31,220,5,5
2,221,11,2
58,221,1,2
41,222,2,1
43,222,7,5
1,223,21,2
3,223,21,3
37,224,14,2
39,224,7,4
51,225,2,2
53,225,7,3
56,226,8,5
58,226,4,3
48,227,12,4
50,227,8,5
6,228,21,1
8,228,14,3
22,229,22,4
24,229,15,2
25,230,3,1
27,230,24,3
21,231,16,3
23,231,1,2
38,232,22,4
40,232,5,4
2,233,22,3
4,233,9,4
23,234,6,1
25,234,23,4
2,235,7,3
4,235,10,2
10,236,4,2
12,236,7,2
2,237,7,4
4,237,4,5
53,238,20,2
55,238,20,3
33,239,5,1
35,239,19,2
7,240,16,2
9,240,25,4
20,241,21,4
22,241,9,4
7,242,7,2
9,242,13,5
1,243,19,1
3,243,19,4
2,244,13,4
58,244,25,1
18,245,22,3
20,245,7,4
10,246,1,5
12,246,12,5
6,247,17,4
8,247,15,2
24,248,11,2
26,248,10,2
32,249,25,1
34,249,11,5
40,250,10,5
42,250,12,2
19,251,21,4
21,251,21,5
6,252,2,5
8,252,7,5
40,253,11,1
42,253,17,2
29,254,16,5
31,254,9,3
36,255,1,4
38,255,25,5
36,256,10,2
38,256,22,2
7,257,22,4
9,257,1,3
10,258,17,5
12,258,11,5
17,259,13,1
19,259,6,5
18,260,7,5
20,260,18,4
55,261,8,2
57,261,10,4
25,262,9,3
27,262,21,4
18,263,19,4
20,263,1,3
24,264,9,3
26,264,15,1
48,265,4,3
50,265,25,5
4,266,15,4
6,266,12,3
21,267,3,3
23,267,13,1
2,268,9,1
58,268,20,5
48,269,2,5
50,269,20,3
38,270,23,5
40,270,5,5
23,271,4,1
25,271,2,3
20,272,6,3
22,272,3,4
40,273,21,4
42,273,15,1
52,274,11,4
54,274,22,3
6,275,16,2
8,275,23,4
35,276,7,4
37,276,16,5
29,277,7,1
31,277,6,4
9,278,1,1
11,278,9,4
35,279,25,3
37,279,1,1
3,280,5,5
5,280,20,3
41,281,21,4
43,281,13,3
17,282,15,5
19,282,17,2
52,283,19,1
54,283,1,4
8,284,11,3
10,284,21,1
52,285,1,3
54,285,3,1
36,286,7,5
38,286,25,4
21,287,15,2
23,287,14,2
36,288,15,2
38,288,3,3
48,289,8,2
50,289,21,1
48,290,25,5
50,290,9,5
36,291,14,5
38,291,10,3
12,292,25,5
14,292,13,3
41,293,11,2
43,293,17,4
3,294,4,4
5,294,21,5
39,295,6,4
41,295,13,4
24,296,20,4
26,296,5,3
39,297,23,5
41,297,5,2
17,298,20,2
19,298,20,5
13,299,1,3
15,299,12,2
34,300,9,5
36,300,5,2
42,301,21,3
44,301,22,2
12,302,1,5
14,302,1,5
29,303,8,1
31,303,8,1
43,304,24,4
45,304,16,5
5,305,2,4
7,305,18,5
56,306,11,5
58,306,18,1
30,307,22,1
32,307,19,4
5,308,15,5
7,308,8,3
3,309,14,5
5,309,10,1
48,310,2,1
50,310,19,3
18,311,19,4
20,311,2,1
21,312,24,4
23,312,10,1
27,313,6,5
29,313,18,3
4,314,15,1
6,314,10,1
35,315,1,4
37,315,1,5
54,316,5,3
56,316,3,3
23,317,14,2
25,317,19,5
8,318,13,3
10,318,2,1
4,319,1,5
6,319,17,4
41,320,12,4
43,320,6,2
2,321,20,5
58,321,8,2
26,322,14,2
28,322,16,2
15,323,19,2
17,323,2,2
37,324,15,3
39,324,8,2
24,325,20,2
26,325,21,2
31,326,21,2
33,326,11,4
2,327,20,4
58,327,16,5
44,328,14,2
46,328,25,2
40,329,19,3
42,329,16,5
53,330,24,4
55,330,13,4
50,331,24,2
52,331,21,1
19,332,22,1
21,332,21,4
53,333,12,3
55,333,19,1
6,334,16,1
8,334,18,2
2,335,18,3
58,335,12,4
30,336,12,5
32,336,16,1
30,337,3,1
32,337,23,3
40,338,4,4
42,338,10,1
40,339,23,3
42,339,10,3
15,340,21,2
17,340,21,2
4,341,17,5
6,341,19,4
31,342,3,3
33,342,8,2
53,343,15,2
55,343,24,4
9,344,6,3
11,344,19,3
50,345,1,5
52,345,15,4
44,346,3,3
46,346,25,4
5,347,18,5
7,347,10,1
34,348,23,1
36,348,11,1
18,349,15,5
20,349,23,2
40,350,14,2
42,350,15,5
17,351,21,4
19,351,10,2
36,352,18,3
38,352,21,1
33,353,1,2
35,353,7,4
18,354,8,4
20,354,4,1
2,355,4,5
58,355,23,5
45,356,6,1
47,356,12,2
8,357,7,3
