customer_id,member_no,level,points,join_date
1,M20250001,gold,1200,2025-10-02
2,M20250002,silver,450,2025-10-04
2001,M2001,bronze,100,2026-02-01
2002,M2002,bronze,117,2026-02-02
2003,M2003,bronze,134,2026-02-03
2004,M2004,bronze,151,2026-02-04
2005,M2005,bronze,168,2026-02-05
2006,M2006,bronze,185,2026-02-06
2007,M2007,bronze,202,2026-02-07
2008,M2008,bronze,219,2026-02-08
2009,M2009,bronze,236,2026-02-09
2010,M2010,bronze,253,2026-02-10
2011,M2011,bronze,270,2026-02-11
2012,M2012,bronze,287,2026-02-12
2013,M2013,bronze,304,2026-02-13
2014,M2014,bronze,321,2026-02-14
2015,M2015,bronze,338,2026-02-15
2016,M2016,bronze,355,2026-02-16
2017,M2017,bronze,372,2026-02-17
2018,M2018,bronze,389,2026-02-18
2019,M2019,bronze,406,2026-02-19
2020,M2020,bronze,423,2026-02-20
2021,M2021,bronze,440,2026-02-21
2022,M2022,bronze,457,2026-02-22
2023,M2023,bronze,474,2026-02-23
2024,M2024,bronze,491,2026-02-24
2025,M2025,bronze,508,2026-02-25
2026,M2026,bronze,525,2026-02-26
2027,M2027,bronze,542,2026-02-27
2028,M2028,bronze,559,2026-02-28
2029,M2029,bronze,576,2026-02-01
2030,M2030,bronze,593,2026-02-02
2031,M2031,bronze,610,2026-02-03
2032,M2032,bronze,627,2026-02-04
2033,M2033,bronze,644,2026-02-05
2034,M2034,bronze,661,2026-02-06
2035,M2035,bronze,678,2026-02-07
2036,M2036,bronze,695,2026-02-08
2037,M2037,bronze,712,2026-02-09
2038,M2038,bronze,729,2026-02-10
2039,M2039,bronze,746,2026-02-11
2040,M2040,bronze,763,2026-02-12
2041,M2041,bronze,780,2026-02-13
2042,M2042,bronze,797,2026-02-14
2043,M2043,bronze,814,2026-02-15
2044,M2044,bronze,831,2026-02-16
2045,M2045,bronze,848,2026-02-17
2046,M2046,bronze,865,2026-02-18
2047,M2047,bronze,882,2026-02-19
2048,M2048,bronze,899,2026-02-20
2049,M2049,bronze,916,2026-02-21
2050,M2050,bronze,933,2026-02-22
2051,M2051,bronze,950,2026-02-23
2052,M2052,bronze,967,2026-02-24
2053,M2053,bronze,984,2026-02-25
2054,M2054,bronze,1001,2026-02-26
2055,M2055,bronze,1018,2026-02-27
2056,M2056,bronze,1035,2026-02-28
2057,M2057,bronze,1052,2026-02-01
2058,M2058,bronze,1069,2026-02-02
2059,M2059,bronze,1086,2026-02-03
2060,M2060,bronze,1103,2026-02-04
2061,M2061,bronze,1120,2026-02-05
2062,M2062,bronze,1137,2026-02-06
2063,M2063,bronze,1154,2026-02-07
2064,M2064,bronze,1171,2026-02-08
2065,M2065,bronze,1188,2026-02-09
2066,M2066,bronze,1205,2026-02-10
2067,M2067,bronze,1222,2026-02-11
2068,M2068,bronze,1239,2026-02-12
2069,M2069,bronze,1256,2026-02-13
2070,M2070,bronze,1273,2026-02-14
2071,M2071,bronze,1290,2026-02-15
2072,M2072,bronze,1307,2026-02-16
2073,M2073,bronze,1324,2026-02-17
2074,M2074,bronze,1341,2026-02-18
2075,M2075,bronze,1358,2026-02-19
2076,M2076,bronze,1375,2026-02-20
2077,M2077,bronze,1392,2026-02-21
2078,M2078,bronze,1409,2026-02-22
2079,M2079,bronze,1426,2026-02-23
2080,M2080,bronze,1443,2026-02-24
2081,M2081,bronze,1460,2026-02-25
2082,M2082,bronze,1477,2026-02-26
2083,M2083,bronze,1494,2026-02-27
2084,M2084,bronze,1511,2026-02-28
2085,M2085,bronze,1528,2026-02-01
2086,M2086,bronze,1545,2026-02-02
2087,M2087,bronze,1562,2026-02-03
2088,M2088,bronze,1579,2026-02-04
2089,M2089,bronze,1596,2026-02-05
2090,M2090,bronze,1613,2026-02-06
2091,M2091,bronze,1630,2026-02-07
2092,M2092,bronze,1647,2026-02-08
2093,M2093,bronze,1664,2026-02-09
2094,M2094,bronze,1681,2026-02-10
2095,M2095,bronze,1698,2026-02-11
2096,M2096,bronze,1715,2026-02-12
2097,M2097,bronze,1732,2026-02-13
2098,M2098,bronze,1749,2026-02-14
2099,M2099,bronze,1766,2026-02-15
2100,M2100,bronze,1783,2026-02-16
2101,M2101,bronze,1800,2026-02-17
2102,M2102,bronze,1817,2026-02-18
2103,M2103,bronze,1834,2026-02-19
2104,M2104,bronze,1851,2026-02-20
2105,M2105,bronze,1868,2026-02-21
2106,M2106,bronze,1885,2026-02-22
2107,M2107,bronze,1902,2026-02-23
2108,M2108,bronze,1919,2026-02-24
2109,M2109,bronze,1936,2026-02-25
2110,M2110,bronze,1953,2026-02-26
2111,M2111,bronze,1970,2026-02-27
2112,M2112,bronze,1987,2026-02-28
2113,M2113,bronze,2004,2026-02-01
2114,M2114,bronze,2021,2026-02-02
2115,M2115,bronze,2038,2026-02-03
2116,M2116,bronze,2055,2026-02-04
2117,M2117,bronze,2072,2026-02-05
2118,M2118,bronze,2089,2026-02-06
2119,M2119,bronze,2106,2026-02-07
2120,M2120,bronze,2123,2026-02-08
2121,M2121,bronze,2140,2026-02-09
2122,M2122,bronze,2157,2026-02-10
2123,M2123,bronze,2174,2026-02-11
2124,M2124,bronze,2191,2026-02-12
2125,M2125,bronze,2208,2026-02-13
2126,M2126,bronze,2225,2026-02-14
2127,M2127,bronze,2242,2026-02-15
2128,M2128,bronze,2259,2026-02-16
2129,M2129,bronze,2276,2026-02-17
2130,M2130,bronze,2293,2026-02-18
2131,M2131,bronze,2310,2026-02-19
2132,M2132,bronze,2327,2026-02-20
2133,M2133,bronze,2344,2026-02-21
2134,M2134,bronze,2361,2026-02-22
2135,M2135,bronze,2378,2026-02-23
2136,M2136,bronze,2395,2026-02-24
2137,M2137,bronze,2412,2026-02-25
2138,M2138,bronze,2429,2026-02-26
2139,M2139,bronze,2446,2026-02-27
2140,M2140,bronze,2463,2026-02-28
2141,M2141,bronze,2480,2026-02-01
2142,M2142,bronze,2497,2026-02-02
2143,M2143,bronze,2514,2026-02-03
2144,M2144,bronze,2531,2026-02-04
2145,M2145,bronze,2548,2026-02-05
2146,M2146,bronze,2565,2026-02-06
2147,M2147,bronze,2582,2026-02-07
2148,M2148,bronze,2599,2026-02-08
2149,M2149,bronze,2616,2026-02-09
2150,M2150,bronze,2633,2026-02-10
2151,M2151,bronze,2650,2026-02-11
2152,M2152,bronze,2667,2026-02-12
2153,M2153,bronze,2684,2026-02-13
2154,M2154,bronze,2701,2026-02-14
2155,M2155,bronze,2718,2026-02-15
2156,M2156,bronze,2735,2026-02-16
2157,M2157,bronze,2752,2026-02-17
2158,M2158,bronze,2769,2026-02-18
2159,M2159,bronze,2786,2026-02-19
2160,M2160,bronze,2803,2026-02-20
2161,M2161,bronze,2820,2026-02-21
2162,M2162,bronze,2837,2026-02-22
2163,M2163,bronze,2854,2026-02-23
2164,M2164,bronze,2871,2026-02-24
2165,M2165,bronze,2888,2026-02-25
2166,M2166,bronze,2905,2026-02-26
2167,M2167,bronze,2922,2026-02-27
2168,M2168,bronze,2939,2026-02-28
2169,M2169,bronze,2956,2026-02-01
2170,M2170,bronze,2973,2026-02-02
2171,M2171,bronze,2990,2026-02-03
2172,M2172,bronze,3007,2026-02-04
2173,M2173,bronze,3024,2026-02-05
2174,M2174,bronze,3041,2026-02-06
