publisher_id,publisher_name,contact_name,phone,email,address,country,website
1,世界图书出版公司,发行部,010-64033507,wpcbjsell@163.com,北京市东城区朝内大街137号,中国,https://www.wpcbj.com.cn/
2,东方出版中心,发行部,021-62344019,dongfang_1987@sina.com,上海市长宁区仙霞路345号,中国,https://www.ewen.co/
3,中华书局,发行部,010-63459967,faxing@zhbc.com.cn,北京市丰台区太平桥西里38号,中国,https://www.zhbc.com.cn/
4,中国人民大学出版社,发行部,010-62514760,club@crup.com.cn,北京市海淀区中关村大街31号,中国,https://www.crup.com.cn/
5,中国大百科全书出版社,发行部,010-88390601,dbk_duzhe@ecph.com.cn,北京市西城区阜成门北大街17号,中国,https://www.ecph.com.cn/
6,中国民主法制出版社,营销中心,010-63058068,mzfz@npcpub.com,北京市丰台区右安门外玉林里7号,中国,https://www.npcpub.com/
7,中国社会科学出版社,发行部,010-64046282,273878034@qq.com,北京市西城区鼓楼西大街甲158号,中国,https://www.csspw.cn/
8,中译出版社,发行部,010-68005858,ctph@ctph.com.cn,北京市西城区车公庄大街甲4号物华大厦6层,中国,http://www.ctpc.com.cn/
9,人民卫生出版社,发行部,010-59780011,pmph@pmph.com,北京市朝阳区潘家园南里19号人卫大厦B座,中国,https://www.pmph.com/
10,人民文学出版社,发行部,010-65252965,office@plph-hp.com,北京市丰台区右外西路2号院4号楼,中国,https://www.rw-cn.com/
11,人民美术出版社,发行部,010-56692181,renmeifaxing@188.com,北京市朝阳区东三环中路63号富力中心17层1709室,中国,http://www.renmei.com.cn/
12,人民邮电出版社,发行部,010-81055236,proedu@ptpres.com.cn,北京市丰台区成寿寺路11号邮电出版大厦,中国,https://www.ptpress.com.cn/
13,人民音乐出版社,发行部,010-58110591,rmyy@rymusic.com.cn,北京市东城区朝阳门内大街甲55号,中国,https://www.rymusic.art/
14,人民音乐电子音像出版社,发行部,010-58110591,rmyy@rymusic.com.cn,北京市东城区朝阳门内大街甲55号,中国,https://www.rymusic.art/
15,北京交通大学出版社,订购处,010-51686424,press@bjtu.edu.cn,北京市海淀区高粱桥斜街44号,中国,https://press.bjtu.edu.cn/
16,北京大学出版社,出版部,010-62757146,em@pup.pku.edu.cn;zpup@pup.pku.edu.cn,北京市海淀区成府路205号,中国,https://www.pup.cn/
17,华文出版社,发行部,010-63370164,hwcbs@163.com,北京市宣武区广外大街305号8区5号楼2层,中国,http://www.hwcbs.com.cn/
18,吉林大学出版社,发行部,0431-89580058,jdcbs@jlu.edu.cn,吉林省长春市朝阳区人民大街4059号,中国,http://www.jlup.com.cn/
19,商务印书馆,营销中心,010-65253913,swysg_duzhe@cp.com.cn,北京市东城区王府井大街36号,中国,https://www.cp.com.cn/
20,商务印书馆国际有限公司,发行部,010-65126990,shangwuguoji1993@163.com,北京市东城区王府井大街36号,中国,https://www.cp.com.cn/
21,复旦大学出版社,发行部,021-65642854,fdupress@163.com,上海市国权路579号,中国,https://www.fudanpress.com/
22,外语教学与研究出版社,发行部,400-898-7008,webclub@fltrp.com,北京市海淀区西三环北路19号,中国,https://www.fltrp.com/
23,天天出版社,市场部,010-64169029,hwcbs@163.com,北京市东城区东中街42号2号楼二层,中国,https://www.rw-cn.com/
24,清华大学出版社,发行部,010-62776969,c-service@tup.tsinghua.edu.cn,北京市海淀区双清路学研大厦A座6层,中国,https://www.tup.tsinghua.edu.cn/
25,现代出版社,发行部,010-64257481,xiandai@cnpite.com.cn,北京市朝阳区安华里504号,中国,http://www.modernpress.cn/
26,现代教育出版社,发行部,010-64251256,xdjycbs1969syf@126.com,北京市丰台区右外西路2号院3号楼13层,中国,http://www.mepcbs.com/
27,生活·读书·新知三联书店,发行部,010-64001122,qinjuzhao123@yahoo.com.cn,北京市东城区美术馆东街22号,中国,http://www.sdxjpc.com/
28,研究出版社,营销中心,010-88810715,yj@yjcbs.cn,北京市丰台区右外西路2号院中国国际出版交流中心3号楼11层,中国,http://www.yjcbs.com/
29,荣宝斋出版社,发行部,010-65141048,gongyi_gy@163.com,北京市西城区和平门外琉璃厂西街19号荣宝斋大厦三层,中国,http://www.rongbaozhai.cn/
30,连环画出版社,发行部,010-85114279, renmeifaxing@188.com,北京市东城区北总布胡同32号,中国,http://www.lhhcbs.com/
31,高等教育出版社,发行部,010-58581118,gjdzfwb@pub.hep.cn；dd@hep.com,北京市西城区德外大街4号；北京市朝阳区惠新东街4号富盛大厦,中国,https://www.hep.com.cn/
