purchase_order_id,line_no,product_id,quantity,purchase_price,line_amount
1,1,42040,12,73.93,887.16
1,2,41493,6,34.13,204.78
1,3,42715,12,33.28,399.36
1,4,34036,12,80.78,969.36
1,5,33666,46,39.41,1812.86
1,6,39696,23,75.19,1729.37
1,7,37753,46,35.26,1621.96
1,8,36145,23,73.68,1694.64
1,9,37869,6,142.99,857.94
1,10,33495,23,50.20,1154.60
1,11,41999,12,83.69,1004.28
1,12,38791,12,35.01,420.12
1,13,42407,46,127.24,5853.04
2,1,61905,92,26.44,2432.48
2,2,57368,12,74.44,893.28
2,3,63122,23,52.87,1216.01
2,4,62158,92,27.32,2513.44
2,5,64411,12,50.70,608.40
2,6,55262,12,60.55,726.60
2,7,66998,92,13.94,1282.48
2,8,68895,230,31.07,7146.10
2,9,58089,23,52.93,1217.39
2,10,59857,92,42.39,3899.88
2,11,60587,12,46.47,557.64
2,12,67729,46,36.51,1679.46
3,1,42022,12,28.92,347.04
3,2,32029,12,38.09,457.08
3,3,37488,6,37.24,223.44
3,4,40878,12,133.65,1603.80
3,5,32100,46,46.34,2131.64
3,6,33822,23,50.42,1159.66
3,7,40753,12,20.71,248.52
3,8,42524,23,410.47,9440.81
3,9,40325,23,44.20,1016.60
3,10,37040,46,34.66,1594.36
4,1,74507,230,140.99,32427.70
4,2,87670,92,11.67,1073.64
4,3,81891,230,31.63,7274.90
4,4,89999,138,33.67,4646.46
4,5,80696,23,48.84,1123.32
4,6,76225,46,54.60,2511.60
4,7,87939,46,31.35,1442.10
4,8,79322,23,32.10,738.30
4,9,77484,23,36.17,831.91
4,10,88942,92,23.91,2199.72
4,11,83454,46,25.96,1194.16
4,12,76627,46,24.60,1131.60
4,13,79259,23,21.33,490.59
4,14,75095,46,131.71,6058.66
4,15,85118,92,29.09,2676.28
4,16,87179,23,23.99,551.77
5,1,35449,12,26.16,313.92
5,2,39318,23,40.72,936.56
5,3,41935,12,121.52,1458.24
5,4,39815,23,27.58,634.34
5,5,36865,12,77.16,925.92
5,6,38616,12,16.12,193.44
5,7,42454,12,57.93,695.16
5,8,40313,6,115.24,691.44
5,9,41869,6,37.99,227.94
5,10,41275,6,42.48,254.88
5,11,31719,23,51.85,1192.55
5,12,33040,6,12.40,74.40
5,13,39702,12,79.65,955.80
5,14,37487,55,12.80,704.00
5,15,39187,12,112.26,1347.12
5,16,35135,6,68.18,409.08
5,17,41747,6,37.13,222.78
5,18,36227,12,35.73,428.76
5,19,36281,12,99.08,1188.96
5,20,38559,12,24.26,291.12
5,21,38663,12,27.51,330.12
5,22,33092,6,53.34,320.04
6,1,63732,6,44.29,265.74
6,2,61396,46,135.35,6226.10
6,3,67775,92,49.03,4510.76
6,4,59945,12,57.20,686.40
6,5,58105,12,84.33,1011.96
6,6,54044,46,122.68,5643.28
6,7,69304,23,123.35,2837.05
6,8,68651,6,73.44,440.64
6,9,62893,6,49.65,297.90
6,10,55000,6,30.26,181.56
6,11,65526,28,24.84,695.52
6,12,65891,46,20.65,949.90
6,13,54045,55,92.14,5067.70
7,1,14959,46,42.66,1962.36
7,2,15875,46,37.61,1730.06
7,3,21756,46,26.95,1239.70
7,4,18682,6,30.96,185.76
7,5,28264,6,40.95,245.70
7,6,26111,23,19.70,453.10
7,7,21468,23,30.15,693.45
7,8,26719,6,89.13,534.78
7,9,21950,6,35.24,211.44
7,10,28083,46,33.84,1556.64
7,11,23862,92,28.52,2623.84
7,12,26053,138,24.37,3363.06
7,13,20301,46,36.39,1673.94
7,14,20904,6,44.73,268.38
7,15,15434,12,59.95,719.40
7,16,16849,6,57.25,343.50
7,17,25556,12,40.55,486.60
7,18,17866,23,282.02,6486.46
7,19,17662,6,73.43,440.58
7,20,17423,23,36.19,832.37
7,21,24502,12,46.93,563.16
7,22,16452,12,40.90,490.80
8,1,103537,28,52.89,1480.92
8,2,106999,55,1.35,74.25
8,3,121217,83,21.73,1803.59
8,4,118080,28,26.17,732.76
8,5,98518,28,7.57,211.96
8,6,112986,28,45.07,1261.96
8,7,98219,14,6.06,84.84
8,8,125950,28,21.55,603.40
8,9,115815,28,3.14,87.92
8,10,125080,28,50.77,1421.56
8,11,110129,55,20.13,1107.15
8,12,128637,14,21.02,294.28
8,13,128513,55,7.36,404.80
8,14,123502,28,86.84,2431.52
8,15,116817,55,22.87,1257.85
8,16,117158,28,8.88,248.64
8,17,95533,55,13.38,735.90
8,18,98616,55,6.25,343.75
8,19,128842,28,4.30,120.40
8,20,126181,83,8.41,698.03
8,21,110065,28,75.99,2127.72
9,1,67063,12,30.93,371.16
9,2,67123,46,52.62,2420.52
9,3,54857,92,43.89,4037.88
9,4,58085,46,24.55,1129.30
9,5,59385,23,21.84,502.32
9,6,59050,23,28.06,645.38
9,7,64939,46,161.65,7435.90
9,8,58345,138,51.87,7158.06
9,9,59620,46,40.64,1869.44
9,10,54225,12,65.87,790.44
9,11,60692,12,46.37,556.44
9,12,59268,6,42.21,253.26
9,13,54134,6,70.42,422.52
9,14,65917,23,51.59,1186.57
9,15,65285,230,40.45,9303.50
9,16,67481,23,33.93,780.39
9,17,64063,12,58.31,699.72
10,1,96257,28,21.01,588.28
10,2,103730,83,52.04,4319.32
10,3,110121,55,9.03,496.65
10,4,96291,28,403.20,11289.60
10,5,100292,28,124.76,3493.28
10,6,92552,28,26.47,741.16
10,7,106013,138,17.11,2361.18
10,8,112985,28,27.06,757.68
10,9,96173,14,2.09,29.26
10,10,91862,28,1.37,38.36
10,11,96628,55,209.10,11500.50
10,12,122802,28,8.40,235.20
10,13,92055,55,3.52,193.60
10,14,113454,55,11.43,628.65
10,15,124602,28,41.18,1153.04
10,16,99478,28,466.34,13057.52
10,17,129710,55,57.44,3159.20
10,18,91865,28,22.41,627.48
10,19,114600,28,35.37,990.36
10,20,93957,83,24.73,2052.59
10,21,95201,14,292.29,4092.06
10,22,106304,14,16.07,224.98
10,23,120269,55,7.47,410.85
10,24,127474,55,32.40,1782.00
11,1,14268,6,148.30,889.80
11,2,14694,6,40.50,243.00
11,3,13840,69,87.99,6071.31
11,4,13908,6,32.38,194.28
11,5,14409,6,20.31,121.86
11,6,14243,12,249.60,2995.20
11,7,13239,12,23.45,281.40
11,8,13605,69,72.72,5017.68
12,1,35879,12,74.21,890.52
12,2,31671,12,29.78,357.36
12,3,40436,6,56.65,339.90
12,4,34066,46,67.22,3092.12
12,5,35780,6,123.75,742.50
12,6,34838,23,23.63,543.49
12,7,33239,46,18.19,836.74
12,8,32207,12,33.03,396.36
12,9,41208,23,66.13,1520.99
13,1,9919,6,28.66,171.96
13,2,5788,12,19.21,230.52
13,3,170,46,26.47,1217.62
13,4,8476,6,55.81,334.86
13,5,1023,6,26.16,156.96
13,6,7198,46,57.22,2632.12
13,7,10920,12,68.86,826.32
13,8,12241,23,28.28,650.44
13,9,7275,6,25.71,154.26
13,10,11747,23,41.04,943.92
13,11,4972,6,30.54,183.24
13,12,11297,12,27.05,324.60
13,13,1819,46,53.98,2483.08
13,14,11912,23,30.18,694.14
13,15,3052,46,115.00,5290.00
13,16,2591,23,32.75,753.25
14,1,66391,12,18.08,216.96
14,2,63013,23,41.89,963.47
14,3,65879,23,64.08,1473.84
14,4,68390,23,18.99,436.77
14,5,58615,23,31.87,733.01
14,6,58313,46,40.33,1855.18
14,7,63565,12,33.84,406.08
14,8,60685,92,31.46,2894.32
14,9,57801,46,40.40,1858.40
14,10,61470,23,161.74,3720.02
14,11,63926,92,26.46,2434.32
14,12,62626,6,54.72,328.32
14,13,55662,23,21.48,494.04
14,14,61854,12,16.79,201.48
14,15,55363,92,74.16,6822.72
14,16,55682,6,36.04,216.24
14,17,55280,12,78.12,937.44
14,18,60395,46,40.33,1855.18
14,19,56734,6,63.95,383.70
15,1,43237,23,27.03,621.69
15,2,46164,6,70.81,424.86
15,3,50916,23,14.98,344.54
15,4,46259,46,22.38,1029.48
15,5,46896,6,20.09,120.54
15,6,43195,12,20.07,240.84
15,7,52143,138,17.20,2373.60
15,8,44372,46,25.54,1174.84
15,9,45219,23,29.32,674.36
15,10,44804,92,30.63,2817.96
15,11,52146,23,29.94,688.62
16,1,30402,12,69.16,829.92
16,2,52898,23,45.64,1049.72
16,3,30619,12,74.91,898.92
16,4,53696,23,42.92,987.16
16,5,52878,23,25.61,589.03
16,6,53810,23,36.39,836.97
16,7,53833,92,22.96,2112.32
