sale_id,line_no,product_id,quantity,unit_price,line_amount
1,1,1,1,88.00,88.00
1,2,4,10,3.50,35.00
1,3,5,2,12.00,24.00
2,1,4,10,3.50,35.00
3,1,2,1,129.00,129.00
3,2,3,1,59.00,59.00
5001,1,6,1,79.0,79.0
5001,2,7,1,82.16,82.16
5002,1,8,1,79.0,79.0
5002,2,9,1,82.16,82.16
5002,3,10,2,85.32,170.64
5003,1,11,1,79.0,79.0
5004,1,12,1,79.0,79.0
5004,2,13,1,82.16,82.16
5005,1,14,1,79.0,79.0
5005,2,15,1,82.16,82.16
5005,3,16,2,85.32,170.64
5006,1,17,1,79.0,79.0
5006,2,62,1,50.96,50.96
5007,1,63,1,49.0,49.0
5007,2,64,1,50.96,50.96
5008,1,65,1,49.0,49.0
5009,1,7,1,79.0,79.0
5009,2,66,1,50.96,50.96
5010,1,10,1,79.0,79.0
5010,2,67,1,50.96,50.96
5010,3,68,2,52.92,105.84
5011,1,69,1,49.0,49.0
5011,2,70,1,50.96,50.96
5012,1,8,1,79.0,79.0
5012,2,71,1,50.96,50.96
