stock_in_id,line_no,product_id,quantity,unit_cost,line_amount
1,1,1,20,54.00,1080.00
2,1,2,30,78.00,2340.00
30001,1,120,19,48.98,930.62
30001,2,121,24,50.56,1213.44
30001,3,122,29,47.4,1374.6
30001,4,123,34,48.98,1665.32
30001,5,124,14,50.56,707.84
30001,6,125,19,47.4,900.6
30001,7,126,24,48.98,1175.52
30001,8,127,29,50.56,1466.24
30001,9,128,34,47.4,1611.6
30001,10,129,14,48.98,685.72
30002,1,130,20,48.98,979.6
30002,2,131,25,50.56,1264.0
30002,3,132,30,47.4,1422.0
30002,4,133,35,48.98,1714.3
30002,5,134,15,50.56,758.4
30002,6,135,20,47.4,948.0
30002,7,136,25,48.98,1224.5
30002,8,137,30,50.56,1516.8
30002,9,138,35,47.4,1659.0
30002,10,139,15,48.98,734.7
30003,1,150,22,48.98,1077.56
30003,2,151,27,50.56,1365.12
30003,3,152,32,47.4,1516.8
30003,4,153,37,48.98,1812.26
30003,5,154,17,50.56,859.52
30003,6,155,22,47.4,1042.8
30003,7,156,27,48.98,1322.46
30003,8,157,32,50.56,1617.92
30003,9,158,37,47.4,1753.8
30003,10,159,17,48.98,832.66
30004,1,160,19,48.98,930.62
30004,2,161,24,50.56,1213.44
30004,3,162,29,47.4,1374.6
30004,4,163,34,48.98,1665.32
30004,5,164,14,50.56,707.84
30004,6,165,19,47.4,900.6
30004,7,166,24,48.98,1175.52
30004,8,167,29,50.56,1466.24
30004,9,168,34,47.4,1611.6
30004,10,169,14,48.98,685.72
30005,1,170,20,48.98,979.6
30005,2,171,25,50.56,1264.0
30005,3,172,30,47.4,1422.0
30005,4,173,35,48.98,1714.3
30005,5,174,15,50.56,758.4
30005,6,175,20,47.4,948.0
30005,7,176,25,48.98,1224.5
30005,8,177,30,50.56,1516.8
30005,9,178,35,47.4,1659.0
30005,10,179,15,48.98,734.7
30006,1,180,21,48.98,1028.58
30006,2,181,26,50.56,1314.56
30006,3,182,31,47.4,1469.4
30006,4,183,36,48.98,1763.28
30006,5,184,16,50.56,808.96
30006,6,185,21,47.4,995.4
30006,7,186,26,48.98,1273.48
30006,8,187,31,50.56,1567.36
30006,9,188,36,47.4,1706.4
30006,10,189,16,48.98,783.68
30007,1,200,19,48.98,930.62
30007,2,201,24,50.56,1213.44
30007,3,202,29,47.4,1374.6
30007,4,203,34,48.98,1665.32
30007,5,204,14,50.56,707.84
30007,6,205,19,47.4,900.6
30007,7,206,24,48.98,1175.52
30007,8,207,29,50.56,1466.24
30007,9,208,34,47.4,1611.6
30007,10,209,14,48.98,685.72
30008,1,210,20,48.98,979.6
30008,2,211,25,50.56,1264.0
30008,3,212,30,47.4,1422.0
30008,4,213,35,48.98,1714.3
30008,5,214,15,50.56,758.4
30008,6,215,20,47.4,948.0
30008,7,216,25,48.98,1224.5
30008,8,217,30,50.56,1516.8
30008,9,218,35,47.4,1659.0
30008,10,219,15,48.98,734.7
30009,1,220,21,48.98,1028.58
30009,2,221,26,50.56,1314.56
30009,3,222,31,47.4,1469.4
30009,4,223,36,48.98,1763.28
30009,5,224,16,50.56,808.96
30009,6,225,21,47.4,995.4
30009,7,226,26,48.98,1273.48
30009,8,227,31,50.56,1567.36
30009,9,228,36,47.4,1706.4
30009,10,229,16,48.98,783.68
30010,1,230,22,48.98,1077.56
30010,2,231,27,50.56,1365.12
30010,3,232,32,47.4,1516.8
30010,4,233,37,48.98,1812.26
30010,5,234,17,50.56,859.52
30010,6,235,22,47.4,1042.8
30010,7,236,27,48.98,1322.46
30010,8,237,32,50.56,1617.92
30010,9,238,37,47.4,1753.8
30010,10,239,17,48.98,832.66
30011,1,250,20,48.98,979.6
30011,2,251,25,50.56,1264.0
30011,3,252,30,47.4,1422.0
30011,4,253,35,48.98,1714.3
30011,5,254,15,50.56,758.4
30011,6,255,20,47.4,948.0
30011,7,256,25,48.98,1224.5
30011,8,257,30,50.56,1516.8
30011,9,258,35,47.4,1659.0
30011,10,259,15,48.98,734.7
30012,1,260,21,48.98,1028.58
30012,2,261,26,50.56,1314.56
30012,3,262,31,47.4,1469.4
30012,4,263,36,48.98,1763.28
30012,5,264,16,50.56,808.96
30012,6,265,21,47.4,995.4
30012,7,266,26,48.98,1273.48
30012,8,267,31,50.56,1567.36
30012,9,268,36,47.4,1706.4
30012,10,269,16,48.98,783.68
30013,1,270,22,48.98,1077.56
30013,2,271,27,50.56,1365.12
30013,3,272,32,47.4,1516.8
30013,4,273,37,48.98,1812.26
30013,5,274,17,50.56,859.52
30013,6,275,22,47.4,1042.8
30013,7,276,27,48.98,1322.46
30013,8,277,32,50.56,1617.92
30013,9,278,37,47.4,1753.8
30013,10,279,17,48.98,832.66
30014,1,280,19,48.98,930.62
30014,2,281,24,50.56,1213.44
30014,3,282,29,47.4,1374.6
30014,4,283,34,48.98,1665.32
