store_id,store_name,city,address,phone,manager_name
1,上海五角场店,上海,上海市杨浦区翔殷路1099号上海合生汇,021-55660001,陈明
2,上海静安嘉里店,上海,上海市静安区南京西路1515号静安嘉里中心,021-55660012,顾瑶
3,上海港汇恒隆店,上海,上海市徐汇区虹桥路1号港汇恒隆广场,021-55660013,陆骁
4,上海环球港店,上海,上海市普陀区中山北路3300号环球港,021-55660014,沈宁
5,北京中关村店,北京,北京市海淀区中关村大街19号新中关购物中心,010-62550002,刘洁
6,北京王府井APM店,北京,北京市东城区王府井大街138号北京apm,010-62550015,何茜
7,北京朝阳大悦城店,北京,北京市朝阳区朝阳北路101号朝阳大悦城,010-62550016,宋扬
8,北京西单大悦城店,北京,北京市西城区西单北大街131号西单大悦城,010-62550017,魏琪
9,北京国贸商城店,北京,北京市朝阳区建国门外大街1号国贸商城,010-62550018,袁航
10,广州天河太古汇店,广州,广州市天河区天河路383号太古汇,020-38880003,周洋
11,广州正佳广场店,广州,广州市天河区天河路228号正佳广场,020-38880019,梁悦
12,广州K11店,广州,广州市天河区珠江东路6号广州K11,020-38880020,罗安
13,南京新街口店,南京,南京市秦淮区中山南路1号南京新百,025-84720004,王宁
14,南京德基广场店,南京,南京市玄武区中山路18号德基广场,025-84720025,徐岚
15,成都春熙路店,成都,成都市锦江区红星路三段1号成都IFS,028-86660005,赵琳
16,成都太古里店,成都,成都市锦江区中纱帽街8号成都远洋太古里,028-86660034,邹雨
17,深圳万象天地店,深圳,深圳市南山区深南大道9668号万象天地,0755-86660006,林浩
18,深圳卓悦中心店,深圳,深圳市福田区福华一路348号卓悦中心,0755-86660021,曾岚
19,深圳壹方城店,深圳,深圳市宝安区新湖路99号壹方城,0755-86660022,叶凡
20,武汉恒隆广场店,武汉,武汉市硚口区京汉大道668号武汉恒隆广场,027-85580007,胡婧
21,杭州湖滨银泰店,杭州,杭州市上城区延安路258号湖滨银泰in77,0571-87010008,许晨
22,大连恒隆广场店,大连,大连市西岗区五四路66号大连恒隆广场,0411-83690009,马远
23,青岛万象城店,青岛,青岛市市南区山东路6号青岛万象城,0532-55770010,孙乔
24,重庆来福士店,重庆,重庆市渝中区接圣街8号重庆来福士,023-63880011,邓珂
25,杭州嘉里中心店,杭州,杭州市拱墅区延安路385号杭州嘉里中心,0571-87010023,蒋思
26,杭州城西银泰店,杭州,杭州市拱墅区丰潭路380号城西银泰城,0571-87010024,钱舟
27,苏州中心店,苏州,苏州市苏州工业园区苏州大道西1号苏州中心,0512-62880026,曹越
28,苏州诚品生活店,苏州,苏州市苏州工业园区月廊街8号诚品生活,0512-62880027,唐沐
29,宁波阪急店,宁波,宁波市鄞州区海晏北路189号宁波阪急,0574-87260028,方璐
30,无锡恒隆广场店,无锡,无锡市梁溪区人民中路139号无锡恒隆广场,0510-82770029,薛扬
31,厦门万象城店,厦门,厦门市思明区湖滨东路99号厦门万象城,0592-5880030,郑舒
32,福州东百中心店,福州,福州市鼓楼区八一七北路84号东百中心,0591-87550031,林澈
33,天津恒隆广场店,天津,天津市和平区兴安路166号天津恒隆广场,022-27180032,杜若
34,武汉K11店,武汉,武汉市硚口区解放大道628号武汉K11,027-85580033,陶然
35,西安赛格国际店,西安,西安市雁塔区长安中路123号赛格国际购物中心,029-85260035,韩清
36,济南恒隆广场店,济南,济南市历下区泉城路188号济南恒隆广场,0531-86080036,孟欣
37,郑州正弘城店,郑州,郑州市金水区花园路126号正弘城,0371-65980037,贺川
38,长沙IFS店,长沙,长沙市芙蓉区解放西路188号长沙IFS,0731-82280038,易真
39,合肥万象城店,合肥,合肥市蜀山区潜山路111号合肥万象城,0551-65550039,潘舟
40,南昌万象城店,南昌,南昌市红谷滩区学府大道388号南昌万象城,0791-86770040,万宁
41,昆明恒隆广场店,昆明,昆明市盘龙区东风东路21号昆明恒隆广场,0871-63110041,段晴
42,贵阳国贸玖福城店,贵阳,贵阳市云岩区中华中路1号国贸玖福城,0851-85880042,莫然
43,南宁万象城店,南宁,南宁市青秀区民族大道136号南宁万象城,0771-5550043,覃宇
44,海口万象城店,海口,海口市龙华区金贸东路4号海口万象城,0898-68550044,符宁
45,石家庄万象城店,石家庄,石家庄市桥西区中山西路108号石家庄万象城,0311-87880045,冯珺
46,太原万象城店,太原,太原市万柏林区长兴路5号太原万象城,0351-7630046,乔木
47,沈阳万象城店,沈阳,沈阳市和平区青年大街288号沈阳万象城,024-23980047,许越
48,哈尔滨远大购物中心店,哈尔滨,哈尔滨市南岗区果戈里大街378号远大购物中心,0451-53670048,高原
49,长春欧亚卖场店,长春,长春市朝阳区开运街5178号欧亚卖场,0431-85550049,尹乐
50,呼和浩特维多利店,呼和浩特,呼和浩特市回民区中山西路1号维多利购物中心,0471-6290050,任川
51,乌鲁木齐友好商场店,乌鲁木齐,乌鲁木齐市沙依巴克区友好北路689号友好商场,0991-4810051,阿依娜
52,兰州中心店,兰州,兰州市七里河区西津西路16号兰州中心,0931-2350052,祁远
53,银川建发大阅城店,银川,银川市金凤区正源北街建发大阅城,0951-5980053,梁宁
54,西宁王府井店,西宁,西宁市城中区西大街40号王府井百货,0971-8240054,马岚
55,东莞民盈国贸城店,东莞,东莞市东城街道鸿福东路1号民盈国贸中心,0769-22880055,温宜
56,佛山岭南天地店,佛山,佛山市禅城区祖庙路29号岭南天地,0757-83380056,黎旭
57,珠海华发商都店,珠海,珠海市香洲区珠海大道8号华发商都,0756-8890057,贺晴
58,南通中南城店,南通,南通市崇川区桃园路12号中南城,0513-81180058,江澄
