translator_id,translator_name,country
1,丁三东,
2,丁大刚,
3,丁家琦,
4,丁建新 等,
5,丁建民,
6,丁曼旎,
7,丁林棚 等,
8,丁波 丁慧添,
9,丁玫,
10,丁由,
11,丁笃本,
12,丁耘,
13,丁骏,
14,万俊人,
15,万悦容 编,
16,严和来 乔菁 江岭,
17,严和来 姜余,
18,严岩 译 谢晓川 校,
19,严忠志,
20,严群,
21,中国社会科学院丝绸之路研究院,
22,中国社会科学院俄罗斯东欧中亚研究所,
23,中山大学《拿破仑时代》翻译组,
24,中山大学中国公益慈善研究院翻译组,
25,中油国际中亚公司,
26,主,
27,乐小军,
28,乐梅,
29,乔依德,
30,乔戈,
31,乔溪,
32,乔溪 等,
33,于占杰,
34,于干,
35,于庆生,
36,于文璟,
37,于杰,
38,于柏华,
39,于树生,
40,于树生 陈东威,
41,于海江 赵翠莲 等,
42,于海鹏,
43,于留振,
44,于睿寅,
45,于秀英,
46,于素秋 李延坤 武宝瑞,
47,于肖末,
48,于雪梅,
49,京不特,
50,人文地理学-研究,
51,仇傲,
52,付丽丽 李紫璐 刘晓洋 周晓煦,
53,付天海,
54,付有强,
55,付欣 等,
56,付欣 马庆林 黄文军 等,
57,付欣 高一波 张蕊楠,
58,付金鑫,
59,代晓明 陆嘉琦,
60,代芊 蔡亦默,
61,任其然 等,
62,任军锋 徐卫翔,
63,任子峰,
64,任小红,
65,任晴,
66,任月园,
67,任月园等,
68,任炳湘,
69,任炳湘 王士俊,
70,任田升 陈国雄,
71,任立 孟庆时,
72,任筱可,
73,伊信,
74,伍仁益,
75,伍光建,
76,伍志萍,
77,伍跃 凌鹏,
78,伯尼,
79,何东,
80,何中清 淡晓红 梁雅梦 赵晶,
81,何倩,
82,何兆武,
83,何兆武 徐奕春 林国夫,
84,何兆武 李约瑟,
85,何兆武 许振洲 彭刚,
86,何勇 夏宁生 司辉 张兆星,
87,何勤华 魏敏,
88,何包钢,
89,何卫平,
90,何可人 周宇舫,
91,何娇 编,
92,何宁,
93,何宝玉,
94,何家炜,
95,何小荣,
96,何崑曾 高德超,
97,何希齐,
98,何庆元,
99,何建宇,
100,何怀宏,
101,何怀宏 廖申白,
102,何慕李,
103,何文忠 袁嘉婧 于春丽,
104,何新,
105,何本国,
106,何欢欢 译注,
107,何欢欢 译释,
108,何永红,
109,何涛 编,
110,何清新,
111,何玮 陈文栋 李波,
112,何瑞英,
113,何瑞英 蔡谦 范定九 王祖廉,
114,何畏 易家详 等,
115,何红梅,
116,何莲珍 朱晔 等,
117,何蓉,
118,何蓉 刘洋,
119,何道宽,
120,何钦,
121,何钦 等,
122,何钧,
123,何静芝,
124,何高济,
125,佘碧平,
126,余中先,
127,余中先 张朋浩 车耳,
128,余劲松 陈亮,
129,余叔通 王雪华,
130,余君芷,
131,余大钧,
132,余大钧 周建奇,
133,余娟,
134,余怀龙,
135,余成峰,
136,余明锋,
137,余星涤 刘 丽 姜杉钰 张凤仪 王佳佳,
138,余晓娟 孙佼佼,
139,余杨,
140,余梦婷,
141,余水定 徐寿冠,
142,余皖奇,
143,余韵 姚霖 杨建锋,
144,佟宪国,
145,佟璐瑶,
146,侯丹,
147,侯学宾,
148,侯德彭,
149,侯德彭 蒋贻安,
150,侯文蕙,
151,侯潇英,
152,侯猛 肖炜霖 柏宇洲 林叶 罗彧,
153,侯畅,
154,俞可平 等编,
155,俞孔坚 陈义勇 莫琳 宋丽青,
156,俞敏 祖国霞,
157,信尚尚,
158,倪剑青,
159,倪梁康,
160,倪梁康 等,
161,倪赛,
162,倪连生 王琳,
163,傅东华,
164,傅临春,
165,傅任敢,
166,傅佩荣,
167,傅光明,
168,傅力,
169,傅子宸 等,
170,傅广宇,
171,傅强 张锋,
172,傅懿,
173,傅有强,
174,傅有德 郭鹏 张志平,
175,傅楚楚,
176,傅永军 于健,
177,傅统先,
178,傅雷,
179,储丹丹,
180,储智勇,
181,储翔,
182,元文琪,
183,元文琪 于桂丽 编,
184,光哲,
185,党国英 刘惠,
186,党晟 译注,
187,兰忠平,
188,兰教材,
189,关在汉 编,
190,关宝艳,
191,关文运,
192,关群德,
193,关辛秋 董秀玲 耿兴岩,
194,冉永平,
195,冬一,
196,冯仁人 蒋一婷,
197,冯克利,
198,冯克利 吴其亮,
199,冯克利等,
200,冯小旦,
201,冯峰 隽雪艳 孙彬,
202,冯悦,
203,冯承钧,
204,冯晗,
205,冯棠,
206,冯永勇 向凌威,
207,冯永勇 王大鹏 郭鹏程,
208,冯永勇 金泰峰,
209,冯永勇 钱鑫,
210,冯炳昆,
211,冯环,
212,冯秋香,
213,冯超,
214,冯钢 刘阳,
215,冯韵文,
216,刁筱华,
217,刘万伦,
218,刘万存,
219,刘丽荣 译 黄凤祝 校,
220,刘云雁,
221,刘云飞,
222,刘仁文,
223,刘伟 郭材欣,
224,刘伟冬 李红燕,
225,刘伯恩 宋猛,
226,刘佳瑀,
227,刘倩,
228,刘健 李军,
229,刘儒庭,
230,刘克申,
231,刘冰,
232,刘北成,
233,刘北成 马万利 刘耀辉 唐科,
234,刘华杰,
235,刘可维,
236,刘君,
237,刘国兵,
238,刘国柱,
239,刘复,
240,刘夙,
241,刘夙 胡永红,
242,刘学,
243,刘学黎,
244,刘宗迪,
245,刘寅,
246,刘小侠,
247,刘小平 张鑫虎,
248,刘峰,
249,刘常华 等,
250,刘平,
251,刘平 唐雁超 等,
252,刘平 王蕊,
253,刘平静,
254,刘彤,
255,刘影,
256,刘德润,
257,刘德润 王广生,
258,刘志,
259,刘志芳,
260,刘忠 杨铭 译注,
261,刘怀玉 付清松,
262,刘怀玉 等,
263,刘思巧,
264,刘成富,
265,刘成富 房美 胡园园 王璐,
266,刘成富等,
267,刘振前 宋青 庄会彬,
268,刘振前 庄会彬 宋青,
269,刘振前 庄会彬 郭霞,
270,刘放桐,
271,刘敦健,
272,刘敬鲁,
273,刘文,
274,刘文明 邢科 田汝英,
275,刘文玲,
276,刘文荣,
277,刘文锁,
278,刘文飞,
279,刘斯璐,
280,刘旭,
281,刘旭光 等,
282,刘旭光 路程,
283,刘昌玉,
284,刘明海,
285,刘星,
286,刘显蜀,
287,刘晓 李彬,
288,刘晓军,
289,刘晓敏 王琰,
290,刘晖,
291,刘景华 孙继静,
292,刘景迪 顾杭 庞冠群,
293,刘曼,
294,刘杰 等,
295,刘榜离,
296,刘永杰 王艳玲,
297,刘洋,
298,刘海滨,
299,刘涛,
300,刘淳 译注,
301,刘炎林,
302,刘燕繁 张姗娜 翻译 注释,
303,刘玉鹏,
304,刘玮莹 侯冬梅 郭崇林,
305,刘玲,
306,刘璐,
307,刘璐 韩浩,
308,刘甜甜 刘天路,
309,刘畅 编,
310,刘真,
311,刘磊 荣震华,
312,刘祖熙 李建 郝桂莲 张爱平 陈新民,
313,刘禹汐,
314,刘立群 沈真 张东辉 姚燕,
315,刘艺,
316,刘苏 相欣奕,
317,刘荣,
318,刘荣焌,
319,刘荣跃,
320,刘虹,
321,刘跃雄,
322,刘钢,
323,刘阳,
324,刘阿钢,
325,刘飞,
326,力冈,
327,力冈 冀刚,
328,力冈 袁亚楠,
329,励洁丹,
330,包利民,
331,包海岩 闫泽 萨其拉,
332,包玉香,
333,北京编译社,
334,北京编译社 译 李逵六 总校,
335,北大—林肯中心,
336,华明,
337,华林江,
338,单志澄 周以宁,
339,单灵芝,
340,单雯 柯遵科,
341,南开大学经济系经济学说史教研组,
342,南致善 张德浦,
343,卞之琳,
344,卞翠,
345,卢刚,
346,卢晖临 周怡 李林艳,
347,卢欣,
348,卢毅,
349,卢水毅 周鸣浩,
350,卢玲,
351,卢超,
352,卢连涛 尤伟琼,
353,卢静,
354,卿中全,
355,厉以平,
356,史习隽,
357,史军,
358,史孝文,
359,史希同,
360,史希同 吴旻雁 马学忠,
361,史希同 张洪仪,
362,史良,
363,史良 张希晅,
364,史芡,
365,史行果,
366,史行果 光哲,
367,史贝贝,
368,史靖宇 赵旭东 盛晓春,
369,叶元龙 郭家麟,
370,叶光庭,
371,叶冬心,
372,叶廷芳 主编 史行果,
373,叶彤 顾杭,
374,叶斌 译 刘畅 校,
375,叶赋桂,
376,叶超 张林 张顺生,
377,叶齐茂,
378,叶齐茂 倪晓晖,
379,司富珍 刘文英,
380,吉宓,
381,向丽娟,
382,向垚,
383,向培科 史希同 朱凯,
384,向达,
385,吕一民 张弛 应远马 汤晓燕,
386,吕一民 沈坚 黄艳红 等,
387,吕一民 白玮,
388,吕万和 熊达云 王智新,
389,吕万河 熊达云 王智新,
390,吕健忠,
391,吕厚量,
392,吕叔湘,
393,吕大吉,
394,吕妤,
395,吕婧,
396,吕巧平,
397,吕文江,
398,吕绍宗,
399,君健 叶阳,
400,君瑞图 左玉冰,
401,启蒙编译所,
402,吴万伟,
403,吴之椿,
404,吴云贵,
405,吴伟东 翟正惠 卓建伟 胡平 王伟,
406,吴侃,
407,吴俊范,
408,吴友三,
409,吴友三 储智勇,
410,吴咏梅,
411,吴国华 林升栋 康瑾 杨松,
412,吴国喆,
413,吴国盛,
414,吴士栋,
415,吴宇华,
416,吴安新 杨颖 于宜芃,
417,吴宗宪,
418,吴富佳 吴彼得 陈伟,
419,吴富佳 陈伟 吴彼得,
420,吴寿彭,
421,吴峻,
422,吴广孝,
423,吴建平,
424,吴彦,
425,吴彦 译注,
426,吴思涵,
427,吴悦 辛旭丽,
428,吴文艺,
429,吴斐丹 张草纫 选,
430,吴昌杰,
431,吴晓真,
432,吴杨义,
433,吴杨义 邱娟,
434,吴桐,
435,吴棠,
436,吴模信,
437,吴模信 吴煜幽,
438,吴模信 沈怀洁 梁守锵,
439,吴欲波,
440,吴永泉,
441,吴泓缈,
442,吴泓缈 冯悦,
443,吴湛,
444,吴玉章,
445,吴玥,
446,吴珠华,
447,吴瑕 汪溢,
448,吴相,
449,吴真,
450,吴福祥 张定 等,
451,吴福祥 朱冠明 等,
452,吴福祥 龙海平 等,
453,吴红云 初萌 等,
454,吴良健,
455,吴良健 王翼龙,
456,吴芬,
457,吴芷净 阴志科,
458,吴苏北,
459,吴荣先,
460,吴莉苇,
461,吴衡康,
462,吴见青,
463,吴钧燮,
464,吴雅凌,
465,吴香香,
466,吴麟绶,
467,吴麟绶 周新建 高艳婷,
468,周万里,
469,周云水,
470,周亦倩,
471,周伟驰,
472,周作人,
473,周健,
474,周允程,
475,周光尚,
476,周兵,
477,周凝,
478,周叶谦 刘慈忠 吴兰芳 刘方,
479,周国兴,
480,周士良,
481,周尚意 张春梅,
482,周巩固 周文清,
483,周建人 叶笃庄 方宗熙,
484,周建人叶笃庄 方宗熙,
485,周建漳,
486,周彩萍,
487,周彩萍 邢三洲,
488,周彬,
489,周思成,
490,周思芮,
491,周抒雪 王东译,
492,周敏 程孟利,
493,周昌忠,
494,周昌忠 等,
495,周昌忠 苗以顺 等,
496,周春湘,
497,周晓薇 等,
498,周晓虹 李姚军 刘婧,
499,周晓青,
500,周朗,
501,周欣宇,
502,周玉军,
503,周玉鹏 刘耀辉,
504,周玮,
505,周珊,
506,周璞 张惠 柳晓娟,
507,周硕,
508,周礼全 吴允曾 晏成书,
509,周祖达,
510,周穗明等,
511,周立红 焦静姝,
512,周莽,
513,周邦宪,
514,周雨霏,
515,周靖波,
516,周颖如,
517,周颖如 魏孟淇 周熙安,
518,哈萨克斯坦共和国驻华大使馆等,
519,唐伟霞 李婧 张彩琴,
520,唐利国,
521,唐嘉薇,
522,唐宗丽 陈鸣祥,
523,唐宗义,
524,唐家龙 吴模信 等,
525,唐家龙 曾培歌 吴模信 等,
526,唐晓峰 李平 等,
527,唐果,
528,唐翰,
529,唐钺,
530,唐颖祺,
531,商务印书馆 编,
532,商务印书馆辞书研究中心 编,
533,商正,
534,喻芸,
535,嘉娜娃中,
536,国务院发展研究中心公共管理与人力资源研究所,
537,夏克 李天纲 陈江岚,
538,夏子羿,
539,夏年喜 梅剑华,
540,夏年喜 梅剑华 译 叶峰 校,
541,夏开丰,
542,夏彦才,
543,夏海涛,
544,夏继果,
545,奚晓清,
546,姚中秋,
547,姚啸宇,
548,姚城,
549,姚小平,
550,姚建彬,
551,姚曾廙,
552,姚海鑫 邢源源,
553,姚玉枝 彭文 张海云,
554,姚臻 陈开林,
555,姚蓓琴 晏可佳,
556,姚远,
557,姚远 丁文慧,
558,姚雪霏 等,
559,姚雪霏 陈翀,
560,姚霖 余韵,
561,姜井勇,
562,姜娜 麻国庆,
563,姜廷惠 陈一宏,
564,姜德福,
565,姜志辉,
566,姜望琪,
567,姜望琪 杜世洪,
568,姜望琪 注,
569,姜林静 余明锋,
570,娄翼俊 编,
571,婉玲,
572,孔令伟,
573,孔令杰,
574,孔小磊 译注,
575,孔洁珺 王占仁,
576,孔祥文,
577,孔祥民 令彪 吕和声 吕虹,
578,孔雁,
579,孙中原,
580,孙亚楠,
581,孙亮,
582,孙伊,
583,孙则明,
584,孙剑 付亮 等,
585,孙博阳,
586,孙危,
587,孙名之,
588,孙周兴,
589,孙周兴 张灯,
590,孙周兴 彭正梅 李超杰 余明锋,
591,孙周兴 李媛,
592,孙周兴 李超杰 余明锋,
593,孙周兴 杨光 余明锋,
594,孙周兴 郭成,
595,孙周兴 陈小文,
596,孙周兴 陈小文 余明锋,
597,孙周兴 高松,
598,孙增霖,
599,孙增霖 傅有德,
600,孙婷,
601,孙宜学,
602,孙家堃,
603,孙尚扬,
604,孙岳,
605,孙建中,
606,孙思清 柯遵科,
607,孙才真,
608,孙晶 译释,
609,孙智新,
610,孙来臣 李塔娜 吴小安,
611,孙林 卢春蓉 唐佳,
612,孙海波 彭宁,
613,孙涛,
614,孙祖光,
615,孙秉莹 谢德风 赵世瑜,
616,孙立新,
617,孙署冰,
618,孙胜忠,
619,孙胜英 翻译 注释,
620,孙艳艳,
621,孙若圣,
622,孙若圣 窦新光,
623,孙若红 陈玥,
624,孙静工,
625,孙驰,
626,孙驰 梁丹丹,
627,孟令彤,
628,孟凡济,
629,孟华 李彬,
630,孟庆升 李旭影等,
631,孟庆时,
632,孟庆龙等,
633,孟庆龙等译校,
634,孟梅艳,
635,孟祥沛,
636,孟钟捷 葛君 徐璟玮,
637,季剑青,
638,季陶达 季云,
639,宁嘉风,
640,宁晓萌,
641,宁秋尧,
642,安书祉,
643,安书祉 译 范大灿 注,
644,安佳,
645,安冬,
646,安靖 等,
647,宋一然 郑昱 李陶 戴梦 译 宋俊岭 校,
648,宋以刚,
649,宋俊岭 宋一然,
650,宋健,
651,宋光野 周雨曈,
652,宋功德,
653,宋博,
654,宋强,
655,宋思康,
656,宋慧献,
657,宋承杰,
658,宋明蔚,
659,宋晓东,
660,宋欣涛,
661,宋海彬,
662,宋碧珺,
663,宋立宏,
664,宋立道,
665,宋立道 舒晓炜,
666,宋继杰 张 凯,
667,宋荣 宋琴 周慧君,
668,宓田,
669,宗白华,
670,宫齐,
671,富瑜,
672,寒川子 张积模,
673,寿勉成,
674,寿晨霖 张楠,
675,寿进文,
676,小庄,
677,尚新建,
678,尚晋,
679,尚永清,
680,尤丹婷,
681,尹大贻 朱新民,
682,屈伯文 陈恒,
683,山西大学组织翻,
684,岳盈盈 翟继强,
685,崔华杰,
686,崔君衍,
687,崔君衍 笈香,
688,崔延强 译注,
689,崔志军,
690,崔永禄 王忠和,
691,崔蒙,
692,崔金戎,
693,左少兴 徐天新 谢有实 张蓉初,
694,左明彻,
695,左百瑶,
696,巫宝三,
697,巫新华,
698,巫白慧 译解,
699,巫白慧 译释,
700,巫能昌,
701,巫语白,
702,巴金,
703,席坤,
704,常任侠 袁音,
705,常勋 等,
706,常正文 王兴中 等,
707,常飒飒,
708,常飒飒 武晓哲,
709,庄万友 等,
710,庄乐坤,
711,庄乐坤等,
712,庄加逊,
713,庆泽彭,
714,库德扎伊·穆聂德兹姆威,
715,庞卓恒 李琳 等,
716,庞学铨 李张林,
717,庞建春,
718,庞晓光,
719,庞晓光 李醒民,
720,庞景仁,
