source_site,source_item_id,source_query_category,source_category_path,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,source_url
当当网,29210317,中国小说,文学艺术>小说>中国小说,中国小说 史略(外一种：汉文学史纲要)(中华现代学术名著3) 中国文学研究现代进程中具有开启先河之功的重要著作，是一部分体文学通史。,DD29210317,鲁迅,商务印书馆,2011,2011-12-01,422,中文,中国小说,本,46.00,onsale,https://product.dangdang.com/29210317.html
当当网,12100014112,中国小说,文学艺术>小说>中国小说,中国小说 叙事模式的转变 陈平原著作系列+现代中国的述学文体+中国现代学术之建立+读书的风景,DD12100014112,作者待详情补采,出版社待详情补采,,,554,中文,中国小说,本,51.50,onsale,https://product.dangdang.com/12100014112.html
当当网,27877953,中国小说,文学艺术>小说>中国小说,中国小说 史略(蓬莱阁典藏系列) 购买更多上海古籍“蓬莱阁典藏系列”，点击进入专题》,DD27877953,鲁迅; 郭豫适,上海古籍出版社,2019,2019-05-01,445,中文,中国小说,本,41.20,onsale,https://product.dangdang.com/27877953.html
当当网,29739260,中国小说,文学艺术>小说>中国小说,中国小说 ：洞达人性的智慧 豆瓣8.4分！复旦大学邵毅平教授著中国古典小说通识读本，为复旦教学参考用书。全新修订，经典收藏，新增精美版画插图。,DD29739260,邵毅平,上海古籍出版社,2024,2024-05-01,435,中文,中国小说,本,60.80,onsale,https://product.dangdang.com/29739260.html
当当网,29476235,中国小说,文学艺术>小说>中国小说,中国小说 叙事模式的转变 陈平原著作系列 陈平原教授学术研究奠基之作，中国小说叙事研究开山之作。,DD29476235,陈平原,北京大学出版社,2022,2022-10-01,435,中文,中国小说,本,96.00,onsale,https://product.dangdang.com/29476235.html
当当网,29822739,中国小说,文学艺术>小说>中国小说,中国小说 史略( 中国小说 史研究的“开山之作”！) 中国小说史研究的“开山之作”！ 再现1935年经典封面，还原原汁原味的《中国小说史略》,DD29822739,鲁迅,华文出版社,2024,2024-12-01,439,中文,中国小说,本,38.40,onsale,https://product.dangdang.com/29822739.html
当当网,12421986017,中国小说,文学艺术>小说>中国小说,中国小说 史略 鲁迅 著 上海古籍出版社 线上线下同步销售，请咨询客服查询库存后下单，欢迎选购。,DD12421986017,鲁迅,上海古籍出版社,1998,1998-01-01,582,中文,中国小说,本,4.65,onsale,https://product.dangdang.com/12421986017.html
当当网,12342291076,中国小说,文学艺术>小说>中国小说,中国小说 史略 鲁迅 著 上海古籍出版社 【速开发票，优质售后，支持7天无理由退换】,DD12342291076,鲁迅,上海古籍出版社,1998,1998-01-01,578,中文,中国小说,本,4.75,onsale,https://product.dangdang.com/12342291076.html
当当网,11671060094,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变 胡怀琛著 山西人民出版社 文学 正版保障·七天无理由退换·企业采购/团购咨询客服享大额优惠,DD11671060094,胡怀琛,山西人民出版社,2014,2014-12-01,576,中文,中国小说,本,7.90,onsale,https://product.dangdang.com/11671060094.html
当当网,11275386007,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变 文学理论 山西人民出版社 全新正版 团购优惠 正规发票,DD11275386007,胡怀琛,山西人民出版社,2012,2012-12-01,581,中文,中国小说,本,7.90,onsale,https://product.dangdang.com/11275386007.html
当当网,12471993031,中国小说,文学艺术>小说>中国小说,虫系列科幻 中国小说 （ 刘慈欣 王晋康等作者 超脑+深空+超维+未来 异种入侵星际移民平行世界等全套13册）＜优选包邮好书 正版图书 可开发票,DD12471993031,刘慈欣; 王晋康; 何夕; 博峰文化,北京理工大学出版社,2017,2017-06-01,581,中文,中国小说,本,232.68,onsale,https://product.dangdang.com/12471993031.html
当当网,12354253080,中国小说,文学艺术>小说>中国小说,中国小说 史略 鲁迅 著 时代文艺出版社 正版旧书，下单前请先咨询客服，欢迎选购！,DD12354253080,鲁迅,时代文艺出版社,2009,2009-05-01,574,中文,中国小说,本,7.00,onsale,https://product.dangdang.com/12354253080.html
当当网,12330150002,中国小说,文学艺术>小说>中国小说,中国小说 史略 鲁迅 时代文艺出版社有限责任公司 【新华书店正版书籍】,DD12330150002,鲁迅,时代文艺出版社有限责任公司,2019,2019-05-01,558,中文,中国小说,本,15.10,onsale,https://product.dangdang.com/12330150002.html
当当网,12413638097,中国小说,文学艺术>小说>中国小说,中国小说 史大纲 张静庐 著；郝振省 编 西北大学出版社 【速开发票，优质售后，支持7天无理由退换】,DD12413638097,张静庐; 郝振省,西北大学出版社,2019,2019-03-01,585,中文,中国小说,本,5.59,offsale,https://product.dangdang.com/12413638097.html
当当网,1296370267,中国小说,文学艺术>小说>中国小说,中国小说 史略/中国近现代经典文学阅读,DD1296370267,鲁迅|; 尹稚宁,远方,2015,2015-12-01,536,中文,中国小说,本,10.10,onsale,https://product.dangdang.com/1296370267.html
当当网,11926904012,中国小说,文学艺术>小说>中国小说,中国小说 史略鲁迅浙江文艺出版社9787533913991 正版旧书，保证质量，此书为单本而非一套，电子发票！,DD11926904012,作者待详情补采,浙江文艺出版社,2002,2002-04-01,576,中文,中国小说,本,8.48,onsale,https://product.dangdang.com/11926904012.html
当当网,1305805967,中国小说,文学艺术>小说>中国小说,中国小说 史略/大师经典文丛,DD1305805967,鲁迅,当代世界,2013,2013-03-01,537,中文,中国小说,本,10.50,onsale,https://product.dangdang.com/1305805967.html
当当网,11983746100,中国小说,文学艺术>小说>中国小说,中国小说 史略 正版书籍，满额减，电子发票,DD11983746100,鲁迅,上海古籍出版社,2004,2004-07-01,581,中文,中国小说,本,7.03,onsale,https://product.dangdang.com/11983746100.html
当当网,12401683075,中国小说,文学艺术>小说>中国小说,中国小说 理论通史 张羽、王汝梅 著 9787303183456 北京师范大学出版社 【速开发票，优质售后，支持7天无理由退换】,DD12401683075,张羽; 王汝梅,北京师范大学出版社,2016,2016-01-01,578,中文,中国小说,本,9.05,onsale,https://product.dangdang.com/12401683075.html
当当网,11908786082,中国小说,文学艺术>小说>中国小说,中国小说 史略-老北大讲义鲁迅著时代文艺出版社9787538757347,DD11908786082,鲁迅,时代文艺出版社,2019,2019-05-01,591,中文,中国小说,本,17.00,onsale,https://product.dangdang.com/11908786082.html
当当网,11177106070,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变 山西人民出版社 新华书店正版，多仓就近发货，85%城市次日达，团购优惠咨询在线客服！,DD11177106070,胡怀琛; 许嘉璐,山西人民出版社,2014,2014-12-01,572,中文,中国小说,本,12.20,offsale,https://product.dangdang.com/11177106070.html
当当网,1525539470,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变 胡怀琛 著;许嘉璐 丛书主编 著 新华书店正版，多仓就近发货，85%城市次日达，团购优惠咨询在线客服！,DD1525539470,胡怀琛; 许嘉璐,山西人民出版社,2014,2014-12-01,534,中文,中国小说,本,12.30,onsale,https://product.dangdang.com/1525539470.html
当当网,12356320033,中国小说,文学艺术>小说>中国小说,中国小说 史大纲 张静庐 著；郝振省 编 西北大学出版社 正版图书，速开发票，下单前请先咨询客服，欢迎选购！,DD12356320033,张静庐; 郝振省,西北大学出版社,2019,2019-03-01,569,中文,中国小说,本,9.48,onsale,https://product.dangdang.com/12356320033.html
当当网,12462757061,中国小说,文学艺术>小说>中国小说,中国小说 观念的嬗变及其文化精神 梁爱民 著 中国社会科学出版社 正版图书，下单前请先咨询客服，欢迎选购！,DD12462757061,梁爱民,中国社会科学出版社,2010,2010-12-01,582,中文,中国小说,本,9.73,onsale,https://product.dangdang.com/12462757061.html
当当网,11927512082,中国小说,文学艺术>小说>中国小说,中国小说 史略鲁迅 著上海古籍出版社9787532543205 正版旧书，保证质量，此书为单本而非一套，电子发票！,DD11927512082,鲁迅,上海古籍出版社,2006,2006-04-01,579,中文,中国小说,本,9.80,onsale,https://product.dangdang.com/11927512082.html
当当网,1231111155,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变/近代名家散佚学术*作丛刊 新华正版 团购优惠请咨询客服,DD1231111155,胡怀琛|; 许嘉璐,山西人民,2014,2014-12-01,514,中文,中国小说,本,12.54,onsale,https://product.dangdang.com/1231111155.html
当当网,1023828679,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变/近代名家散佚学术著作丛刊,DD1023828679,胡怀琛|; 许嘉璐,山西人民,2014,2014-12-01,539,中文,中国小说,本,12.54,onsale,https://product.dangdang.com/1023828679.html
当当网,1206298734,中国小说,文学艺术>小说>中国小说,中国小说 的起源及其演变 山西人民出版社 新华书店正版，多仓就近发货，85%城市次日达，团购优惠咨询在线客服！,DD1206298734,胡怀琛; 许嘉璐,山西人民出版社,2014,2014-12-01,535,中文,中国小说,本,12.50,onsale,https://product.dangdang.com/1206298734.html
