source_query_category,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,openlibrary_key
计算机,Database system concepts,9780072283631,Abraham Silberschatz,WCB/McGraw-Hill,1997,,840,eng,计算机,本,79.0,onsale,/works/OL1854539W
计算机,Fundamentals of database systems,9780321369574,Ramez Elmasri; Shamkant B. Navathe,Pearson,1989,,1030,eng,计算机,本,79.0,onsale,/works/OL3947220W
计算机,A first course in database systems,9780131225206,Jeffrey D. Ullman; Jennifer D. Widom,Pearson Prentice Hall,1997,,528,eng,计算机,本,79.0,onsale,/works/OL2640322W
计算机,Database systems,9780357673034,Peter Rob; Carlos Coronel,Cengage Learning,2006,,812,eng,计算机,本,79.0,onsale,/works/OL17310241W
计算机,Principles of distributed database systems,9783030262532,M. Tamer Özsu; M. Tamer Ozsu; Patrick Valduriez,Springer International Publishing AG,1999,,691,"eng,ger",计算机,本,79.0,onsale,/works/OL17707115W
计算机,An introduction to database systems,9780201144710,C. J. Date,Addison Wesley Longman,1975,,639,eng,计算机,本,79.0,onsale,/works/OL1840931W
计算机,Database Systems,9781403916013,Paul Beynon-Davies,Macmillan,1996,,420,"eng,und",计算机,本,79.0,onsale,/works/OL4296322W
计算机,Database systems,9780760049044,Peter Rob,Course Technology Ptr (Sd),1993,,796,eng,计算机,本,79.0,onsale,/works/OL2055298W
计算机,Database systems,9780131873254,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer D. Widom,Pearson Prentice Hall,2001,,1152,eng,计算机,本,79.0,onsale,/works/OL6442784W
计算机,Database system concepts,9780071217620,Henry F. Korth,Mcgraw-hill Education,1986,,694,eng,计算机,本,79.0,onsale,/works/OL4453514W
计算机,Database systems,9780321210258,Thomas M. Connolly; Carolyn E. Begg,Addison-Wesley,1996,,1374,eng,计算机,本,79.0,onsale,/works/OL1907567W
计算机,Database Systems Concepts,9780072958867,Abraham Silberschatz,McGraw-Hill Science/Engineering/Math,2005,,1168,eng,计算机,本,79.0,onsale,/works/OL15326817W
计算机,Fundamentals of database systems,9780136086208,Ramez Elmasri,Addison-Wesley,2011,,1172,eng,计算机,本,79.0,onsale,/works/OL15443742W
计算机,"Database System Concepts, 3rd",9780071148108,"Abraham; Korth, Henry F.; Sudarshan, S.; Silberschatz Silberschatz",McGraw-Hill College,1997,,848,,计算机,本,79.0,onsale,/works/OL281791W
计算机,Fundamentals of database systems,9780321415066,Ramez Elmasri; Shamkant Navathe,"Pearson Education, Limited",1999,,1089,eng,计算机,本,79.0,onsale,/works/OL18491883W
计算机,Database systems,9780321228383,Michael Kifer; Arthur J. Bernstein; Philip M. Lewis; Michael Kifer; Arthur Bernstein,Addison-Wesley,2004,,980,eng,计算机,本,79.0,onsale,/works/OL13539683W
计算机,An introduction to database systems,9780201684193,C. J. Date; C.J. Date,Addison-Wesley,2000,,938,eng,计算机,本,79.0,onsale,/works/OL16037479W
计算机,Database systems,9780132943260,Thomas Connolly; Carolyn Begg,Addison Wesley,2001,,1338,eng,计算机,本,79.0,onsale,/works/OL18156628W
计算机,Principles of database systems,9780914894131,Jeffrey D. Ullman,Pitman,1980,,484,eng,计算机,本,79.0,onsale,/works/OL2640324W
计算机,Computer system architecture,9781405825160,M. Morris Mano,"Pearson Education, Limited",1983,,531,"eng,und",计算机,本,79.0,onsale,/works/OL11309879W
计算机,Computer systems,9780134123837,Randal Bryant; Randal E. Bryant; David R. O'Hallaron,Pearson Education,2002,,1079,eng,计算机,本,79.0,onsale,/works/OL12343250W
计算机,Computer systems design and architecture,9780130484406,Vincent P. Heuring,Pearson/Prentice Hall,1997,,608,eng,计算机,本,79.0,onsale,/works/OL3335981W
计算机,Computer system architecture,9780131757387,M. Morris Mano,Prentice-Hall,1976,,525,eng,计算机,本,79.0,onsale,/works/OL3281306W
计算机,Computer systems,9780763771447,J. Stanley Warford,Jones & Bartlett Publishers,1998,,539,eng,计算机,本,79.0,onsale,/works/OL1830511W
计算机,Computer systems architecture,9780716780328,Jean Loup Baer,Computer Science Press,1980,,626,eng,计算机,本,79.0,onsale,/works/OL6570137W
计算机,Computer Systems: A Programmer's Perspective (3rd Edition),9780134092669,Randal E. Bryant; David R. O'Hallaron,Pearson,2015,,1128,eng,计算机,本,79.0,onsale,/works/OL19545341W
计算机,Understanding computer systems,9789173723336,Harold W. Lawson,Chartwell-Bratt,1979,,150,eng,计算机,本,79.0,onsale,/works/OL4125347W
计算机,Elements of Computing Systems,9780262640688,Noam Nisan; Shimon Schocken,MIT Press,2008,,344,eng,计算机,本,79.0,onsale,/works/OL21015000W
