source_site,source_category_id,parent_source_category_id,category_name,source_category_path,source_url
当当网,1000000,,图书童书,图书童书,
当当网,48035,,图书,图书,https://book.dangdang.com/
当当网,48036,,童书,童书,https://book.dangdang.com/children?ref=book-01-A
当当网,48046,1000000,童书,图书童书>童书,https://book.dangdang.com/children
当当网,48047,48046,0-2岁,图书童书>童书>0-2岁,https://book.dangdang.com/children/0-2
当当网,48048,48046,3-6岁,图书童书>童书>3-6岁,https://book.dangdang.com/children/3-6
当当网,48049,48046,7-10岁,图书童书>童书>7-10岁,https://book.dangdang.com/children/7-10
当当网,48050,48046,11-14岁,图书童书>童书>11-14岁,https://book.dangdang.com/children/11-14
当当网,48051,48046,绘本,图书童书>童书>绘本,https://book.dangdang.com/children/01.41.43.htm
当当网,48052,48046,中国儿童文学,图书童书>童书>中国儿童文学,https://book.dangdang.com/children/01.41.26.htm
当当网,48053,48046,外国儿童文学,图书童书>童书>外国儿童文学,https://book.dangdang.com/children/01.41.26.htm
当当网,48054,48046,科普/百科,图书童书>童书>科普/百科,https://book.dangdang.com/children/01.41.05.htm
当当网,48055,48046,婴儿读物,图书童书>童书>婴儿读物,https://category.dangdang.com/cp01.41.44.00.00.00.html
当当网,48056,48046,幼儿启蒙,图书童书>童书>幼儿启蒙,https://book.dangdang.com/children/01.41.45.htm
当当网,48057,48046,益智游戏,图书童书>童书>益智游戏,https://book.dangdang.com/children/01.41.46.htm
当当网,48058,48046,玩具书,图书童书>童书>玩具书,https://category.dangdang.com/cp01.41.48.00.00.00.html
当当网,48059,48046,动漫/卡通,图书童书>童书>动漫/卡通,https://category.dangdang.com/cp01.41.50.00.00.00.html
当当网,48060,48046,少儿英语,图书童书>童书>少儿英语,https://category.dangdang.com/cp01.41.51.00.00.00.html
当当网,48061,48046,进口儿童书,图书童书>童书>进口儿童书,https://category.dangdang.com/cp01.41.57.00.00.00.html
当当网,48062,48046,少儿期刊,图书童书>童书>少儿期刊,https://category.dangdang.com/cp01.41.69.00.00.00.html
当当网,48063,1000000,教育,图书童书>教育,https://book.dangdang.com/study
当当网,48064,48063,中小学用书,图书童书>教育>中小学用书,https://book.dangdang.com/study
当当网,48065,48063,考试,图书童书>教育>考试,https://category.dangdang.com/cp01.47.00.00.00.00.html
当当网,48066,48063,教材,图书童书>教育>教材,https://category.dangdang.com/cp01.49.00.00.00.00.html
当当网,48067,48063,外语,图书童书>教育>外语,https://book.dangdang.com/language
当当网,48068,48063,工具书,图书童书>教育>工具书,https://book.dangdang.com/dictionary
当当网,48069,48063,教师用书,图书童书>教育>教师用书,https://category.dangdang.com/cp01.43.54.00.00.00.html
当当网,48070,48063,新概念,图书童书>教育>新概念,https://category.dangdang.com/cp01.45.57.01.00.00-f0%7C0%7C0%7C0%7C0%7C1%7C0%7C0%7C0.html
