category_id,category_name,parent_category_id,source_site,source_category_id,source_category_name,source_category_path,is_book,is_leaf
1,图书,,,,图书,图书,1,0
2,通用商品,,,,通用商品,通用商品,0,0
3,文学艺术,1,新华书店网,33,文学艺术,文学艺术,1,0
4,小说,3,新华书店网,41,小说,文学艺术>小说,1,0
5,中国小说,4,新华书店网,86,中国小说,文学艺术>小说>中国小说,1,1
6,外国小说,4,新华书店网,87,外国小说,文学艺术>小说>外国小说,1,1
7,文学,3,新华书店网,42,文学,文学艺术>文学,1,0
8,外国文学,7,新华书店网,90,外国文学,文学艺术>文学>外国文学,1,1
9,中国文学,7,新华书店网,91,中国文学,文学艺术>文学>中国文学,1,1
10,文学理论,7,新华书店网,202,文学理论,文学艺术>文学>文学理论,1,1
11,艺术,3,新华书店网,43,艺术,文学艺术>艺术,1,0
12,摄影,11,新华书店网,94,摄影,文学艺术>艺术>摄影,1,1
13,鉴赏收藏,11,新华书店网,95,鉴赏收藏,文学艺术>艺术>鉴赏收藏,1,1
14,艺术概论,11,新华书店网,96,艺术概论,文学艺术>艺术>艺术概论,1,1
15,音乐舞蹈,11,新华书店网,204,音乐舞蹈,文学艺术>艺术>音乐舞蹈,1,1
16,书法篆刻,11,新华书店网,205,书法篆刻,文学艺术>艺术>书法篆刻,1,1
17,戏剧影视,11,新华书店网,206,戏剧影视,文学艺术>艺术>戏剧影视,1,1
18,绘画雕塑,11,新华书店网,207,绘画雕塑,文学艺术>艺术>绘画雕塑,1,1
19,传记,3,新华书店网,44,传记,文学艺术>传记,1,0
20,传记（传记）,19,新华书店网,183,传记,文学艺术>传记>传记,1,1
21,人文社科,1,新华书店网,34,人文社科,人文社科,1,0
22,历史,21,新华书店网,45,历史,人文社科>历史,1,0
23,世界史,22,新华书店网,188,世界史,人文社科>历史>世界史,1,1
24,中国史,22,新华书店网,189,中国史,人文社科>历史>中国史,1,1
25,考古文物,22,新华书店网,190,考古文物,人文社科>历史>考古文物,1,1
26,史学理论,22,新华书店网,191,史学理论,人文社科>历史>史学理论,1,1
27,哲学宗教,21,新华书店网,46,哲学宗教,人文社科>哲学宗教,1,0
28,中国哲学,27,新华书店网,103,中国哲学,人文社科>哲学宗教>中国哲学,1,1
29,西方哲学,27,新华书店网,104,西方哲学,人文社科>哲学宗教>西方哲学,1,1
30,哲学总论,27,新华书店网,105,哲学总论,人文社科>哲学宗教>哲学总论,1,1
31,马列著作,27,新华书店网,106,马列著作,人文社科>哲学宗教>马列著作,1,1
32,逻辑学,27,新华书店网,107,逻辑学,人文社科>哲学宗教>逻辑学,1,1
33,宗教,27,新华书店网,108,宗教,人文社科>哲学宗教>宗教,1,1
34,伦理学,27,新华书店网,194,伦理学,人文社科>哲学宗教>伦理学,1,1
35,美学,27,新华书店网,195,美学,人文社科>哲学宗教>美学,1,1
36,法律,21,新华书店网,47,法律,人文社科>法律,1,0
37,法律法规,36,新华书店网,100,法律法规,人文社科>法律>法律法规,1,1
38,法学理论,36,新华书店网,101,法学理论,人文社科>法律>法学理论,1,1
39,法律科普,36,新华书店网,102,法律科普,人文社科>法律>法律科普,1,1
40,中国法律,36,新华书店网,196,中国法律,人文社科>法律>中国法律,1,1
41,外国及港澳台法律,36,新华书店网,197,外国及港澳台法律,人文社科>法律>外国及港澳台法律,1,1
42,心理,21,新华书店网,48,心理,人文社科>心理,1,0
43,心理学百科,42,新华书店网,192,心理学百科,人文社科>心理>心理学百科,1,1
44,变态/病态心理学,42,新华书店网,193,变态/病态心理学,人文社科>心理>变态/病态心理学,1,1
45,政治军事,21,新华书店网,49,政治军事,人文社科>政治军事,1,0
46,党政读物,45,新华书店网,109,党政读物,人文社科>政治军事>党政读物,1,1
47,中国政治,45,新华书店网,110,中国政治,人文社科>政治军事>中国政治,1,1
48,世界政治,45,新华书店网,111,世界政治,人文社科>政治军事>世界政治,1,1
49,中国军事,45,新华书店网,198,中国军事,人文社科>政治军事>中国军事,1,1
50,军事理论,45,新华书店网,199,军事理论,人文社科>政治军事>军事理论,1,1
51,国际关系,45,新华书店网,200,国际关系,人文社科>政治军事>国际关系,1,1
52,政治理论,45,新华书店网,201,政治理论,人文社科>政治军事>政治理论,1,1
53,社会科学,21,新华书店网,50,社会科学,人文社科>社会科学,1,0
54,社会科学总论,53,新华书店网,208,社会科学总论,人文社科>社会科学>社会科学总论,1,1
55,社会学,53,新华书店网,209,社会学,人文社科>社会科学>社会学,1,1
56,语言文字,53,新华书店网,210,语言文字,人文社科>社会科学>语言文字,1,1
57,文化,21,新华书店网,51,文化,人文社科>文化,1,0
58,文化理论,57,新华书店网,97,文化理论,人文社科>文化>文化理论,1,1
59,民族/民俗文化,57,新华书店网,98,民族/民俗文化,人文社科>文化>民族/民俗文化,1,1
60,地域文化,57,新华书店网,99,地域文化,人文社科>文化>地域文化,1,1
61,文化研究与交流,57,新华书店网,211,文化研究与交流,人文社科>文化>文化研究与交流,1,1
62,少儿童书,1,新华书店网,35,少儿童书,少儿童书,1,0
