store_id,product_id,product_barcode,product_name,stock_qty,safety_stock_qty
1,120,9788178082318,An introduction to database systems,20,5
2,120,9788178082318,An introduction to database systems,20,5
1,121,9781305627482,"Database Systems: Design, Implementation, & Management",27,5
2,121,9781305627482,"Database Systems: Design, Implementation, & Management",25,5
1,122,9780201144390,An introduction to database systems,34,6
2,122,9780201144390,An introduction to database systems,30,6
1,123,9780072353877,Database systems,41,8
2,123,9780072353877,Database systems,35,7
1,124,9781405874373,Business database systems,48,9
2,124,9781405874373,Business database systems,40,8
1,125,9781943153190,Database Systems,55,11
2,125,9781943153190,Database Systems,45,9
1,126,9781285196145,Database Systems Design Implementation And Management,62,12
2,126,9781285196145,Database Systems Design Implementation And Management,50,10
1,127,9780071244763,Database System Concepts,69,13
2,127,9780071244763,Database System Concepts,55,11
1,128,9789332582705,"Fundamentals Of Database System, 7Th Edn",76,15
2,128,9789332582705,"Fundamentals Of Database System, 7Th Edn",60,12
1,129,9780262332507,Readings in database systems,83,16
2,129,9780262332507,Readings in database systems,65,13
1,130,9780201877366,Intelligent database systems,90,18
2,130,9780201877366,Intelligent database systems,70,14
1,131,9780023996658,Database systems,97,19
2,131,9780023996658,Database systems,75,15
1,132,9780805317480,Fundamentals of database systems,104,20
2,132,9780805317480,Fundamentals of database systems,80,16
1,133,9781260515046,Loose Leaf for Database System Concepts,111,22
2,133,9781260515046,Loose Leaf for Database System Concepts,85,17
1,134,9781558605237,Readings in database systems,118,23
2,134,9781558605237,Readings in database systems,90,18
1,135,9780878355792,Database systems,125,25
2,135,9780878355792,Database systems,95,19
1,136,9781423902010,Database systems,132,26
2,136,9781423902010,Database systems,100,20
1,137,9780132144988,Database Systems,139,27
2,137,9780132144988,Database Systems,105,21
1,138,9780131911802,Database systems using Oracle,146,29
2,138,9780131911802,Database systems using Oracle,110,22
1,139,9781292097619,"Fundamentals of Database Systems, Global Edition",153,30
2,139,9781292097619,"Fundamentals of Database Systems, Global Edition",115,23
1,140,9789353438913,Database Systems,160,32
2,140,9789353438913,Database Systems,120,24
1,141,9781260084504,Database System Concepts,167,33
2,141,9781260084504,Database System Concepts,125,25
1,142,9788131716250,Fundamentals of database systems,174,34
2,142,9788131716250,Fundamentals of database systems,130,26
1,143,9780760010907,"Database Systems Design, Implementation, and Management",181,36
2,143,9780760010907,"Database Systems Design, Implementation, and Management",135,27
1,144,9781558604438,Advanced database systems,188,37
2,144,9781558604438,Advanced database systems,140,28
1,145,9780132575676,Database Systems Introduction to Databases and Data Warehouses,195,39
2,145,9780132575676,Database Systems Introduction to Databases and Data Warehouses,145,29
1,146,9780735606340,Designing relational database systems,22,5
2,146,9780735606340,Designing relational database systems,150,30
1,147,9780314667717,An introduction to database systems,29,5
2,147,9780314667717,An introduction to database systems,155,31
1,148,9780321197849,An Introduction to Database Systems,36,7
2,148,9780321197849,An Introduction to Database Systems,160,32
1,149,9780321181053,Database Systems,43,8
2,149,9780321181053,Database Systems,165,33
1,150,9781558604667,Principles of multimedia database systems,50,10
2,150,9781558604667,Principles of multimedia database systems,170,34
1,151,9780072465631,Database management systems,57,11
2,151,9780072465631,Database management systems,175,35
1,152,9788129702289,Fundamentals of database systems,64,12
2,152,9788129702289,Fundamentals of database systems,180,36
1,153,9780387985299,Active rules in database systems,71,14
2,153,9780387985299,Active rules in database systems,185,37
1,154,9781292061184,"Database Systems - A Practical Approach to Design, Implementation, and Management",78,15
2,154,9781292061184,"Database Systems - A Practical Approach to Design, Implementation, and Management",190,38
1,155,9780070614819,Filing and database systems,85,17
2,155,9780070614819,Filing and database systems,195,39
1,156,9780471467922,Mobile Database Systems,92,18
2,156,9780471467922,Mobile Database Systems,20,5
1,157,9780136006374,A first course in database systems,99,19
2,157,9780136006374,A first course in database systems,25,5
1,158,9780071136686,Advanced concepts in operating systems,106,21
2,158,9780071136686,Advanced concepts in operating systems,30,6
1,159,9780080490724,Component database systems,113,22
2,159,9780080490724,Component database systems,35,7
1,160,9780130428981,An advanced course in database systems,120,24
2,160,9780130428981,An advanced course in database systems,40,8
1,161,9780130402646,Database system implementation,127,25
2,161,9780130402646,Database system implementation,45,9
1,162,9780321189561,Introduction to Database Systems,134,26
2,162,9780321189561,Introduction to Database Systems,50,10
1,163,9780137386185,Principles of relational database systems,141,28
2,163,9780137386185,Principles of relational database systems,55,11
1,164,9780877091158,Database systems management and design,148,29
2,164,9780877091158,Database systems management and design,60,12
1,165,9781315213958,Nontraditional Database Systems,155,31
2,165,9781315213958,Nontraditional Database Systems,65,13
1,166,9781439812471,Bioinformatics Database Systems,162,32
2,166,9781439812471,Bioinformatics Database Systems,70,14
1,167,9783211826140,Advances in database systems,169,33
2,167,9783211826140,Advances in database systems,75,15
1,168,9788131792476,Fundamentals of Database Systems,176,35
2,168,9788131792476,Fundamentals of Database Systems,80,16
1,169,9780387399409,Encyclopedia of database systems,183,36
2,169,9780387399409,Encyclopedia of database systems,85,17
1,170,9780130909336,Database Systems Using Oracle,190,38
2,170,9780130909336,Database Systems Using Oracle,90,18
1,171,9780126443752,Relational database systems,197,39
2,171,9780126443752,Relational database systems,95,19
1,172,9780130619600,Management information systems,24,5
2,172,9780130619600,Management information systems,100,20
1,173,9781601980786,Architecture of a database system,31,6
2,173,9781601980786,Architecture of a database system,105,21
1,174,9788177585674,Database systems,38,7
2,174,9788177585674,Database systems,110,22
1,175,9780070108295,Distributed databases,45,9
2,175,9780070108295,Distributed databases,115,23
1,176,9780138155049,Database Systems,52,10
2,176,9780138155049,Database Systems,120,24
1,177,9781292025827,First Course in Database Systems,59,11
2,177,9781292025827,First Course in Database Systems,125,25
1,178,9783030731939,Database Systems for Advanced Applications,66,13
2,178,9783030731939,Database Systems for Advanced Applications,130,26
1,179,9780071325226,Database System Concept 6/E (EPZ),73,14
2,179,9780071325226,Database System Concept 6/E (EPZ),135,27
1,180,9780072554816,Database Systems Concepts with Oracle CD,80,16
2,180,9780072554816,Database Systems Concepts with Oracle CD,140,28
1,181,9781337688826,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",87,17
2,181,9781337688826,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",145,29
1,182,9780077103651,Database System Concepts,94,18
2,182,9780077103651,Database System Concepts,150,30
1,183,9780321204486,Fundamentals of Database Systems,101,20
2,183,9780321204486,Fundamentals of Database Systems,155,31
1,184,9780131354289,Database Systems : The Complete Book,108,21
2,184,9780131354289,Database Systems : The Complete Book,160,32
1,185,9780306469886,Real-Time Database Systems,115,23
2,185,9780306469886,Real-Time Database Systems,165,33
1,186,9781000562125,Database Systems,122,24
2,186,9781000562125,Database Systems,170,34
1,187,9788120712638,Database System,129,25
2,187,9788120712638,Database System,175,35
1,188,9780201590982,Modern Database Systems,136,27
2,188,9780201590982,Modern Database Systems,180,36
1,189,9780357475140,Bundle,143,28
2,189,9780357475140,Bundle,185,37
1,190,9780128004708,RDF database systems,150,30
2,190,9780128004708,RDF database systems,190,38
1,191,9780077095000,Database Systems,157,31
2,191,9780077095000,Database Systems,195,39
1,192,9780155000292,Database systems,164,32
2,192,9780155000292,Database systems,20,5
1,193,9780071246507,Introduction to database systems,171,34
2,193,9780071246507,Introduction to database systems,25,5
1,194,9780881751888,Principles of database and knowledge-base systems,178,35
2,194,9780881751888,Principles of database and knowledge-base systems,30,6
1,195,9781943153671,Database Systems,185,37
2,195,9781943153671,Database Systems,35,7
1,196,9780137156818,Principles of distributed database systems,192,38
2,196,9780137156818,Principles of distributed database systems,40,8
1,197,9789290922094,The EXOSAT database system,199,39
2,197,9789290922094,The EXOSAT database system,45,9
1,198,9781461304630,Multimedia Database Systems,26,5
2,198,9781461304630,Multimedia Database Systems,50,10
1,199,9783528054113,Recovery in parallel database systems,33,6
2,199,9783528054113,Recovery in parallel database systems,55,11
1,200,9789332901384,Database System Concepts,40,8
2,200,9789332901384,Database System Concepts,60,12
1,201,9780805368307,Fund Database System,47,9
2,201,9780805368307,Fund Database System,65,13
1,202,9783642120909,Advances In Intelligent Information And Database Systems,54,10
2,202,9783642120909,Advances In Intelligent Information And Database Systems,70,14
1,203,9780387556932,Advanced database systems,61,12
2,203,9780387556932,Advanced database systems,75,15
1,204,9780415302067,Nontraditional database systems,68,13
2,204,9780415302067,Nontraditional database systems,80,16
1,205,9783540120322,Relational database systems,75,15
2,205,9783540120322,Relational database systems,85,17
1,206,9780862382377,Databases and Database Systems,82,16
2,206,9780862382377,Databases and Database Systems,90,18
1,207,9780131970885,Database Systems,89,17
2,207,9780131970885,Database Systems,95,19
1,208,9781285099675,Database System,96,19
2,208,9781285099675,Database System,100,20
1,209,9783031217425,Intelligent Information and Database Systems,103,20
2,209,9783031217425,Intelligent Information and Database Systems,105,21
1,210,9783642008870,Database Systems for Advanced Applications,110,22
2,210,9783642008870,Database Systems for Advanced Applications,110,22
