purchase_order_id,line_no,product_id,product_barcode,product_name,quantity,purchase_price,line_amount
20001,1,120,9788178082318,An introduction to database systems,16,47.4,758.4
20001,2,121,9781305627482,"Database Systems: Design, Implementation, & Management",20,48.98,979.6
20001,3,122,9780201144390,An introduction to database systems,24,50.56,1213.44
20001,4,123,9780072353877,Database systems,28,45.82,1282.96
20001,5,124,9781405874373,Business database systems,32,47.4,1516.8
20001,6,125,9781943153190,Database Systems,12,48.98,587.76
20001,7,126,9781285196145,Database Systems Design Implementation And Management,16,50.56,808.96
20001,8,127,9780071244763,Database System Concepts,20,45.82,916.4
20001,9,128,9789332582705,"Fundamentals Of Database System, 7Th Edn",24,47.4,1137.6
20001,10,129,9780262332507,Readings in database systems,28,48.98,1371.44
20002,1,130,9780201877366,Intelligent database systems,17,47.4,805.8
20002,2,131,9780023996658,Database systems,21,48.98,1028.58
20002,3,132,9780805317480,Fundamentals of database systems,25,50.56,1264.0
20002,4,133,9781260515046,Loose Leaf for Database System Concepts,29,45.82,1328.78
20002,5,134,9781558605237,Readings in database systems,33,47.4,1564.2
20002,6,135,9780878355792,Database systems,13,48.98,636.74
20002,7,136,9781423902010,Database systems,17,50.56,859.52
20002,8,137,9780132144988,Database Systems,21,45.82,962.22
20002,9,138,9780131911802,Database systems using Oracle,25,47.4,1185.0
20002,10,139,9781292097619,"Fundamentals of Database Systems, Global Edition",29,48.98,1420.42
20003,1,140,9789353438913,Database Systems,18,47.4,853.2
20003,2,141,9781260084504,Database System Concepts,22,48.98,1077.56
20003,3,142,9788131716250,Fundamentals of database systems,26,50.56,1314.56
20003,4,143,9780760010907,"Database Systems Design, Implementation, and Management",30,45.82,1374.6
20003,5,144,9781558604438,Advanced database systems,34,47.4,1611.6
20003,6,145,9780132575676,Database Systems  Introduction to Databases and Data Warehouses,14,48.98,685.72
20003,7,146,9780735606340,Designing relational database systems,18,50.56,910.08
20003,8,147,9780314667717,An introduction to database systems,22,45.82,1008.04
20003,9,148,9780321197849,An Introduction to Database Systems,26,47.4,1232.4
20003,10,149,9780321181053,Database Systems,30,48.98,1469.4
20004,1,150,9781558604667,Principles of multimedia database systems,19,47.4,900.6
20004,2,151,9780072465631,Database management systems,23,48.98,1126.54
20004,3,152,9788129702289,Fundamentals of database systems,27,50.56,1365.12
