sale_id,store_id,customer_id,sale_time,payment_method,total_amount,discount_amount,actual_amount
40001,1,,2026-06-01 10:00:00,wechat,485.85,0.0,485.85
40002,2,2002,2026-06-02 11:01:00,alipay,485.85,24.29,461.56
40003,1,2003,2026-06-03 12:02:00,card,492.96,24.65,468.31
40004,2,2004,2026-06-04 13:03:00,cash,485.85,24.29,461.56
40005,1,2005,2026-06-05 14:04:00,mixed,485.85,24.29,461.56
40006,2,2006,2026-06-06 15:05:00,wechat,492.96,24.65,468.31
40007,1,2007,2026-06-07 16:06:00,alipay,485.85,24.29,461.56
40008,2,,2026-06-08 17:07:00,card,485.85,0.0,485.85
40009,1,2009,2026-06-09 18:08:00,cash,492.96,24.65,468.31
40010,2,2010,2026-06-10 19:09:00,mixed,485.85,24.29,461.56
40011,1,2011,2026-06-11 10:10:00,wechat,485.85,24.29,461.56
40012,2,2012,2026-06-12 11:11:00,alipay,492.96,24.65,468.31
40013,1,2013,2026-06-13 12:12:00,card,485.85,24.29,461.56
40014,2,2014,2026-06-14 13:13:00,cash,485.85,24.29,461.56
40015,1,,2026-06-15 14:14:00,mixed,492.96,0.0,492.96
40016,2,2016,2026-06-16 15:15:00,wechat,485.85,24.29,461.56
40017,1,2017,2026-06-17 16:16:00,alipay,485.85,24.29,461.56
40018,2,2018,2026-06-18 17:17:00,card,492.96,24.65,468.31
40019,1,2019,2026-06-19 18:18:00,cash,485.85,24.29,461.56
40020,2,2020,2026-06-20 19:19:00,mixed,485.85,24.29,461.56
40021,1,2021,2026-06-21 10:20:00,wechat,492.96,24.65,468.31
40022,2,,2026-06-22 11:21:00,alipay,485.85,0.0,485.85
40023,1,2023,2026-06-23 12:22:00,card,485.85,24.29,461.56
40024,2,2024,2026-06-24 13:23:00,cash,492.96,24.65,468.31
40025,1,2025,2026-06-25 14:24:00,mixed,485.85,24.29,461.56
40026,2,2026,2026-06-26 15:25:00,wechat,485.85,24.29,461.56
40027,1,2027,2026-06-27 16:26:00,alipay,492.96,24.65,468.31
40028,2,2028,2026-06-28 17:27:00,card,485.85,24.29,461.56
40029,1,,2026-06-01 18:28:00,cash,485.85,0.0,485.85
40030,2,2030,2026-06-02 19:29:00,mixed,492.96,24.65,468.31
40031,1,2031,2026-06-03 10:30:00,wechat,485.85,24.29,461.56
40032,2,2032,2026-06-04 11:31:00,alipay,485.85,24.29,461.56
40033,1,2033,2026-06-05 12:32:00,card,492.96,24.65,468.31
40034,2,2034,2026-06-06 13:33:00,cash,485.85,24.29,461.56
40035,1,2035,2026-06-07 14:34:00,mixed,485.85,24.29,461.56
40036,2,,2026-06-08 15:35:00,wechat,492.96,0.0,492.96
40037,1,2037,2026-06-09 16:36:00,alipay,485.85,24.29,461.56
40038,2,2038,2026-06-10 17:37:00,card,485.85,24.29,461.56
40039,1,2039,2026-06-11 18:38:00,cash,492.96,24.65,468.31
40040,2,2040,2026-06-12 19:39:00,mixed,485.85,24.29,461.56
40041,1,2041,2026-06-13 10:40:00,wechat,485.85,24.29,461.56
40042,2,2042,2026-06-14 11:41:00,alipay,492.96,24.65,468.31
40043,1,,2026-06-15 12:42:00,card,485.85,0.0,485.85
40044,2,2044,2026-06-16 13:43:00,cash,485.85,24.29,461.56
40045,1,2045,2026-06-17 14:44:00,mixed,492.96,24.65,468.31
40046,2,2046,2026-06-18 15:45:00,wechat,485.85,24.29,461.56
40047,1,2047,2026-06-19 16:46:00,alipay,485.85,24.29,461.56
40048,2,2048,2026-06-20 17:47:00,card,492.96,24.65,468.31
40049,1,2049,2026-06-21 18:48:00,cash,485.85,24.29,461.56
40050,2,,2026-06-22 19:49:00,mixed,485.85,0.0,485.85
40051,1,2051,2026-06-23 10:50:00,wechat,492.96,24.65,468.31
40052,2,2052,2026-06-24 11:51:00,alipay,485.85,24.29,461.56
40053,1,2053,2026-06-25 12:52:00,card,485.85,24.29,461.56
40054,2,2054,2026-06-26 13:53:00,cash,492.96,24.65,468.31
40055,1,2055,2026-06-27 14:54:00,mixed,485.85,24.29,461.56
40056,2,2056,2026-06-28 15:55:00,wechat,485.85,24.29,461.56
40057,1,,2026-06-01 16:56:00,alipay,492.96,0.0,492.96
40058,2,2058,2026-06-02 17:57:00,card,485.85,24.29,461.56
40059,1,2059,2026-06-03 18:58:00,cash,485.85,24.29,461.56
40060,2,2060,2026-06-04 19:59:00,mixed,492.96,24.65,468.31
40061,1,2061,2026-06-05 10:00:00,wechat,485.85,24.29,461.56
40062,2,2062,2026-06-06 11:01:00,alipay,485.85,24.29,461.56
40063,1,2063,2026-06-07 12:02:00,card,492.96,24.65,468.31
40064,2,,2026-06-08 13:03:00,cash,485.85,0.0,485.85
40065,1,2065,2026-06-09 14:04:00,mixed,485.85,24.29,461.56
40066,2,2066,2026-06-10 15:05:00,wechat,492.96,24.65,468.31
40067,1,2067,2026-06-11 16:06:00,alipay,485.85,24.29,461.56
40068,2,2068,2026-06-12 17:07:00,card,485.85,24.29,461.56
40069,1,2069,2026-06-13 18:08:00,cash,492.96,24.65,468.31
40070,2,2070,2026-06-14 19:09:00,mixed,485.85,24.29,461.56
40071,1,,2026-06-15 10:10:00,wechat,485.85,0.0,485.85
40072,2,2072,2026-06-16 11:11:00,alipay,492.96,24.65,468.31
40073,1,2073,2026-06-17 12:12:00,card,485.85,24.29,461.56
40074,2,2074,2026-06-18 13:13:00,cash,485.85,24.29,461.56
40075,1,2075,2026-06-19 14:14:00,mixed,492.96,24.65,468.31
40076,2,2076,2026-06-20 15:15:00,wechat,485.85,24.29,461.56
40077,1,2077,2026-06-21 16:16:00,alipay,485.85,24.29,461.56
40078,2,,2026-06-22 17:17:00,card,492.96,0.0,492.96
40079,1,2079,2026-06-23 18:18:00,cash,485.85,24.29,461.56
40080,2,2080,2026-06-24 19:19:00,mixed,485.85,24.29,461.56
40081,1,2081,2026-06-25 10:20:00,wechat,492.96,24.65,468.31
40082,2,2082,2026-06-26 11:21:00,alipay,485.85,24.29,461.56
40083,1,2083,2026-06-27 12:22:00,card,485.85,24.29,461.56
40084,2,2084,2026-06-28 13:23:00,cash,492.96,24.65,468.31
40085,1,,2026-06-01 14:24:00,mixed,485.85,0.0,485.85
40086,2,2086,2026-06-02 15:25:00,wechat,485.85,24.29,461.56
40087,1,2087,2026-06-03 16:26:00,alipay,492.96,24.65,468.31
40088,2,2088,2026-06-04 17:27:00,card,485.85,24.29,461.56
40089,1,2089,2026-06-05 18:28:00,cash,485.85,24.29,461.56
40090,2,2090,2026-06-06 19:29:00,mixed,492.96,24.65,468.31
40091,1,2091,2026-06-07 10:30:00,wechat,485.85,24.29,461.56
40092,2,,2026-06-08 11:31:00,alipay,485.85,0.0,485.85
40093,1,2093,2026-06-09 12:32:00,card,492.96,24.65,468.31
40094,2,2094,2026-06-10 13:33:00,cash,485.85,24.29,461.56
40095,1,2095,2026-06-11 14:34:00,mixed,485.85,24.29,461.56
40096,2,2096,2026-06-12 15:35:00,wechat,492.96,24.65,468.31
40097,1,2097,2026-06-13 16:36:00,alipay,485.85,24.29,461.56
40098,2,2098,2026-06-14 17:37:00,card,485.85,24.29,461.56
40099,1,,2026-06-15 18:38:00,cash,492.96,0.0,492.96
40100,2,2100,2026-06-16 19:39:00,mixed,485.85,24.29,461.56
40101,1,2101,2026-06-17 10:40:00,wechat,485.85,24.29,461.56
40102,2,2102,2026-06-18 11:41:00,alipay,492.96,24.65,468.31
40103,1,2103,2026-06-19 12:42:00,card,485.85,24.29,461.56
40104,2,2104,2026-06-20 13:43:00,cash,485.85,24.29,461.56
40105,1,2105,2026-06-21 14:44:00,mixed,492.96,24.65,468.31
40106,2,,2026-06-22 15:45:00,wechat,485.85,0.0,485.85
40107,1,2107,2026-06-23 16:46:00,alipay,485.85,24.29,461.56
40108,2,2108,2026-06-24 17:47:00,card,492.96,24.65,468.31
40109,1,2109,2026-06-25 18:48:00,cash,485.85,24.29,461.56
40110,2,2110,2026-06-26 19:49:00,mixed,485.85,24.29,461.56
40111,1,2111,2026-06-27 10:50:00,wechat,492.96,24.65,468.31
40112,2,2112,2026-06-28 11:51:00,alipay,485.85,24.29,461.56
40113,1,,2026-06-01 12:52:00,card,485.85,0.0,485.85
40114,2,2114,2026-06-02 13:53:00,cash,492.96,24.65,468.31
40115,1,2115,2026-06-03 14:54:00,mixed,485.85,24.29,461.56
40116,2,2116,2026-06-04 15:55:00,wechat,485.85,24.29,461.56
40117,1,2117,2026-06-05 16:56:00,alipay,492.96,24.65,468.31
40118,2,2118,2026-06-06 17:57:00,card,485.85,24.29,461.56
40119,1,2119,2026-06-07 18:58:00,cash,485.85,24.29,461.56
40120,2,,2026-06-08 19:59:00,mixed,492.96,0.0,492.96
40121,1,2121,2026-06-09 10:00:00,wechat,485.85,24.29,461.56
40122,2,2122,2026-06-10 11:01:00,alipay,485.85,24.29,461.56
40123,1,2123,2026-06-11 12:02:00,card,492.96,24.65,468.31
40124,2,2124,2026-06-12 13:03:00,cash,485.85,24.29,461.56
40125,1,2125,2026-06-13 14:04:00,mixed,485.85,24.29,461.56
40126,2,2126,2026-06-14 15:05:00,wechat,492.96,24.65,468.31
40127,1,,2026-06-15 16:06:00,alipay,485.85,0.0,485.85
40128,2,2128,2026-06-16 17:07:00,card,485.85,24.29,461.56
40129,1,2129,2026-06-17 18:08:00,cash,492.96,24.65,468.31
40130,2,2130,2026-06-18 19:09:00,mixed,485.85,24.29,461.56
40131,1,2131,2026-06-19 10:10:00,wechat,485.85,24.29,461.56
40132,2,2132,2026-06-20 11:11:00,alipay,492.96,24.65,468.31
40133,1,2133,2026-06-21 12:12:00,card,485.85,24.29,461.56
40134,2,,2026-06-22 13:13:00,cash,485.85,0.0,485.85
40135,1,2135,2026-06-23 14:14:00,mixed,492.96,24.65,468.31
40136,2,2136,2026-06-24 15:15:00,wechat,485.85,24.29,461.56
40137,1,2137,2026-06-25 16:16:00,alipay,485.85,24.29,461.56
40138,2,2138,2026-06-26 17:17:00,card,492.96,24.65,468.31
40139,1,2139,2026-06-27 18:18:00,cash,485.85,24.29,461.56
40140,2,2140,2026-06-28 19:19:00,mixed,485.85,24.29,461.56
40141,1,,2026-06-01 10:20:00,wechat,492.96,0.0,492.96
40142,2,2142,2026-06-02 11:21:00,alipay,485.85,24.29,461.56
40143,1,2143,2026-06-03 12:22:00,card,485.85,24.29,461.56
40144,2,2144,2026-06-04 13:23:00,cash,492.96,24.65,468.31
40145,1,2145,2026-06-05 14:24:00,mixed,485.85,24.29,461.56
40146,2,2146,2026-06-06 15:25:00,wechat,485.85,24.29,461.56
40147,1,2147,2026-06-07 16:26:00,alipay,492.96,24.65,468.31
40148,2,,2026-06-08 17:27:00,card,485.85,0.0,485.85
40149,1,2149,2026-06-09 18:28:00,cash,485.85,24.29,461.56
40150,2,2150,2026-06-10 19:29:00,mixed,492.96,24.65,468.31
40151,1,2151,2026-06-11 10:30:00,wechat,485.85,24.29,461.56
