sale_id,line_no,product_id,product_barcode,product_name,quantity,unit_price,line_amount
40001,1,120,9788178082318,An introduction to database systems,2,79.0,158.0
40001,2,121,9781305627482,"Database Systems: Design, Implementation, & Management",3,81.37,244.11
40001,3,122,9780201144390,An introduction to database systems,1,83.74,83.74
40002,1,123,9780072353877,Database systems,3,79.0,237.0
40002,2,124,9781405874373,Business database systems,1,81.37,81.37
40002,3,125,9781943153190,Database Systems,2,83.74,167.48
40003,1,126,9781285196145,Database Systems Design Implementation And Management,1,79.0,79.0
40003,2,127,9780071244763,Database System Concepts,2,81.37,162.74
40003,3,128,9789332582705,"Fundamentals Of Database System, 7Th Edn",3,83.74,251.22
40004,1,129,9780262332507,Readings in database systems,2,79.0,158.0
40004,2,130,9780201877366,Intelligent database systems,3,81.37,244.11
40004,3,131,9780023996658,Database systems,1,83.74,83.74
40005,1,132,9780805317480,Fundamentals of database systems,3,79.0,237.0
40005,2,133,9781260515046,Loose Leaf for Database System Concepts,1,81.37,81.37
40005,3,134,9781558605237,Readings in database systems,2,83.74,167.48
40006,1,135,9780878355792,Database systems,1,79.0,79.0
40006,2,136,9781423902010,Database systems,2,81.37,162.74
40006,3,137,9780132144988,Database Systems,3,83.74,251.22
40007,1,138,9780131911802,Database systems using Oracle,2,79.0,158.0
40007,2,139,9781292097619,"Fundamentals of Database Systems, Global Edition",3,81.37,244.11
40007,3,140,9789353438913,Database Systems,1,83.74,83.74
40008,1,141,9781260084504,Database System Concepts,3,79.0,237.0
40008,2,142,9788131716250,Fundamentals of database systems,1,81.37,81.37
40008,3,143,9780760010907,"Database Systems Design, Implementation, and Management",2,83.74,167.48
40009,1,144,9781558604438,Advanced database systems,1,79.0,79.0
40009,2,145,9780132575676,Database Systems  Introduction to Databases and Data Warehouses,2,81.37,162.74
40009,3,146,9780735606340,Designing relational database systems,3,83.74,251.22
40010,1,147,9780314667717,An introduction to database systems,2,79.0,158.0
40010,2,148,9780321197849,An Introduction to Database Systems,3,81.37,244.11
40010,3,149,9780321181053,Database Systems,1,83.74,83.74
40011,1,150,9781558604667,Principles of multimedia database systems,3,79.0,237.0
40011,2,151,9780072465631,Database management systems,1,81.37,81.37
40011,3,152,9788129702289,Fundamentals of database systems,2,83.74,167.48
40012,1,153,9780387985299,Active rules in database systems,1,79.0,79.0
40012,2,154,9781292061184,"Database Systems - A Practical Approach to Design, Implementation, and Management",2,81.37,162.74
40012,3,155,9780070614819,Filing and database systems,3,83.74,251.22
40013,1,156,9780471467922,Mobile Database Systems,2,79.0,158.0
40013,2,157,9780136006374,A first course in database systems,3,81.37,244.11
40013,3,158,9780071136686,Advanced concepts in operating systems,1,83.74,83.74
40014,1,159,9780080490724,Component database systems,3,79.0,237.0
40014,2,160,9780130428981,An advanced course in database systems,1,81.37,81.37
40014,3,161,9780130402646,Database system implementation,2,83.74,167.48
40015,1,162,9780321189561,Introduction to Database Systems,1,79.0,79.0
40015,2,163,9780137386185,Principles of relational database systems,2,81.37,162.74
40015,3,164,9780877091158,Database systems management and design,3,83.74,251.22
40016,1,165,9781315213958,Nontraditional Database Systems,2,79.0,158.0
40016,2,166,9781439812471,Bioinformatics Database Systems,3,81.37,244.11
40016,3,167,9783211826140,Advances in database systems,1,83.74,83.74
40017,1,168,9788131792476,Fundamentals of Database Systems,3,79.0,237.0
40017,2,169,9780387399409,Encyclopedia of database systems,1,81.37,81.37
40017,3,170,9780130909336,Database Systems Using Oracle,2,83.74,167.48
40018,1,171,9780126443752,Relational database systems,1,79.0,79.0
40018,2,172,9780130619600,Management information systems,2,81.37,162.74
40018,3,173,9781601980786,Architecture of a database system,3,83.74,251.22
40019,1,174,9788177585674,Database systems,2,79.0,158.0
40019,2,175,9780070108295,Distributed databases,3,81.37,244.11
40019,3,176,9780138155049,Database Systems,1,83.74,83.74
40020,1,177,9781292025827,First Course in Database Systems,3,79.0,237.0
40020,2,178,9783030731939,Database Systems for Advanced Applications,1,81.37,81.37
40020,3,179,9780071325226,Database System Concept 6/E (EPZ),2,83.74,167.48
40021,1,180,9780072554816,Database Systems Concepts with Oracle CD,1,79.0,79.0
40021,2,181,9781337688826,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",2,81.37,162.74
40021,3,182,9780077103651,Database System Concepts,3,83.74,251.22
40022,1,183,9780321204486,Fundamentals of Database Systems,2,79.0,158.0
40022,2,184,9780131354289,Database Systems : The Complete Book,3,81.37,244.11
40022,3,185,9780306469886,Real-Time Database Systems,1,83.74,83.74
40023,1,186,9781000562125,Database Systems,3,79.0,237.0
40023,2,187,9788120712638,Database System,1,81.37,81.37
40023,3,188,9780201590982,Modern Database Systems,2,83.74,167.48
40024,1,189,9780357475140,Bundle,1,79.0,79.0
40024,2,190,9780128004708,RDF database systems,2,81.37,162.74
40024,3,191,9780077095000,Database Systems,3,83.74,251.22
40025,1,192,9780155000292,Database systems,2,79.0,158.0
40025,2,193,9780071246507,Introduction to database systems,3,81.37,244.11
40025,3,194,9780881751888,Principles of database and knowledge-base systems,1,83.74,83.74
40026,1,195,9781943153671,Database Systems,3,79.0,237.0
40026,2,196,9780137156818,Principles of distributed database systems,1,81.37,81.37
40026,3,197,9789290922094,The EXOSAT database system,2,83.74,167.48
40027,1,198,9781461304630,Multimedia Database Systems,1,79.0,79.0
40027,2,199,9783528054113,Recovery in parallel database systems,2,81.37,162.74
40027,3,200,9789332901384,Database System Concepts,3,83.74,251.22
40028,1,201,9780805368307,Fund Database System,2,79.0,158.0
40028,2,202,9783642120909,Advances In Intelligent Information And Database Systems,3,81.37,244.11
40028,3,203,9780387556932,Advanced database systems,1,83.74,83.74
40029,1,204,9780415302067,Nontraditional database systems,3,79.0,237.0
40029,2,205,9783540120322,Relational database systems,1,81.37,81.37
40029,3,206,9780862382377,Databases and Database Systems,2,83.74,167.48
40030,1,207,9780131970885,Database Systems,1,79.0,79.0
40030,2,208,9781285099675,Database System,2,81.37,162.74
40030,3,209,9783031217425,Intelligent Information and Database Systems,3,83.74,251.22
40031,1,210,9783642008870,Database Systems for Advanced Applications,2,79.0,158.0
40031,2,211,9780038757855,Advances in object-oriented database systems,3,81.37,244.11
40031,3,212,9781435626393,Readings in database systems,1,83.74,83.74
40032,1,213,9780201542639,Fundamentals of database systems,3,79.0,237.0
40032,2,214,9780321122261,Fundamentals of Database Systems,1,81.37,81.37
40032,3,215,9788120312579,Object Oriented Database Systems,2,83.74,167.48
40033,1,216,9780136063261,Introduction to Database Systems,1,79.0,79.0
40033,2,217,9781292436364,Pearson EText for Database Systems,2,81.37,162.74
40033,3,218,9780321185563,Principles of Database Systems with Internet and Java Applications,3,83.74,251.22
40034,1,219,9781032202020,Database Systems,2,79.0,158.0
40034,2,220,9780201146479,Prolog programming,3,81.37,244.11
40034,3,221,9780387197326,Specifications of Database Systems,1,83.74,83.74
40035,1,222,9781461561620,Real-time database systems,3,79.0,237.0
40035,2,223,9780071204132,Database,1,81.37,81.37
40035,3,224,9780080515595,Query processing for advanced database systems,2,83.74,167.48
40036,1,225,9781322050324,Developing Quality Complex Database Systems,1,79.0,79.0
40036,2,226,9781484211922,Database Systems: A Pragmatic Approach,2,81.37,162.74
40036,3,227,9781280519192,Mobile Database Systems,3,83.74,251.22
40037,1,228,9781774697610,Advanced Database Systems,2,79.0,158.0
40037,2,229,9781461540953,Climate and Environmental Database Systems,3,81.37,244.11
40037,3,230,9781322670508,Database management systems,1,83.74,83.74
40038,1,231,9780792398721,Video database systems,3,79.0,237.0
40038,2,232,9780632031160,Relational Database Systems,1,81.37,81.37
40038,3,233,9780071151108,Database management systems,2,83.74,167.48
40039,1,234,9780201624397,Object-oriented database systems,1,79.0,79.0
40039,2,235,9781292024479,Database Systems : Pearson New International Edition,2,81.37,162.74
40039,3,236,9781475769371,Visual Database Systems 3,3,83.74,251.22
40040,1,237,9781447116165,The Architectural Logic of Database Systems,2,79.0,158.0
40040,2,238,9789819755684,Database Systems for Advanced Applications,3,81.37,244.11
40040,3,239,9783319754192,Intelligent Information and Database Systems,1,83.74,83.74
40041,1,240,9781627050296,Similarity Joins in Relational Database Systems,3,79.0,237.0
40041,2,241,9781558600003,Readings in object-oriented database systems,1,81.37,81.37
40041,3,242,9781844804528,Database management systems,2,83.74,167.48
40042,1,243,9781558602168,Management of heterogeneous and autonomous database systems,1,79.0,79.0
40042,2,244,9780934613651,Readings in database systems,2,81.37,162.74
40042,3,245,9781461482642,Encyclopedia of Database Systems,3,83.74,251.22
40043,1,246,9789812798015,Intelligent Image Database Systems,2,79.0,158.0
40043,2,247,9781779561701,Fundamentals of Database Systems,3,81.37,244.11
40043,3,248,9783540009481,Aspect-oriented database systems,1,83.74,83.74
40044,1,249,9788478290758,SISTEMAS DE BASES DE DATOS,3,79.0,237.0
40044,2,250,9780201844528,XML data management,1,81.37,81.37
40044,3,251,9781402053924,Spatial database systems,2,83.74,167.48
40045,1,252,9783540587101,Multimedia database systems,1,79.0,79.0
40045,2,253,9780818688386,Tutorial,2,81.37,162.74
