stock_in_id,line_no,product_id,product_barcode,product_name,quantity,unit_cost,line_amount
30001,1,120,9788178082318,An introduction to database systems,19,48.98,930.62
30001,2,121,9781305627482,"Database Systems: Design, Implementation, & Management",24,50.56,1213.44
30001,3,122,9780201144390,An introduction to database systems,29,47.4,1374.6
30001,4,123,9780072353877,Database systems,34,48.98,1665.32
30001,5,124,9781405874373,Business database systems,14,50.56,707.84
30001,6,125,9781943153190,Database Systems,19,47.4,900.6
30001,7,126,9781285196145,Database Systems Design Implementation And Management,24,48.98,1175.52
30001,8,127,9780071244763,Database System Concepts,29,50.56,1466.24
30001,9,128,9789332582705,"Fundamentals Of Database System, 7Th Edn",34,47.4,1611.6
30001,10,129,9780262332507,Readings in database systems,14,48.98,685.72
30002,1,130,9780201877366,Intelligent database systems,20,48.98,979.6
30002,2,131,9780023996658,Database systems,25,50.56,1264.0
30002,3,132,9780805317480,Fundamentals of database systems,30,47.4,1422.0
30002,4,133,9781260515046,Loose Leaf for Database System Concepts,35,48.98,1714.3
30002,5,134,9781558605237,Readings in database systems,15,50.56,758.4
30002,6,135,9780878355792,Database systems,20,47.4,948.0
30002,7,136,9781423902010,Database systems,25,48.98,1224.5
30002,8,137,9780132144988,Database Systems,30,50.56,1516.8
30002,9,138,9780131911802,Database systems using Oracle,35,47.4,1659.0
30002,10,139,9781292097619,"Fundamentals of Database Systems, Global Edition",15,48.98,734.7
30003,1,150,9781558604667,Principles of multimedia database systems,22,48.98,1077.56
30003,2,151,9780072465631,Database management systems,27,50.56,1365.12
30003,3,152,9788129702289,Fundamentals of database systems,32,47.4,1516.8
30003,4,153,9780387985299,Active rules in database systems,37,48.98,1812.26
30003,5,154,9781292061184,"Database Systems - A Practical Approach to Design, Implementation, and Management",17,50.56,859.52
30003,6,155,9780070614819,Filing and database systems,22,47.4,1042.8
30003,7,156,9780471467922,Mobile Database Systems,27,48.98,1322.46
30003,8,157,9780136006374,A first course in database systems,32,50.56,1617.92
30003,9,158,9780071136686,Advanced concepts in operating systems,37,47.4,1753.8
30003,10,159,9780080490724,Component database systems,17,48.98,832.66
30004,1,160,9780130428981,An advanced course in database systems,19,48.98,930.62
30004,2,161,9780130402646,Database system implementation,24,50.56,1213.44
30004,3,162,9780321189561,Introduction to Database Systems,29,47.4,1374.6
30004,4,163,9780137386185,Principles of relational database systems,34,48.98,1665.32
30004,5,164,9780877091158,Database systems management and design,14,50.56,707.84
30004,6,165,9781315213958,Nontraditional Database Systems,19,47.4,900.6
30004,7,166,9781439812471,Bioinformatics Database Systems,24,48.98,1175.52
30004,8,167,9783211826140,Advances in database systems,29,50.56,1466.24
30004,9,168,9788131792476,Fundamentals of Database Systems,34,47.4,1611.6
30004,10,169,9780387399409,Encyclopedia of database systems,14,48.98,685.72
30005,1,170,9780130909336,Database Systems Using Oracle,20,48.98,979.6
30005,2,171,9780126443752,Relational database systems,25,50.56,1264.0
30005,3,172,9780130619600,Management information systems,30,47.4,1422.0
30005,4,173,9781601980786,Architecture of a database system,35,48.98,1714.3
30005,5,174,9788177585674,Database systems,15,50.56,758.4
30005,6,175,9780070108295,Distributed databases,20,47.4,948.0
30005,7,176,9780138155049,Database Systems,25,48.98,1224.5
30005,8,177,9781292025827,First Course in Database Systems,30,50.56,1516.8
30005,9,178,9783030731939,Database Systems for Advanced Applications,35,47.4,1659.0
30005,10,179,9780071325226,Database System Concept 6/E (EPZ),15,48.98,734.7
30006,1,180,9780072554816,Database Systems Concepts with Oracle CD,21,48.98,1028.58
30006,2,181,9781337688826,"Database Systems Design, Implementation, and Management, Loose-Leaf Version",26,50.56,1314.56
30006,3,182,9780077103651,Database System Concepts,31,47.4,1469.4
30006,4,183,9780321204486,Fundamentals of Database Systems,36,48.98,1763.28
30006,5,184,9780131354289,Database Systems : The Complete Book,16,50.56,808.96
30006,6,185,9780306469886,Real-Time Database Systems,21,47.4,995.4
30006,7,186,9781000562125,Database Systems,26,48.98,1273.48
30006,8,187,9788120712638,Database System,31,50.56,1567.36
30006,9,188,9780201590982,Modern Database Systems,36,47.4,1706.4
30006,10,189,9780357475140,Bundle,16,48.98,783.68
30007,1,200,9789332901384,Database System Concepts,19,48.98,930.62
30007,2,201,9780805368307,Fund Database System,24,50.56,1213.44
30007,3,202,9783642120909,Advances In Intelligent Information And Database Systems,29,47.4,1374.6
30007,4,203,9780387556932,Advanced database systems,34,48.98,1665.32
30007,5,204,9780415302067,Nontraditional database systems,14,50.56,707.84
30007,6,205,9783540120322,Relational database systems,19,47.4,900.6
30007,7,206,9780862382377,Databases and Database Systems,24,48.98,1175.52
30007,8,207,9780131970885,Database Systems,29,50.56,1466.24
30007,9,208,9781285099675,Database System,34,47.4,1611.6
30007,10,209,9783031217425,Intelligent Information and Database Systems,14,48.98,685.72
30008,1,210,9783642008870,Database Systems for Advanced Applications,20,48.98,979.6
30008,2,211,9780038757855,Advances in object-oriented database systems,25,50.56,1264.0
30008,3,212,9781435626393,Readings in database systems,30,47.4,1422.0
30008,4,213,9780201542639,Fundamentals of database systems,35,48.98,1714.3
30008,5,214,9780321122261,Fundamentals of Database Systems,15,50.56,758.4
30008,6,215,9788120312579,Object Oriented Database Systems,20,47.4,948.0
30008,7,216,9780136063261,Introduction to Database Systems,25,48.98,1224.5
30008,8,217,9781292436364,Pearson EText for Database Systems,30,50.56,1516.8
30008,9,218,9780321185563,Principles of Database Systems with Internet and Java Applications,35,47.4,1659.0
30008,10,219,9781032202020,Database Systems,15,48.98,734.7
30009,1,220,9780201146479,Prolog programming,21,48.98,1028.58
30009,2,221,9780387197326,Specifications of Database Systems,26,50.56,1314.56
30009,3,222,9781461561620,Real-time database systems,31,47.4,1469.4
30009,4,223,9780071204132,Database,36,48.98,1763.28
30009,5,224,9780080515595,Query processing for advanced database systems,16,50.56,808.96
30009,6,225,9781322050324,Developing Quality Complex Database Systems,21,47.4,995.4
30009,7,226,9781484211922,Database Systems: A Pragmatic Approach,26,48.98,1273.48
30009,8,227,9781280519192,Mobile Database Systems,31,50.56,1567.36
30009,9,228,9781774697610,Advanced Database Systems,36,47.4,1706.4
30009,10,229,9781461540953,Climate and Environmental Database Systems,16,48.98,783.68
30010,1,230,9781322670508,Database management systems,22,48.98,1077.56
30010,2,231,9780792398721,Video database systems,27,50.56,1365.12
30010,3,232,9780632031160,Relational Database Systems,32,47.4,1516.8
30010,4,233,9780071151108,Database management systems,37,48.98,1812.26
30010,5,234,9780201624397,Object-oriented database systems,17,50.56,859.52
30010,6,235,9781292024479,Database Systems : Pearson New International Edition,22,47.4,1042.8
30010,7,236,9781475769371,Visual Database Systems 3,27,48.98,1322.46
30010,8,237,9781447116165,The Architectural Logic of Database Systems,32,50.56,1617.92
30010,9,238,9789819755684,Database Systems for Advanced Applications,37,47.4,1753.8
30010,10,239,9783319754192,Intelligent Information and Database Systems,17,48.98,832.66
30011,1,250,9780201844528,XML data management,20,48.98,979.6
30011,2,251,9781402053924,Spatial database systems,25,50.56,1264.0
