supplier_id,product_id,product_barcode,product_name,supply_price,min_order_qty,is_primary
1,120,DD29210317,中国小说史略(外一种:汉文学史纲要)(中华现代学术名著3),43.45,10,1
102,120,DD29210317,中国小说史略(外一种:汉文学史纲要)(中华现代学术名著3),46.93,20,0
2,121,DD12100014112,中国小说叙事模式的转变陈平原著作系列+现代中国的述学文体+中国现代学术之建立+读书的风景,45.43,15,1
101,122,DD27877953,中国小说史略(蓬莱阁典藏系列),47.4,20,1
102,123,DD29739260,中国小说:洞达人性的智慧,49.38,25,1
103,124,DD29476235,中国小说叙事模式的转变,51.35,30,1
203,124,DD29476235,中国小说叙事模式的转变,55.46,40,0
201,125,DD29822739,中国小说史略,43.45,35,1
202,126,DD12421986017,中国小说史略,45.43,40,1
203,127,DD12342291076,中国小说史略,47.4,45,1
204,128,DD11671060094,中国小说的起源及其演变,49.38,10,1
207,128,DD11671060094,中国小说的起源及其演变,53.33,20,0
205,129,DD11275386007,中国小说的起源及其演变,51.35,15,1
206,130,DD12471993031,虫系列科幻中国小说,43.45,20,1
207,131,DD12354253080,中国小说史略,45.43,25,1
208,132,DD12330150002,中国小说史略,47.4,30,1
1,132,DD12330150002,中国小说史略,51.19,40,0
209,133,DD12413638097,中国小说史大纲,49.38,35,1
210,134,DD1296370267,中国小说史略/中国近现代经典文学阅读,51.35,40,1
1,135,DD11926904012,中国小说史略,43.45,45,1
2,136,DD1305805967,中国小说史略/大师经典文丛,45.43,10,1
103,136,DD1305805967,中国小说史略/大师经典文丛,49.06,20,0
101,137,DD11983746100,中国小说史略,47.4,15,1
102,138,DD12401683075,中国小说理论通史,49.38,20,1
103,139,DD11908786082,中国小说史略-老北大讲义,51.35,25,1
201,140,DD11177106070,中国小说的起源及其演变,43.45,30,1
204,140,DD11177106070,中国小说的起源及其演变,46.93,40,0
202,141,DD1525539470,中国小说的起源及其演变,45.43,35,1
203,142,DD12356320033,中国小说史大纲,47.4,40,1
204,143,DD12462757061,中国小说观念的嬗变及其文化精神,49.38,45,1
205,144,DD11927512082,中国小说史略,51.35,10,1
208,144,DD11927512082,中国小说史略,55.46,20,0
206,145,DD1231111155,中国小说的起源及其演变/近代,43.45,15,1
207,146,DD1023828679,中国小说的起源及其演变/近代,45.43,20,1
208,147,DD1206298734,中国小说的起源及其演变,47.4,25,1
209,148,DD1337462367,中国小说的起源及其演变/近代,49.38,30,1
2,148,DD1337462367,中国小说的起源及其演变/近代,53.33,40,0
210,149,DD11703846036,中国小说史略,51.35,35,1
1,150,DD12387356016,中国小说研究,43.45,40,1
2,151,DD12324441094,中国小说史略,45.43,45,1
101,152,DD12339728083,中国小说史略,47.4,10,1
201,152,DD12339728083,中国小说史略,51.19,20,0
102,153,DD11847213062,中国小说史略,49.38,15,1
103,154,DD12342473005,中国小说30年,51.35,20,1
201,155,DD12392421051,中国小说史略,43.45,25,1
202,156,DD1453974471,中国小说的起源及其演变/近代,45.43,30,1
205,156,DD1453974471,中国小说的起源及其演变/近代,49.06,40,0
203,157,DD12439344077,中国小说史略,47.4,35,1
204,158,DD11782275012,中国小说史略,49.38,40,1
205,159,DD11983861135,中国小说,51.35,45,1
206,160,DD1318504632,中国小说的起源及其演变,43.45,10,1
209,160,DD1318504632,中国小说的起源及其演变,46.93,20,0
207,161,DD11683771956,中国小说史略,45.43,15,1
208,162,DD11620722393,中国小说史略,47.4,20,1
209,163,DD11984284140,中国小说30年,49.38,25,1
210,164,DD12498899097,中国小说的起源及其演变,51.35,30,1
101,164,DD12498899097,中国小说的起源及其演变,55.46,40,0
1,165,DD12501739087,中国小说的近代变革,43.45,35,1
2,166,DD12403711091,中国小说史略,45.43,40,1
101,167,DD23664371,中国小说的起源及其演变,47.4,45,1
102,168,DD12315871053,中国小说史略,49.38,10,1
202,168,DD12315871053,中国小说史略,53.33,20,0
103,169,DD12402220131,中国小说研究,51.35,15,1
201,170,DD12442078081,中国小说美学史,43.45,20,1
202,171,DD12406675078,中国小说史略,45.43,25,1
203,172,DD1318083568,中国小说史略(堪称中国小说史研究的开山之作),47.4,30,1
206,172,DD1318083568,中国小说史略(堪称中国小说史研究的开山之作),51.19,40,0
204,173,DD12339250045,中国小说体式的现代转型与流变,49.38,35,1
205,174,DD12343080025,中国小说观念的嬗变及其文化精神,51.35,40,1
206,175,DD12373493055,中国小说续书研究,43.45,45,1
207,176,DD20948017,中国小说观念的近代化进程,45.43,10,1
210,176,DD20948017,中国小说观念的近代化进程,49.06,20,0
208,177,DD12373259014,中国小说史略,47.4,15,1
209,178,DD11973785113,中国小说史略,49.38,20,1
210,179,DD12349404068,中国小说续书研究,51.35,25,1
1,180,DD1004031590,中国小说史略,43.45,30,1
102,180,DD1004031590,中国小说史略,46.93,40,0
2,181,DD12307509140,中国小说史略,45.43,35,1
101,182,DD12335316015,中国小说史略,47.4,40,1
102,183,DD1619854596,中国小说与传说在日本的传播与再创,49.38,45,1
103,184,DD11887694033,中国小说观念的嬗变及其文化精神,51.35,10,1
203,184,DD11887694033,中国小说观念的嬗变及其文化精神,55.46,20,0
201,185,DD12353378019,中国小说史略鲁迅著,43.45,15,1
