source_site,source_item_id,source_query_category,source_category_path,product_name,barcode,category_name,unit,suggested_unit_price,status,source_url
新华书店网,110001504742712,家居/生活用品,家居/生活用品,祥锐 中国红超温变色三件套,XHSD110001504742712,家居/生活用品,个,238.00,onsale,https://item.xhsd.com/items/110001504742712
新华书店网,110001504742658,家居/生活用品,家居/生活用品,清砂壶影宜兴原矿天青泥古金钟紫砂壶礼盒装,XHSD110001504742658,家居/生活用品,个,569.00,onsale,https://item.xhsd.com/items/110001504742658
新华书店网,110001504747681,家居/生活用品,家居/生活用品,清砂壶影原矿百目紫泥富甲天下紫砂壶礼盒装,XHSD110001504747681,家居/生活用品,个,999.00,onsale,https://item.xhsd.com/items/110001504747681
新华书店网,110001504785242,家居/生活用品,家居/生活用品,宠物电动除毛吹风机,XHSD110001504785242,家居/生活用品,个,79.00,onsale,https://item.xhsd.com/items/110001504785242
新华书店网,110001504776985,家居/生活用品,家居/生活用品,杉杉 A类100S新疆长绒棉抗菌四件套,XHSD110001504776985,家居/生活用品,个,688.00,onsale,https://item.xhsd.com/items/110001504776985
新华书店网,110001504784849,家居/生活用品,家居/生活用品,磁石自发热热敷理疗护腰带,XHSD110001504784849,家居/生活用品,个,88.00,onsale,https://item.xhsd.com/items/110001504784849
新华书店网,110001504744978,家居/生活用品,家居/生活用品,可折叠腰靠人体工学矫正护腰坐垫YK07A,XHSD110001504744978,家居/生活用品,个,208.00,onsale,https://item.xhsd.com/items/110001504744978
新华书店网,110001504810484,家居/生活用品,家居/生活用品,芳恩 宿舍良品全棉六件套,XHSD110001504810484,家居/生活用品,个,815.00,onsale,https://item.xhsd.com/items/110001504810484
新华书店网,110001504801590,家居/生活用品,家居/生活用品,舒欣乐新式速烘便携干衣机XH-102,XHSD110001504801590,家居/生活用品,个,178.00,onsale,https://item.xhsd.com/items/110001504801590
新华书店网,110001504813161,家居/生活用品,家居/生活用品,玛丽餐具十件套BJS024/ML10,XHSD110001504813161,家居/生活用品,个,159.00,onsale,https://item.xhsd.com/items/110001504813161
新华书店网,110001504812214,家居/生活用品,家居/生活用品,哥窑鼎盛辉煌10入茶具GY2016-1,XHSD110001504812214,家居/生活用品,个,239.00,onsale,https://item.xhsd.com/items/110001504812214
新华书店网,110001504819063,家居/生活用品,家居/生活用品,哥窑和乐融融10入茶具GY2016-6-01,XHSD110001504819063,家居/生活用品,个,239.00,onsale,https://item.xhsd.com/items/110001504819063
新华书店网,110001504776795,家居/生活用品,家居/生活用品,佳奥坐靠一体垫坐垫,XHSD110001504776795,家居/生活用品,个,149.00,onsale,https://item.xhsd.com/items/110001504776795
新华书店网,110001504816052,家居/生活用品,家居/生活用品,康巴赫悦享系列轻咖保温杯500ml 医用级别316不锈钢...,XHSD110001504816052,家居/生活用品,个,105.00,offsale,https://item.xhsd.com/items/110001504816052
新华书店网,110001504749142,家居/生活用品,家居/生活用品,洁丽雅纯棉吸水洗脸巾2条装,XHSD110001504749142,家居/生活用品,个,27.00,onsale,https://item.xhsd.com/items/110001504749142
新华书店网,110001504748578,家居/生活用品,家居/生活用品,多喜爱毛巾礼盒套装纯棉 格调毛巾两件套,XHSD110001504748578,家居/生活用品,个,129.00,onsale,https://item.xhsd.com/items/110001504748578
新华书店网,110001504741725,家居/生活用品,家居/生活用品,笔下金榜题名钢笔礼盒,XHSD110001504741725,家居/生活用品,个,215.00,onsale,https://item.xhsd.com/items/110001504741725
新华书店网,110001504744969,家居/生活用品,家居/生活用品,新疆长绒棉棉花被,XHSD110001504744969,家居/生活用品,个,178.00,onsale,https://item.xhsd.com/items/110001504744969
新华书店网,110001504816558,家居/生活用品,家居/生活用品,章丘老式手工鱼鳞纹铁锅套装（六款可选）,XHSD110001504816558,家居/生活用品,个,209.00,onsale,https://item.xhsd.com/items/110001504816558
新华书店网,110001504819707,家居/生活用品,家居/生活用品,柏丽丝 白茶香氛洗护沐浴系列500ml,XHSD110001504819707,家居/生活用品,个,36.90,onsale,https://item.xhsd.com/items/110001504819707
新华书店网,110001504781915,家居/生活用品,家居/生活用品,双层收纳猫耳双杆落地衣帽架,XHSD110001504781915,家居/生活用品,个,168.00,onsale,https://item.xhsd.com/items/110001504781915
新华书店网,110001504797101,家居/生活用品,家居/生活用品,皇寝世家 蚕丝玻尿酸美容枕单只,XHSD110001504797101,家居/生活用品,个,155.00,onsale,https://item.xhsd.com/items/110001504797101
新华书店网,110001504781545,家居/生活用品,家居/生活用品,传统天然荞麦枕头,XHSD110001504781545,家居/生活用品,个,79.00,onsale,https://item.xhsd.com/items/110001504781545
新华书店网,110001504819259,家居/生活用品,家居/生活用品,佳萌可折叠式家用加厚泡浴桶65×80,XHSD110001504819259,家居/生活用品,个,158.00,onsale,https://item.xhsd.com/items/110001504819259
新华书店网,110001504833294,家居/生活用品,家居/生活用品,杉杉 100S长绒棉绣花四件套,XHSD110001504833294,家居/生活用品,个,888.00,onsale,https://item.xhsd.com/items/110001504833294
新华书店网,110001504787854,家居/生活用品,家居/生活用品,净力震动按摩热敷充气荞麦颈椎枕,XHSD110001504787854,家居/生活用品,个,138.00,onsale,https://item.xhsd.com/items/110001504787854
新华书店网,110001504742591,家居/生活用品,家居/生活用品,HONGDOU红豆慢回弹记忆枕,XHSD110001504742591,家居/生活用品,个,109.00,onsale,https://item.xhsd.com/items/110001504742591
新华书店网,110001504814821,家居/生活用品,家居/生活用品,智能眼部按摩仪C1,XHSD110001504814821,家居/生活用品,个,168.00,onsale,https://item.xhsd.com/items/110001504814821
新华书店网,110001504741641,家居/生活用品,家居/生活用品,最生活毛巾纯棉洗脸大面巾 大众系列家用柔软吸水男女洗澡巾...,XHSD110001504741641,家居/生活用品,个,26.90,onsale,https://item.xhsd.com/items/110001504741641
新华书店网,110001504838275,家居/生活用品,家居/生活用品,柏缇 果酸润体乳250ml,XHSD110001504838275,家居/生活用品,个,45.00,onsale,https://item.xhsd.com/items/110001504838275
新华书店网,110001504749117,家居/生活用品,家居/生活用品,好爸爸高端樱花洗衣液2.08kg,XHSD110001504749117,家居/生活用品,个,37.00,onsale,https://item.xhsd.com/items/110001504749117
新华书店网,110001504836532,家居/生活用品,家居/生活用品,杉杉 石墨烯乳胶枕【一对装】,XHSD110001504836532,家居/生活用品,个,138.00,onsale,https://item.xhsd.com/items/110001504836532
新华书店网,110001504741635,家居/生活用品,家居/生活用品,最生活春风浴巾新疆长绒棉成人纯棉洗澡家用吸水不易掉毛男女...,XHSD110001504741635,家居/生活用品,个,79.00,onsale,https://item.xhsd.com/items/110001504741635
新华书店网,110001504825976,家居/生活用品,家居/生活用品,仿生支撑交叉加压护腰带,XHSD110001504825976,家居/生活用品,个,98.00,onsale,https://item.xhsd.com/items/110001504825976
新华书店网,110001504842262,家居/生活用品,家居/生活用品,杉杉 江南苏绣蚕丝被,XHSD110001504842262,家居/生活用品,个,888.00,onsale,https://item.xhsd.com/items/110001504842262
新华书店网,110001504741775,家居/生活用品,家居/生活用品,协和紫草舒润凝胶50gXR-126,XHSD110001504741775,家居/生活用品,个,23.90,onsale,https://item.xhsd.com/items/110001504741775
新华书店网,110001504843607,家居/生活用品,家居/生活用品,迷你便携晴雨伞,XHSD110001504843607,家居/生活用品,个,45.00,onsale,https://item.xhsd.com/items/110001504843607
新华书店网,110001504845317,家居/生活用品,家居/生活用品,宜兴非遗手工原矿紫砂莲子壶,XHSD110001504845317,家居/生活用品,个,258.00,onsale,https://item.xhsd.com/items/110001504845317
新华书店网,110001504798845,家居/生活用品,家居/生活用品,皇寝世家 水洗棉大豆被200*230cm（2500g),XHSD110001504798845,家居/生活用品,个,185.00,onsale,https://item.xhsd.com/items/110001504798845
新华书店网,110001504785998,家居/生活用品,家居/生活用品,天然实木功夫茶具茶盘,XHSD110001504785998,家居/生活用品,个,238.00,onsale,https://item.xhsd.com/items/110001504785998
新华书店网,110001504836988,家居/生活用品,家居/生活用品,量贩装厨房强吸水抹布,XHSD110001504836988,家居/生活用品,个,28.00,onsale,https://item.xhsd.com/items/110001504836988
新华书店网,110001504818079,家居/生活用品,家居/生活用品,柏丽丝 胶原蛋白洗发沐浴组合,XHSD110001504818079,家居/生活用品,个,45.00,onsale,https://item.xhsd.com/items/110001504818079
新华书店网,110001504741640,家居/生活用品,家居/生活用品,最生活一次性洗脸巾加厚加大超柔洁面巾旅行装擦毛巾 珍珠纹...,XHSD110001504741640,家居/生活用品,个,50.00,offsale,https://item.xhsd.com/items/110001504741640
新华书店网,110001504686776,家居/生活用品,家居/生活用品,笔下咖啡钢笔,XHSD110001504686776,家居/生活用品,个,287.00,onsale,https://item.xhsd.com/items/110001504686776
新华书店网,110001504840541,家居/生活用品,家居/生活用品,趣游帮 单只运动护膝（B037) 单只装 浅灰色,XHSD110001504840541,家居/生活用品,个,79.00,offsale,https://item.xhsd.com/items/110001504840541
新华书店网,110001504846268,家居/生活用品,家居/生活用品,杉杉 抗菌水洗冰丝席三件套180*200cm,XHSD110001504846268,家居/生活用品,个,325.00,onsale,https://item.xhsd.com/items/110001504846268
新华书店网,110001504782480,家居/生活用品,家居/生活用品,皇寝世家 全棉新疆长绒棉花被2750g,XHSD110001504782480,家居/生活用品,个,298.00,onsale,https://item.xhsd.com/items/110001504782480
新华书店网,110001504859153,家居/生活用品,家居/生活用品,瑾礼 艾草养生席 JL-11077 （180*200cm...,XHSD110001504859153,家居/生活用品,个,159.00,onsale,https://item.xhsd.com/items/110001504859153
新华书店网,110001504854784,家居/生活用品,家居/生活用品,“学习强国”非遗宜兴主人杯系列-清雅幽居,XHSD110001504854784,家居/生活用品,个,89.00,onsale,https://item.xhsd.com/items/110001504854784
新华书店网,110001504716289,家居/生活用品,家居/生活用品,雨中砂宜兴朱泥六方雪华紫砂壶,XHSD110001504716289,家居/生活用品,个,149.00,onsale,https://item.xhsd.com/items/110001504716289
新华书店网,110001504777709,家居/生活用品,家居/生活用品,蕉下护眼角保暖口罩WD330,XHSD110001504777709,家居/生活用品,个,61.00,onsale,https://item.xhsd.com/items/110001504777709
新华书店网,110001504844746,家居/生活用品,家居/生活用品,杉杉 冰丝艾草驱蚊软席三件套230×250cm,XHSD110001504844746,家居/生活用品,个,168.00,onsale,https://item.xhsd.com/items/110001504844746
新华书店网,110001504648103,家居/生活用品,家居/生活用品,笔下手作皮艺笔记本,XHSD110001504648103,家居/生活用品,个,431.00,offsale,https://item.xhsd.com/items/110001504648103
新华书店网,110001504854173,家居/生活用品,家居/生活用品,瑾礼 艾草竹叶藤席枕 JL-15015,XHSD110001504854173,家居/生活用品,个,54.00,onsale,https://item.xhsd.com/items/110001504854173
新华书店网,110001504852148,家居/生活用品,家居/生活用品,瑾礼 天然乳胶枕 JL-15012,XHSD110001504852148,家居/生活用品,个,149.00,onsale,https://item.xhsd.com/items/110001504852148
新华书店网,110001504856540,家居/生活用品,家居/生活用品,金卫德 章丘铁锅蒸蒸日上JWD-004（木盖）,XHSD110001504856540,家居/生活用品,个,185.00,onsale,https://item.xhsd.com/items/110001504856540
新华书店网,110001504855520,家居/生活用品,家居/生活用品,杉杉 600D抑菌防螨凉感冰丝席三件套,XHSD110001504855520,家居/生活用品,个,275.00,onsale,https://item.xhsd.com/items/110001504855520
新华书店网,110001504730478,家居/生活用品,家居/生活用品,瓷站紫砂茶具兰花陶瓷办公杯含过滤内胆,XHSD110001504730478,家居/生活用品,个,59.00,onsale,https://item.xhsd.com/items/110001504730478
新华书店网,110001504747724,家居/生活用品,家居/生活用品,清砂壶影紫茄泥鱼化龙紫砂壶礼盒装,XHSD110001504747724,家居/生活用品,个,468.00,onsale,https://item.xhsd.com/items/110001504747724
新华书店网,110001504741734,家居/生活用品,家居/生活用品,和正遮光睡眠眼罩HZ-K2,XHSD110001504741734,家居/生活用品,个,57.00,onsale,https://item.xhsd.com/items/110001504741734
新华书店网,110001504745564,家居/生活用品,家居/生活用品,博洋家居舒享抗菌防螨高弹枕,XHSD110001504745564,家居/生活用品,个,169.00,onsale,https://item.xhsd.com/items/110001504745564
新华书店网,110001504742585,家居/生活用品,家居/生活用品,博洋（BEYOND）毛毯盖毯午睡毯子办公室空调毯珊瑚绒夏...,XHSD110001504742585,家居/生活用品,个,189.00,onsale,https://item.xhsd.com/items/110001504742585
新华书店网,110001504800207,家居/生活用品,家居/生活用品,轻薄羽绒深度睡眠护腰垫0302,XHSD110001504800207,家居/生活用品,个,119.00,onsale,https://item.xhsd.com/items/110001504800207
新华书店网,110001504745676,家居/生活用品,家居/生活用品,头部经络牛角大齿按摩梳礼盒装,XHSD110001504745676,家居/生活用品,个,138.00,offsale,https://item.xhsd.com/items/110001504745676
新华书店网,110001504744948,家居/生活用品,家居/生活用品,清砂壶影宜兴原矿乌金泥龙庭紫砂壶礼盒装,XHSD110001504744948,家居/生活用品,个,348.00,onsale,https://item.xhsd.com/items/110001504744948
新华书店网,110001504778665,家居/生活用品,家居/生活用品,BURNELL春和景明多用焖茶壶套装BNL-HT116,XHSD110001504778665,家居/生活用品,个,139.00,onsale,https://item.xhsd.com/items/110001504778665
新华书店网,110001504801552,家居/生活用品,家居/生活用品,杉杉 100S长绒棉抗菌被3000g,XHSD110001504801552,家居/生活用品,个,475.00,onsale,https://item.xhsd.com/items/110001504801552
新华书店网,110001504745576,家居/生活用品,家居/生活用品,最生活纯棉条纹洗脸毛巾 新疆长绒棉A类家用毛巾 柔软吸水...,XHSD110001504745576,家居/生活用品,个,33.00,onsale,https://item.xhsd.com/items/110001504745576
新华书店网,110001504800747,家居/生活用品,家居/生活用品,李氏砭法中医刮痧板,XHSD110001504800747,家居/生活用品,个,99.00,onsale,https://item.xhsd.com/items/110001504800747
新华书店网,110001504804705,家居/生活用品,家居/生活用品,红运当头不粘炒锅32cm（赠锅盖）,XHSD110001504804705,家居/生活用品,个,158.00,onsale,https://item.xhsd.com/items/110001504804705
新华书店网,110001504811479,家居/生活用品,家居/生活用品,兔毛加绒保暖护膝绑带防滑款一对装0021,XHSD110001504811479,家居/生活用品,个,59.00,onsale,https://item.xhsd.com/items/110001504811479
新华书店网,110001504778666,家居/生活用品,家居/生活用品,物生物星航旅行壶1200ML-月夜黑,XHSD110001504778666,家居/生活用品,个,78.00,onsale,https://item.xhsd.com/items/110001504778666
新华书店网,110001504817158,家居/生活用品,家居/生活用品,福运连连茶具套装(茶礼组合)BFL2023-28,XHSD110001504817158,家居/生活用品,个,369.00,onsale,https://item.xhsd.com/items/110001504817158
新华书店网,110001504813192,家居/生活用品,家居/生活用品,芳恩 精选优质全棉磨毛四件套,XHSD110001504813192,家居/生活用品,个,568.00,onsale,https://item.xhsd.com/items/110001504813192
新华书店网,110001504816499,家居/生活用品,家居/生活用品,EFFE-Set300A赏悦系列不粘锅三件套,XHSD110001504816499,家居/生活用品,个,398.00,onsale,https://item.xhsd.com/items/110001504816499
新华书店网,110001504796562,家居/生活用品,家居/生活用品,笔下一顺到底签字笔（马年礼盒）,XHSD110001504796562,家居/生活用品,个,215.00,offsale,https://item.xhsd.com/items/110001504796562
新华书店网,110001504813092,家居/生活用品,家居/生活用品,康巴赫悦享系列拎拎直身大容量保温壶1000ml 医用级别...,XHSD110001504813092,家居/生活用品,个,159.00,onsale,https://item.xhsd.com/items/110001504813092
新华书店网,110001504821104,家居/生活用品,家居/生活用品,芳恩 决明子健康枕,XHSD110001504821104,家居/生活用品,个,125.00,onsale,https://item.xhsd.com/items/110001504821104
新华书店网,110001504819708,家居/生活用品,家居/生活用品,元气蕲艾暖足宝,XHSD110001504819708,家居/生活用品,个,29.90,onsale,https://item.xhsd.com/items/110001504819708
新华书店网,110001504744956,家居/生活用品,家居/生活用品,迪士尼史迪奇叠叠杯200ml*4个,XHSD110001504744956,家居/生活用品,个,38.00,offsale,https://item.xhsd.com/items/110001504744956
新华书店网,110001504627099,家居/生活用品,家居/生活用品,传统手工锻打章丘铁锅厨房套装,XHSD110001504627099,家居/生活用品,个,398.00,onsale,https://item.xhsd.com/items/110001504627099
新华书店网,110001504745559,家居/生活用品,家居/生活用品,恒源祥夏凉被A类抗菌纤维被芯可机洗空调被被子200*23...,XHSD110001504745559,家居/生活用品,个,149.00,offsale,https://item.xhsd.com/items/110001504745559
新华书店网,110001504741774,家居/生活用品,家居/生活用品,杉杉 简约臻品四件套,XHSD110001504741774,家居/生活用品,个,258.00,onsale,https://item.xhsd.com/items/110001504741774
新华书店网,110001504796112,家居/生活用品,家居/生活用品,皇寝世家 时尚臻品四套件,XHSD110001504796112,家居/生活用品,个,188.00,onsale,https://item.xhsd.com/items/110001504796112
新华书店网,110001504677874,家居/生活用品,家居/生活用品,檀轩阁宜兴紫砂钛金保温杯,XHSD110001504677874,家居/生活用品,个,165.00,onsale,https://item.xhsd.com/items/110001504677874
新华书店网,110001504832361,家居/生活用品,家居/生活用品,都市太太DSZBX06 福运来炒锅32cm,XHSD110001504832361,家居/生活用品,个,139.00,onsale,https://item.xhsd.com/items/110001504832361
新华书店网,110001504743676,家居/生活用品,家居/生活用品,多功能分区收纳落地挂衣架,XHSD110001504743676,家居/生活用品,个,108.00,onsale,https://item.xhsd.com/items/110001504743676
新华书店网,110001504728195,家居/生活用品,家居/生活用品,人体工学折叠撑腰靠背坐姿椅,XHSD110001504728195,家居/生活用品,个,119.00,onsale,https://item.xhsd.com/items/110001504728195
新华书店网,110001504743587,家居/生活用品,家居/生活用品,立白酵素洗洁精455g*4,XHSD110001504743587,家居/生活用品,个,59.00,onsale,https://item.xhsd.com/items/110001504743587
新华书店网,110001504749049,家居/生活用品,家居/生活用品,舒客舒客万毛棉感净白牙刷孕产期月子牙龈敏感专用女士成人牙...,XHSD110001504749049,家居/生活用品,个,13.00,onsale,https://item.xhsd.com/items/110001504749049
新华书店网,110001504843628,家居/生活用品,家居/生活用品,蔬果园 高端家庭洗护三件套-SYGT-7001,XHSD110001504843628,家居/生活用品,个,95.00,onsale,https://item.xhsd.com/items/110001504843628
新华书店网,110001504808897,家居/生活用品,家居/生活用品,家用多功能珐琅锅,XHSD110001504808897,家居/生活用品,个,158.00,onsale,https://item.xhsd.com/items/110001504808897
新华书店网,110001504839714,家居/生活用品,家居/生活用品,防紫外线小巧便捷晴雨伞,XHSD110001504839714,家居/生活用品,个,45.00,onsale,https://item.xhsd.com/items/110001504839714
新华书店网,110001504839564,家居/生活用品,家居/生活用品,趣游帮 高端运动透气三明治网护腰（B036),XHSD110001504839564,家居/生活用品,个,139.00,offsale,https://item.xhsd.com/items/110001504839564
新华书店网,110001504837794,家居/生活用品,家居/生活用品,杉杉 传统纯棉老粗布三件套,XHSD110001504837794,家居/生活用品,个,168.00,onsale,https://item.xhsd.com/items/110001504837794
新华书店网,110001504743672,家居/生活用品,家居/生活用品,笔下小方钢笔焕新版,XHSD110001504743672,家居/生活用品,个,287.00,onsale,https://item.xhsd.com/items/110001504743672
