purchase_order_id,supplier_id,store_id,created_by,order_time,status,total_amount
20001,1,1,1,2026-05-01 09:00:00,received,10573.36
20002,2,2,2,2026-05-02 10:00:00,approved,11055.26
20003,101,1,2,2026-05-03 11:00:00,submitted,11537.16
20004,102,2,1,2026-05-04 12:00:00,received,12019.06
20005,103,1,2,2026-05-05 13:00:00,received,12500.96
20006,201,2,2,2026-05-06 14:00:00,received,10573.36
20007,202,1,1,2026-05-07 15:00:00,approved,11055.26
20008,203,2,2,2026-05-08 16:00:00,submitted,11537.16
20009,204,1,2,2026-05-09 09:00:00,received,12019.06
20010,205,2,1,2026-05-10 10:00:00,received,12500.96
20011,206,1,2,2026-05-11 11:00:00,received,10573.36
20012,207,2,2,2026-05-12 12:00:00,approved,11055.26
20013,208,1,1,2026-05-13 13:00:00,submitted,11537.16
20014,209,2,2,2026-05-14 14:00:00,received,12019.06
20015,210,1,2,2026-05-15 15:00:00,received,12500.96
20016,1,2,1,2026-05-16 16:00:00,received,10573.36
20017,2,1,2,2026-05-17 09:00:00,approved,11055.26
20018,101,2,2,2026-05-18 10:00:00,submitted,11537.16
20019,102,1,1,2026-05-19 11:00:00,received,12019.06
20020,103,2,2,2026-05-20 12:00:00,received,12500.96
20021,201,1,2,2026-05-21 13:00:00,received,10573.36
20022,202,2,1,2026-05-22 14:00:00,approved,11055.26
20023,203,1,2,2026-05-23 15:00:00,submitted,11537.16
20024,204,2,2,2026-05-24 16:00:00,received,12019.06
20025,205,1,1,2026-05-25 09:00:00,received,12500.96
20026,206,2,2,2026-05-26 10:00:00,received,10573.36
20027,207,1,2,2026-05-27 11:00:00,approved,11055.26
20028,208,2,1,2026-05-28 12:00:00,submitted,11537.16
20029,209,1,2,2026-05-01 13:00:00,received,12019.06
20030,210,2,2,2026-05-02 14:00:00,received,12500.96
20031,1,1,1,2026-05-03 15:00:00,received,10573.36
20032,2,2,2,2026-05-04 16:00:00,approved,11055.26
20033,101,1,2,2026-05-05 09:00:00,submitted,11537.16
20034,102,2,1,2026-05-06 10:00:00,received,12019.06
20035,103,1,2,2026-05-07 11:00:00,received,12500.96
20036,201,2,2,2026-05-08 12:00:00,received,10573.36
20037,202,1,1,2026-05-09 13:00:00,approved,11055.26
20038,203,2,2,2026-05-10 14:00:00,submitted,11537.16
20039,204,1,2,2026-05-11 15:00:00,received,12019.06
20040,205,2,1,2026-05-12 16:00:00,received,12500.96
20041,206,1,2,2026-05-13 09:00:00,received,10573.36
20042,207,2,2,2026-05-14 10:00:00,approved,11055.26
20043,208,1,1,2026-05-15 11:00:00,submitted,11537.16
20044,209,2,2,2026-05-16 12:00:00,received,12019.06
20045,210,1,2,2026-05-17 13:00:00,received,12500.96
20046,1,2,1,2026-05-18 14:00:00,received,10573.36
20047,2,1,2,2026-05-19 15:00:00,approved,11055.26
20048,101,2,2,2026-05-20 16:00:00,submitted,11537.16
20049,102,1,1,2026-05-21 09:00:00,received,12019.06
20050,103,2,2,2026-05-22 10:00:00,received,12500.96
20051,201,1,2,2026-05-23 11:00:00,received,10573.36
20052,202,2,1,2026-05-24 12:00:00,approved,11055.26
20053,203,1,2,2026-05-25 13:00:00,submitted,11537.16
20054,204,2,2,2026-05-26 14:00:00,received,12019.06
20055,205,1,1,2026-05-27 15:00:00,received,12500.96
20056,206,2,2,2026-05-28 16:00:00,received,10573.36
20057,207,1,2,2026-05-01 09:00:00,approved,11055.26
20058,208,2,1,2026-05-02 10:00:00,submitted,11537.16
20059,209,1,2,2026-05-03 11:00:00,received,12019.06
20060,210,2,2,2026-05-04 12:00:00,received,12500.96
20061,1,1,1,2026-05-05 13:00:00,received,10573.36
20062,2,2,2,2026-05-06 14:00:00,approved,11055.26
20063,101,1,2,2026-05-07 15:00:00,submitted,11537.16
20064,102,2,1,2026-05-08 16:00:00,received,12019.06
20065,103,1,2,2026-05-09 09:00:00,received,12500.96
20066,201,2,2,2026-05-10 10:00:00,received,10573.36
20067,202,1,1,2026-05-11 11:00:00,approved,11055.26
20068,203,2,2,2026-05-12 12:00:00,submitted,11537.16
20069,204,1,2,2026-05-13 13:00:00,received,12019.06
20070,205,2,1,2026-05-14 14:00:00,received,12500.96
20071,206,1,2,2026-05-15 15:00:00,received,10573.36
20072,207,2,2,2026-05-16 16:00:00,approved,11055.26
20073,208,1,1,2026-05-17 09:00:00,submitted,11537.16
20074,209,2,2,2026-05-18 10:00:00,received,12019.06
20075,210,1,2,2026-05-19 11:00:00,received,12500.96
20076,1,2,1,2026-05-20 12:00:00,received,10573.36
20077,2,1,2,2026-05-21 13:00:00,approved,11055.26
20078,101,2,2,2026-05-22 14:00:00,submitted,11537.16
20079,102,1,1,2026-05-23 15:00:00,received,12019.06
20080,103,2,2,2026-05-24 16:00:00,received,12500.96
20081,201,1,2,2026-05-25 09:00:00,received,10573.36
20082,202,2,1,2026-05-26 10:00:00,approved,11055.26
20083,203,1,2,2026-05-27 11:00:00,submitted,11537.16
20084,204,2,2,2026-05-28 12:00:00,received,12019.06
20085,205,1,1,2026-05-01 13:00:00,received,12500.96
20086,206,2,2,2026-05-02 14:00:00,received,10573.36
20087,207,1,2,2026-05-03 15:00:00,approved,11055.26
20088,208,2,1,2026-05-04 16:00:00,submitted,11537.16
20089,209,1,2,2026-05-05 09:00:00,received,12019.06
20090,210,2,2,2026-05-06 10:00:00,received,12500.96
20091,1,1,1,2026-05-07 11:00:00,received,10573.36
20092,2,2,2,2026-05-08 12:00:00,approved,11055.26
20093,101,1,2,2026-05-09 13:00:00,submitted,11537.16
20094,102,2,1,2026-05-10 14:00:00,received,12019.06
20095,103,1,2,2026-05-11 15:00:00,received,12500.96
20096,201,2,2,2026-05-12 16:00:00,received,10573.36
20097,202,1,1,2026-05-13 09:00:00,approved,11055.26
20098,203,2,2,2026-05-14 10:00:00,submitted,11537.16
20099,204,1,2,2026-05-15 11:00:00,received,12019.06
20100,205,2,1,2026-05-16 12:00:00,received,12500.96
20101,206,1,2,2026-05-17 13:00:00,received,10573.36
20102,207,2,2,2026-05-18 14:00:00,approved,11055.26
20103,208,1,1,2026-05-19 15:00:00,submitted,11537.16
20104,209,2,2,2026-05-20 16:00:00,received,12019.06
