sale_id,store_id,customer_id,sale_time,payment_method,total_amount,discount_amount,actual_amount
5001,1,1001,2026-05-14 10:05:00,wechat,161.16,8.06,153.1
5002,2,1002,2026-05-14 16:20:00,alipay,331.8,16.59,315.21
5003,1,,2026-05-15 11:40:00,cash,79.0,0.0,79.0
5004,2,1003,2026-05-15 18:10:00,card,161.16,8.06,153.1
5005,1,1004,2026-05-16 09:35:00,wechat,331.8,16.59,315.21
5006,2,1005,2026-05-16 14:50:00,mixed,129.96,6.5,123.46
5007,1,1006,2026-05-17 10:25:00,wechat,99.96,5.0,94.96
5008,2,,2026-05-17 19:05:00,cash,49.0,0.0,49.0
5009,1,1007,2026-05-18 13:15:00,alipay,129.96,6.5,123.46
5010,2,1008,2026-05-18 17:45:00,wechat,235.8,11.79,224.01
5011,1,1009,2026-05-19 11:00:00,card,99.96,5.0,94.96
5012,2,1010,2026-05-19 15:25:00,wechat,129.96,6.5,123.46
