product_id,source_query_category,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,openlibrary_key
10000,计算机,Database system concepts,9780072283631,Abraham Silberschatz,WCB/McGraw-Hill,1997.0,,840.0,eng,计算机,本,79.0,onsale,/works/OL1854539W
10001,计算机,Fundamentals of database systems,9780321369574,Ramez Elmasri; Shamkant B. Navathe,Pearson,1989.0,,1030.0,eng,计算机,本,79.0,onsale,/works/OL3947220W
10002,计算机,A first course in database systems,9780131225206,Jeffrey D. Ullman; Jennifer D. Widom,Pearson Prentice Hall,1997.0,,528.0,eng,计算机,本,79.0,onsale,/works/OL2640322W
10003,计算机,Database systems,9780357673034,Peter Rob; Carlos Coronel,Cengage Learning,2006.0,,812.0,eng,计算机,本,79.0,onsale,/works/OL17310241W
10004,计算机,Principles of distributed database systems,9783030262532,M. Tamer Özsu; M. Tamer Ozsu; Patrick Valduriez,Springer International Publishing AG,1999.0,,691.0,"eng,ger",计算机,本,79.0,onsale,/works/OL17707115W
10005,计算机,An introduction to database systems,9780201144710,C. J. Date,Addison Wesley Longman,1975.0,,639.0,eng,计算机,本,79.0,onsale,/works/OL1840931W
10006,计算机,Database Systems,9781403916013,Paul Beynon-Davies,Macmillan,1996.0,,420.0,"eng,und",计算机,本,79.0,onsale,/works/OL4296322W
10007,计算机,Database systems,9780760049044,Peter Rob,Course Technology Ptr (Sd),1993.0,,796.0,eng,计算机,本,79.0,onsale,/works/OL2055298W
10008,计算机,Database systems,9780131873254,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer D. Widom,Pearson Prentice Hall,2001.0,,1152.0,eng,计算机,本,79.0,onsale,/works/OL6442784W
10009,计算机,Database system concepts,9780071217620,Henry F. Korth,Mcgraw-hill Education,1986.0,,694.0,eng,计算机,本,79.0,onsale,/works/OL4453514W
10010,计算机,Database systems,9780321210258,Thomas M. Connolly; Carolyn E. Begg,Addison-Wesley,1996.0,,1374.0,eng,计算机,本,79.0,onsale,/works/OL1907567W
10011,计算机,Database Systems Concepts,9780072958867,Abraham Silberschatz,McGraw-Hill Science/Engineering/Math,2005.0,,1168.0,eng,计算机,本,79.0,onsale,/works/OL15326817W
10012,计算机,Fundamentals of database systems,9780136086208,Ramez Elmasri,Addison-Wesley,2011.0,,1172.0,eng,计算机,本,79.0,onsale,/works/OL15443742W
10013,计算机,"Database System Concepts, 3rd",9780071148108,"Abraham; Korth, Henry F.; Sudarshan, S.; Silberschatz Silberschatz",McGraw-Hill College,1997.0,,848.0,,计算机,本,79.0,onsale,/works/OL281791W
10014,计算机,Fundamentals of database systems,9780321415066,Ramez Elmasri; Shamkant Navathe,"Pearson Education, Limited",1999.0,,1089.0,eng,计算机,本,79.0,onsale,/works/OL18491883W
10015,计算机,Database systems,9780321228383,Michael Kifer; Arthur J. Bernstein; Philip M. Lewis; Michael Kifer; Arthur Bernstein,Addison-Wesley,2004.0,,980.0,eng,计算机,本,79.0,onsale,/works/OL13539683W
10016,计算机,An introduction to database systems,9780201684193,C. J. Date; C.J. Date,Addison-Wesley,2000.0,,938.0,eng,计算机,本,79.0,onsale,/works/OL16037479W
